panel,seed,stem,length,condition,plddt,self_consistency_rmsd,sequence_excluded,structure_excluded,fine_cluster
1,2786401,proteina-6d91413628fdeda4c093,71,2.x.x.x,92.13131070137024,0.9396859560971709,False,False,proteina-6d91413628fdeda4c093
2,2786401,proteina-dd2b5f4d1dc2c9531623,273,1.x.x.x,89.99155163764954,1.07923451349014,True,False,
3,2786401,proteina-c1424b3955d686c8028e,107,1.x.x.x,90.77514410018921,1.117575977327112,False,False,proteina-c1424b3955d686c8028e
4,2786401,proteina-a8d6fd93f9f9c2e82be1,67,unconditional,88.93435597419739,0.7817721849189104,False,False,proteina-a8d6fd93f9f9c2e82be1
5,2786401,proteina-d3b71755152d3eb6dcbf,490,2.x.x.x,81.62723183631897,1.8917873980208737,True,False,
6,2786401,proteina-9d6c8a745973c185da41,199,3.x.x.x,87.69568800926208,1.033305890041672,True,False,
7,2786401,proteina-94c9a2c4bb989d6e3515,113,1.x.x.x,92.77805685997009,0.885399086265462,False,False,proteina-0089e82f96349558165f
8,2786401,proteina-404ebae399782c77f22d,258,3.x.x.x,89.8171067237854,1.0519913962695544,False,False,proteina-404ebae399782c77f22d
9,2786401,proteina-f52c17f587187e9c09fc,445,unconditional,91.61405563354492,0.7729249331084442,False,False,proteina-f52c17f587187e9c09fc
10,2786401,proteina-7a98ae955f565d155e49,84,unconditional,93.35612654685974,0.6321652335256795,False,False,proteina-7a98ae955f565d155e49
11,2786401,proteina-caf5fab23539dce32cdb,65,2.x.x.x,88.04413676261902,0.7289218274673904,False,False,proteina-caf5fab23539dce32cdb
12,2786401,proteina-3c6e1530a39c8737d5ec,267,3.x.x.x,77.68152356147766,1.7189246876462136,True,False,
13,2786401,proteina-43126d3891700e18243f,307,1.x.x.x,90.12134671211243,1.7792637677271397,True,False,
14,2786401,proteina-d419b937481d0f703ed0,486,unconditional,91.9346272945404,0.8069750727919338,True,False,
15,2786401,proteina-04a810fb25ab315504cd,123,1.x.x.x,91.35981798171997,1.1029195884003165,False,False,proteina-04a810fb25ab315504cd
16,2786401,proteina-3e42efcf996e2f7f0ef2,488,1.x.x.x,87.12770342826843,1.990125397185686,True,False,
17,2786401,proteina-b30e83f8edbb4888b28d,500,1.x.x.x,88.1885826587677,1.0887983673328117,True,False,
18,2786401,proteina-bd38fda88115c3fde002,484,3.x.x.x,88.40742707252502,1.1852869540439548,True,False,
19,2786401,proteina-1f1223753c072b0e91f1,372,3.x.x.x,87.18510866165161,1.0141136252967484,True,False,
20,2786401,proteina-5a99d64cff297f9d96e3,287,1.x.x.x,89.29039239883423,1.0731565415431517,True,False,
21,2786401,proteina-8647e75d2892afb713b7,154,3.x.x.x,77.32592225074768,1.7464854344179124,True,False,
22,2786401,proteina-3303c6fc29c633343dbf,113,2.x.x.x,95.31282782554626,0.6540975847325088,False,False,proteina-3303c6fc29c633343dbf
23,2786401,proteina-4aee288db96bc409e62d,500,unconditional,87.67327666282654,0.8923391057931148,True,False,
24,2786401,proteina-42697016be454a87eae7,96,unconditional,88.7305736541748,1.1090972150283225,True,False,
25,2786401,proteina-57a498f983c2150f972d,500,unconditional,88.61987590789795,0.8953587675618859,True,False,
26,2786401,proteina-f8ad429b9eef1cbbf4b6,141,unconditional,90.10478854179382,1.0551552634144423,True,False,
27,2786401,proteina-95b29c48b098c5328f95,339,unconditional,88.40245604515076,0.7069110133187294,True,False,
28,2786401,proteina-9ad193f1365317a26bb7,123,2.x.x.x,81.21843338012695,1.8529067656860878,False,False,proteina-9ad193f1365317a26bb7
29,2786401,proteina-16796b23d355d9912abf,400,1.x.x.x,85.48029661178589,1.4738192941917176,True,False,
30,2786401,proteina-98c86b775f6b4f6fd9c8,412,unconditional,91.36304259300232,1.3096105193359333,False,False,proteina-98c86b775f6b4f6fd9c8
31,2786401,proteina-0dfc95b7671043b11edd,253,3.x.x.x,89.84330892562866,1.5441900898253733,False,False,proteina-0dfc95b7671043b11edd
32,2786401,proteina-0cc0568a0d6bd4e9bca2,437,1.x.x.x,86.1596405506134,1.109233911717495,True,False,
33,2786401,proteina-a0df0b3c3799b734c4c0,129,unconditional,92.73908734321594,0.5725681918644383,False,False,proteina-a0df0b3c3799b734c4c0
34,2786401,proteina-53ed2049e5837853deb4,74,1.x.x.x,91.85054898262024,0.8583518763689705,False,False,proteina-53ed2049e5837853deb4
35,2786401,proteina-d24622a7e784f4d4401e,96,unconditional,92.45820045471191,0.8175552857252761,False,False,proteina-d24622a7e784f4d4401e
