record_id,rho,L
cameo_hard/8j4i_A,-0.19045500173476268,190
cameo_hard/8s3m_A,-0.047830923248053395,345
cameo_hard/8s89_A,0.07230255839822024,401
cameo_hard/8v4w_A,-0.08565072302558399,207
cameo_hard/8vd6_A,-0.25739710789766407,174
cameo_hard/8wwc_C,0.03227242696764926,113
cameo_hard/8yl4_B,-0.3899888765294772,207
cameo_hard/9b7d_D,-0.22625139043381537,192
cameo_hard/9bch_A,-0.289432703003337,198
cameo_hard/9def_A,-0.10122358175750834,151
cameo_hard/9deg_A,-0.21737679520427935,157
cameo_hard/9dl1_D,-0.08853728692770638,124
cameo_hard/9eum_A,-0.01579532814238042,176
cameo_hard/9f4c_A,-0.2800889877641824,141
cameo_hard/9fdg_A,-0.022249416090509653,179
cameo_hard/9had_C,0.10857715052168712,108
cameo_hard/9isp_A,0.10903427061217046,156
cameo_hard/9j46_F,-0.5016685205784205,124
cameo_hard/9k3e_C,0.5099566167944813,116
casp_fm/T1027-D1,0.12128630919448967,168
casp_fm/T1029-D1,-0.1657397107897664,125
casp_fm/T1033-D1,-0.17578994214508234,100
casp_fm/T1035-D1,-0.40002225684384185,102
casp_fm/T1038-D1,-0.004895961105098666,114
casp_fm/T1039-D1,0.12747497219132367,161
casp_fm/T1040-D1,0.007343124347350254,130
casp_fm/T1041-D1,0.056958505191704714,242
casp_fm/T1043-D1,0.04338153503893215,148
casp_fm/T1049-D1,0.19777530589543937,134
casp_fm/T1112-D1,-0.3032258064516129,460
casp_fm/T1120-D1,-0.20491712219359393,118
casp_fm/T1120-D2,-0.2546466727063334,110
casp_fm/T1125-D1,0.32973634646135314,134
casp_fm/T1125-D2,-0.31304928439347085,148
casp_fm/T1125-D5,-0.2827586206896551,150
denovo_pdb/1mj0_A,-0.3265806605437041,156
denovo_pdb/2af5_A,0.3441601779755284,292
denovo_pdb/2fkg_A,0.09255757093652017,315
denovo_pdb/2fo7_A,0.0799465939784949,136
denovo_pdb/2hkd_A,-0.026918798665183537,315
denovo_pdb/2hyz_A,-0.2120978051092624,136
denovo_pdb/2i5v_O,-0.2060295929981194,246
denovo_pdb/2i5z_O,-0.4505005561735262,246
denovo_pdb/2qyj_A,0.09195149179407096,154
denovo_pdb/2wqh_A,0.41514502355218497,104
denovo_pdb/3og3_A,-0.24093437152391545,242
denovo_pdb/3pg0_A,-0.11578717574179952,140
denovo_pdb/3qa9_A,-0.3021470705091211,142
denovo_pdb/3rfn_A,-0.07386806142049207,151
denovo_pdb/3v45_A,0.05494994438264739,166
denovo_pdb/3ww9_A,0.18934253093023717,251
denovo_pdb/3wwa_A,0.10034486656819855,251
denovo_pdb/4a29_A,-0.12415174178504389,247
denovo_pdb/4db6_A,-0.11014686521025382,197
denovo_pdb/4dui_A,0.0260318168258963,165
denovo_pdb/4etj_A,0.14706864035826883,164
denovo_pdb/4gvw_A,-0.03136818687430478,192
denovo_pdb/4hxt_A,-0.12281677681961332,247
denovo_pdb/4j8y_A,0.1311366311542562,157
denovo_pdb/4lny_A,0.0460511679644049,248
denovo_pdb/4ndj_A,-0.23915461624026696,280
denovo_pdb/4nez_A,0.26852057842046717,160
denovo_pdb/4oxw_A,0.15329847686361153,106
denovo_pdb/4pjr_A,0.08833018187932334,175
denovo_pdb/4pjs_A,0.049176681235285034,175
denovo_pdb/4pq8_A,0.08611482189165298,241
denovo_pdb/4psj_A,0.25812933599623517,255
denovo_pdb/4r5c_A,-0.015574591263356759,304
denovo_pdb/4r6f_A,-0.21492935943432329,329
denovo_pdb/4u3h_A,0.14800802712749486,100
denovo_pdb/4uos_A,0.17597330367074526,188
denovo_pdb/4yxx_A,-0.5179664065870648,208
denovo_pdb/4yxz_A,-0.02246941045606229,278
denovo_pdb/5cwb_A,0.2667408231368187,197
denovo_pdb/5cwc_A,0.057174638487208,196
denovo_pdb/5cwd_A,0.07764182424916574,171
denovo_pdb/5cwg_A,0.19777530589543937,195
denovo_pdb/5cwh_A,0.5572858731924359,159
denovo_pdb/5cwi_A,-0.18487208008898778,233
denovo_pdb/5cwj_A,-0.16397819658705615,160
denovo_pdb/5cwk_A,0.0024471635150166847,172
denovo_pdb/5cwm_A,0.060289210233592884,226
denovo_pdb/5cwn_A,0.04471635150166852,207
