record_id,selected,mean,oracle,worst
cameo_hard/8j4i_A,0.3821656050955414,0.3684029463938999,0.432258064516129,0.2830188679245283
cameo_hard/8s3m_A,0.1810089020771513,0.1721345392559316,0.2457627118644068,0.1290322580645161
cameo_hard/8s89_A,0.14,0.1213916402650828,0.2240802675585284,0.0397553516819571
cameo_hard/8v4w_A,0.1397379912663755,0.1229539933933569,0.2208588957055214,0.0288065843621399
cameo_hard/8vd6_A,0.4485294117647059,0.42678757984519805,0.5121951219512195,0.2784810126582278
cameo_hard/8wwc_C,0.1891891891891892,0.2574585253908592,0.6601941747572816,0.074074074074074
cameo_hard/8yl4_B,0.2653061224489796,0.21082296172422516,0.298780487804878,0.109090909090909
cameo_hard/9b7d_D,0.0973451327433628,0.05515925907922569,0.0973451327433628,0.0151515151515151
cameo_hard/9bch_A,0.1219512195121951,0.0888691488207396,0.1862745098039215,0.0274725274725274
cameo_hard/9def_A,0.0892857142857142,0.1991824399647784,0.425,0.0454545454545454
cameo_hard/9deg_A,0.1341463414634146,0.18458894190340336,0.3478260869565217,0.03125
cameo_hard/9dl1_D,0.0579710144927536,0.03058996308833132,0.1359223300970873,0.0
cameo_hard/9eum_A,0.304054054054054,0.42103196844940755,0.5307692307692308,0.2830188679245283
cameo_hard/9f4c_A,0.2307692307692307,0.14362196904362856,0.3888888888888889,0.027027027027027
cameo_hard/9fdg_A,0.6513157894736842,0.6140139577822016,0.6758620689655173,0.5432098765432098
cameo_hard/9had_C,0.7578947368421053,0.6051889568038289,0.8,0.0357142857142857
cameo_hard/9isp_A,0.0476190476190476,0.07132595293246985,0.1351351351351351,0.0
cameo_hard/9j46_F,0.1515151515151515,0.08969438424406385,0.2068965517241379,0.02803738317757
cameo_hard/9k3e_C,0.0505050505050505,0.0698649086958234,0.2,0.010752688172043
casp_fm/T1027-D1,0.0161290322580645,0.042659923714342234,0.0933333333333333,0.0
casp_fm/T1029-D1,0.064516129032258,0.12202941844571313,0.2346938775510204,0.043103448275862
casp_fm/T1033-D1,0.0204081632653061,0.0891877300042405,0.3166666666666666,0.0
casp_fm/T1035-D1,0.1666666666666666,0.10107774628308669,0.3157894736842105,0.0144927536231884
casp_fm/T1038-D1,0.0606060606060606,0.07224896373959236,0.2361111111111111,0.0265486725663716
casp_fm/T1039-D1,0.0294117647058823,0.06194639077465944,0.1290322580645161,0.0086206896551724
casp_fm/T1040-D1,0.2424242424242424,0.07089978052064111,0.3103448275862069,0.0
casp_fm/T1041-D1,0.04,0.04790933849660695,0.0933333333333333,0.0123456790123456
casp_fm/T1043-D1,0.0694444444444444,0.06971254225463162,0.2,0.008130081300813
casp_fm/T1049-D1,0.0344827586206896,0.05918546786526974,0.1585365853658536,0.0119047619047619
casp_fm/T1112-D1,0.2594235033259423,0.23649350851325063,0.3433179723502304,0.1392649903288201
casp_fm/T1120-D1,0.1136363636363636,0.12375261463153615,0.264367816091954,0.027027027027027
casp_fm/T1120-D2,0.4,0.09658496779151307,0.4,0.0
casp_fm/T1125-D1,0.0428571428571428,0.07589946005079645,0.203883495145631,0.0112359550561797
casp_fm/T1125-D2,0.1929824561403508,0.13600346080457346,0.34375,0.0105263157894736
casp_fm/T1125-D5,0.2555555555555555,0.19244933035666686,0.3287671232876712,0.0425531914893617
denovo_pdb/1mj0_A,0.9223300970873788,0.9242412653527031,0.9696969696969696,0.8807339449541285
denovo_pdb/2af5_A,0.4137931034482758,0.43393188065574806,0.5161290322580645,0.3238095238095238
denovo_pdb/2fkg_A,0.4119718309859155,0.46764182843624924,0.5899581589958159,0.359375
denovo_pdb/2fo7_A,0.875,0.8723098332164612,0.8991596638655462,0.8515625
denovo_pdb/2hkd_A,0.515625,0.48445078472614606,0.6371308016877637,0.3226950354609929
denovo_pdb/2hyz_A,0.902439024390244,0.9125950999299062,0.9482758620689656,0.890625
denovo_pdb/2i5v_O,0.178743961352657,0.2340861957241497,0.3867403314917127,0.0856031128404669
denovo_pdb/2i5z_O,0.3018867924528302,0.24534255596281332,0.3859649122807017,0.0772727272727272
denovo_pdb/2qyj_A,0.8842975206611571,0.8933261224364762,0.9401709401709402,0.8449612403100775
denovo_pdb/2wqh_A,0.9010989010989012,0.8941794976929697,0.9310344827586208,0.8631578947368421
denovo_pdb/3og3_A,0.6814516129032258,0.6500875533824816,0.7168949771689498,0.5366795366795367
denovo_pdb/3pg0_A,0.8817204301075269,0.8943506544990227,0.9147727272727272,0.8579234972677595
denovo_pdb/3qa9_A,0.6344827586206897,0.5797341429139571,0.6592592592592592,0.4965986394557823
denovo_pdb/3rfn_A,0.4768211920529801,0.42145548933789273,0.6153846153846154,0.2758620689655172
