geometry,threshold,subset,stem,cluster
original,fine,all,proteina-7a2510af85ee9bfbea41,proteina-7a2510af85ee9bfbea41
original,fine,all,proteina-e660cf59ec88da50be1f,proteina-076dfb477eca9887bac0
original,fine,all,proteina-96231425e257dc1be9d7,proteina-076dfb477eca9887bac0
original,fine,all,proteina-c0ad262a534eafd31dba,proteina-076dfb477eca9887bac0
original,fine,all,proteina-e8d5434364e44da5a6ab,proteina-076dfb477eca9887bac0
original,fine,all,proteina-076dfb477eca9887bac0,proteina-076dfb477eca9887bac0
original,fine,all,proteina-83663b92235cfabddf41,proteina-076dfb477eca9887bac0
original,fine,all,proteina-dc646150f701dc40fda1,proteina-076dfb477eca9887bac0
original,fine,all,proteina-ad624d2a8a122a9c84ac,proteina-076dfb477eca9887bac0
original,fine,all,proteina-64f8bc794ba9f184446c,proteina-076dfb477eca9887bac0
original,fine,all,proteina-13619b07ff52cd26b8ec,proteina-076dfb477eca9887bac0
original,fine,all,proteina-a6f7edeffb4c0ceece5f,proteina-076dfb477eca9887bac0
original,fine,all,proteina-892330e22c51207dcea3,proteina-23e3499330c6bf91c386
original,fine,all,proteina-f2f5194f9797cf1acd42,proteina-23e3499330c6bf91c386
original,fine,all,proteina-ab51685b68c6035cd705,proteina-23e3499330c6bf91c386
original,fine,all,proteina-23e3499330c6bf91c386,proteina-23e3499330c6bf91c386
original,fine,all,proteina-f04c94c8e64126911d69,proteina-f04c94c8e64126911d69
original,fine,all,proteina-ba16ddb4e11bb089eb77,proteina-2bb4788366128d75abc9
original,fine,all,proteina-2bb4788366128d75abc9,proteina-2bb4788366128d75abc9
original,fine,all,proteina-cca6186d047cc4be8a27,proteina-cca6186d047cc4be8a27
original,fine,all,proteina-b39ad372f9b690d037cb,proteina-b39ad372f9b690d037cb
original,fine,all,proteina-23cb0d5c9ac5ed4418be,proteina-23cb0d5c9ac5ed4418be
original,fine,all,proteina-625fb58ed91f255e82e3,proteina-625fb58ed91f255e82e3
original,fine,all,proteina-1c09905a78c97f21e55a,proteina-1c09905a78c97f21e55a
original,fine,all,proteina-0401e406bf54217aead2,proteina-0401e406bf54217aead2
original,fine,all,proteina-caf5fab23539dce32cdb,proteina-caf5fab23539dce32cdb
original,fine,all,proteina-b2c223e299ed6652b4ce,proteina-b2c223e299ed6652b4ce
original,fine,all,proteina-3ca68c5c35c3f1203cbf,proteina-3ca68c5c35c3f1203cbf
original,fine,all,proteina-20630261669997c0fb6a,proteina-20630261669997c0fb6a
original,fine,all,proteina-ae1758012f9c641debc7,proteina-ae1758012f9c641debc7
original,fine,all,proteina-a8d6fd93f9f9c2e82be1,proteina-a8d6fd93f9f9c2e82be1
original,fine,all,proteina-d004549af9915d3cda23,proteina-d004549af9915d3cda23
original,fine,all,proteina-1c732523cb0b9a4047f3,proteina-1c732523cb0b9a4047f3
original,fine,all,proteina-007a73fe5b16971e4bf7,proteina-007a73fe5b16971e4bf7
original,fine,all,proteina-7f020e817d23e7ee2c6f,proteina-7f020e817d23e7ee2c6f
original,fine,all,proteina-ef2b1a17bebba531b39f,proteina-ef2b1a17bebba531b39f
original,fine,all,proteina-5f0dda5b86d0356674e2,proteina-5f0dda5b86d0356674e2
original,fine,all,proteina-040195b459f0bae346cd,proteina-040195b459f0bae346cd
original,fine,all,proteina-2fb645cf7ed9858d98b5,proteina-2fb645cf7ed9858d98b5
original,fine,all,proteina-c6c8a06ad7243d1086c9,proteina-c6c8a06ad7243d1086c9
original,fine,all,proteina-62686d2c3baa7e4a204d,proteina-62686d2c3baa7e4a204d
original,fine,all,proteina-effdef27d18c89d1cc9f,proteina-effdef27d18c89d1cc9f
original,fine,all,proteina-703814e51db9439d70ed,proteina-703814e51db9439d70ed
original,fine,all,proteina-750860c5f762f05fc622,proteina-750860c5f762f05fc622
original,fine,all,proteina-b6a86a0b30f7f7cf7369,proteina-b6a86a0b30f7f7cf7369
original,fine,all,proteina-858a112134d33d90120e,proteina-858a112134d33d90120e
original,fine,all,proteina-6c898cc07887a4fd4b76,proteina-6c898cc07887a4fd4b76
original,fine,all,proteina-d0aa9ebcc8df38612ed1,proteina-d0aa9ebcc8df38612ed1
