stem,length,condition,quality_pass,sequence_excluded,structure_excluded,fine_cluster,selected
proteina-7a2510af85ee9bfbea41,63,1.x.x.x,False,False,False,,False
proteina-e660cf59ec88da50be1f,63,1.x.x.x,False,False,False,,False
proteina-892330e22c51207dcea3,63,1.x.x.x,True,False,False,proteina-1f6b3b05ec70f851b4c2,True
proteina-f2f5194f9797cf1acd42,63,1.x.x.x,False,False,False,,False
proteina-96231425e257dc1be9d7,63,1.x.x.x,True,False,False,proteina-64f8bc794ba9f184446c,False
proteina-f04c94c8e64126911d69,63,1.x.x.x,True,False,False,proteina-f04c94c8e64126911d69,True
proteina-ba16ddb4e11bb089eb77,63,1.x.x.x,True,True,False,,False
proteina-cca6186d047cc4be8a27,63,1.x.x.x,True,False,False,proteina-cca6186d047cc4be8a27,True
proteina-c0ad262a534eafd31dba,63,1.x.x.x,True,False,False,proteina-64f8bc794ba9f184446c,True
proteina-ab51685b68c6035cd705,63,1.x.x.x,True,False,False,proteina-23e3499330c6bf91c386,True
proteina-b39ad372f9b690d037cb,65,2.x.x.x,True,False,False,proteina-b39ad372f9b690d037cb,True
proteina-23cb0d5c9ac5ed4418be,65,2.x.x.x,True,False,False,proteina-23cb0d5c9ac5ed4418be,True
proteina-625fb58ed91f255e82e3,65,2.x.x.x,True,True,False,,False
proteina-1c09905a78c97f21e55a,65,2.x.x.x,True,False,False,proteina-1c09905a78c97f21e55a,True
proteina-0401e406bf54217aead2,65,2.x.x.x,True,False,False,proteina-0401e406bf54217aead2,True
proteina-caf5fab23539dce32cdb,65,2.x.x.x,True,False,False,proteina-caf5fab23539dce32cdb,True
proteina-b2c223e299ed6652b4ce,65,2.x.x.x,True,False,False,proteina-b2c223e299ed6652b4ce,True
proteina-3ca68c5c35c3f1203cbf,65,2.x.x.x,True,True,False,,False
proteina-20630261669997c0fb6a,67,unconditional,True,False,False,proteina-20630261669997c0fb6a,True
proteina-ae1758012f9c641debc7,67,unconditional,False,False,False,,False
proteina-2bb4788366128d75abc9,67,unconditional,True,True,False,,False
proteina-a8d6fd93f9f9c2e82be1,67,unconditional,True,False,False,proteina-a8d6fd93f9f9c2e82be1,True
proteina-d004549af9915d3cda23,67,unconditional,True,False,False,proteina-d004549af9915d3cda23,True
proteina-1c732523cb0b9a4047f3,67,unconditional,True,False,False,proteina-1c732523cb0b9a4047f3,True
proteina-007a73fe5b16971e4bf7,67,unconditional,True,False,False,proteina-007a73fe5b16971e4bf7,True
proteina-7f020e817d23e7ee2c6f,67,unconditional,True,False,False,proteina-7f020e817d23e7ee2c6f,True
proteina-ef2b1a17bebba531b39f,67,unconditional,True,True,False,,False
proteina-5f0dda5b86d0356674e2,67,unconditional,True,False,False,proteina-5f0dda5b86d0356674e2,True
proteina-23e3499330c6bf91c386,67,unconditional,True,False,False,proteina-23e3499330c6bf91c386,True
proteina-040195b459f0bae346cd,67,unconditional,True,False,False,proteina-040195b459f0bae346cd,True
proteina-2fb645cf7ed9858d98b5,70,2.x.x.x,True,True,False,,False
proteina-c6c8a06ad7243d1086c9,70,2.x.x.x,True,False,False,proteina-c6c8a06ad7243d1086c9,True
proteina-62686d2c3baa7e4a204d,70,2.x.x.x,True,False,False,proteina-62686d2c3baa7e4a204d,True
proteina-effdef27d18c89d1cc9f,70,2.x.x.x,False,True,False,,False
proteina-703814e51db9439d70ed,70,2.x.x.x,True,False,False,proteina-703814e51db9439d70ed,True
proteina-750860c5f762f05fc622,70,2.x.x.x,False,True,False,,False
proteina-b6a86a0b30f7f7cf7369,70,2.x.x.x,True,True,False,,False
proteina-858a112134d33d90120e,70,2.x.x.x,True,True,False,,False
proteina-6c898cc07887a4fd4b76,70,2.x.x.x,True,False,False,proteina-6c898cc07887a4fd4b76,True
proteina-d0aa9ebcc8df38612ed1,70,2.x.x.x,True,True,False,,False
proteina-c3e5153f32785fe2e951,70,2.x.x.x,True,False,False,proteina-3d659758e2f4dd4c800b,True
proteina-8b9a94bc4a6f6be2b0f5,70,2.x.x.x,True,True,False,,False
proteina-43c3de7aa5b89f606d4d,70,2.x.x.x,True,False,False,proteina-43c3de7aa5b89f606d4d,True
proteina-f28b65c29dd4bfb685ce,70,2.x.x.x,True,False,False,proteina-f28b65c29dd4bfb685ce,True
proteina-ab9820e2386ddf13e595,70,2.x.x.x,True,False,False,proteina-ab9820e2386ddf13e595,True
proteina-1cce2986c96559765b64,70,2.x.x.x,True,True,False,,False
proteina-75312bf2a62edf2e15d2,70,2.x.x.x,True,False,False,proteina-75312bf2a62edf2e15d2,True
proteina-dd31f48467fe87cd60a8,70,2.x.x.x,True,True,False,,False
proteina-8761b378b2bfd6c8643c,70,2.x.x.x,True,False,False,proteina-8761b378b2bfd6c8643c,True
proteina-e6175819d160523a49c4,71,2.x.x.x,True,False,False,proteina-e6175819d160523a49c4,True
proteina-77bb9a38bc819a307e2a,71,2.x.x.x,True,False,False,proteina-3d659758e2f4dd4c800b,True
proteina-d23326fddd0bfb01b3f1,71,2.x.x.x,True,False,False,proteina-d23326fddd0bfb01b3f1,True
proteina-9d18acfd186228104ee7,71,2.x.x.x,False,False,False,,False
proteina-26d316a95bf5f359f75a,71,2.x.x.x,True,True,False,,False
proteina-da75a8a6e0b09ea496d1,71,2.x.x.x,True,False,False,proteina-da75a8a6e0b09ea496d1,True
proteina-e6b68b5c06ce6ffb81ad,71,2.x.x.x,False,False,False,,False
proteina-74b68f378cc39b6dcbc9,71,2.x.x.x,True,False,False,proteina-74b68f378cc39b6dcbc9,True
proteina-6d91413628fdeda4c093,71,2.x.x.x,True,False,False,proteina-6d91413628fdeda4c093,True
proteina-aa154245193205651c5f,71,2.x.x.x,False,False,False,,False
proteina-4a98b133e0946ccb851c,71,2.x.x.x,True,False,False,proteina-4a98b133e0946ccb851c,True
proteina-bd9b5e60530f3c5c3ba6,71,2.x.x.x,True,False,False,proteina-8761b378b2bfd6c8643c,True
proteina-eb5b0b3a9963cbf95e54,71,2.x.x.x,True,False,False,proteina-eb5b0b3a9963cbf95e54,True
proteina-3d659758e2f4dd4c800b,71,2.x.x.x,True,False,False,proteina-3d659758e2f4dd4c800b,True
proteina-f16e89f9f9769d746ca2,71,2.x.x.x,True,False,False,proteina-f16e89f9f9769d746ca2,True
proteina-b69f41dc1359e6a8199a,71,2.x.x.x,True,False,False,proteina-b69f41dc1359e6a8199a,True
