query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-02422418f1ceb827f55d,A0A321L7R4,4.032E-01,4.408E-01,0.990,0.953,3.897E-01,proteina-02422418f1ceb827f55d,0.4032,train
proteina-07f1657eca5b7ea5ec3e,A0A5J4PRR1,5.960E-01,5.960E-01,0.954,0.966,5.401E-01,proteina-07f1657eca5b7ea5ec3e,0.596,train
proteina-0b1b14dba4574d7cdc96,A0A1H0G2G5,7.848E-01,7.848E-01,0.940,0.966,7.456E-01,proteina-0b1b14dba4574d7cdc96,0.7848,train
proteina-0cbb20ebc7bc80096ce1,A0A2K5EIB8,4.456E-01,4.939E-01,0.734,0.916,4.407E-01,proteina-0cbb20ebc7bc80096ce1,0.4456,train
proteina-121411408db0a75234e8,A0A7S3YUE9,7.432E-01,6.961E-01,0.951,0.946,7.013E-01,proteina-121411408db0a75234e8,0.6961,train
proteina-194fdb33b23e2913ce22,A0A0A9YMN2,8.366E-01,8.654E-01,0.955,0.972,8.215E-01,proteina-194fdb33b23e2913ce22,0.8366,train
proteina-1c10a9c24dd2a50d9b48,A0A2V7RHK2,4.657E-01,5.104E-01,0.880,1.000,4.576E-01,proteina-1c10a9c24dd2a50d9b48,0.4657,train
proteina-1fb7b50e5de676d3e023,A0A3C2B535,7.524E-01,7.184E-01,0.989,1.000,6.836E-01,proteina-1fb7b50e5de676d3e023,0.7184,train
proteina-214a23114a439cdab1cc,A0A5S4UPE7,4.029E-01,4.921E-01,0.962,0.943,4.217E-01,proteina-214a23114a439cdab1cc,0.4029,train
proteina-26065162237d2596b0d7,A0A832HYA8,6.878E-01,6.803E-01,0.927,0.970,6.699E-01,proteina-26065162237d2596b0d7,0.6803,train
proteina-b9506eac04fd0afdf32b,Q3LWE4,4.788E-01,4.788E-01,0.996,0.929,4.544E-01,proteina-b9506eac04fd0afdf32b,0.4788,train
proteina-bfaf2da926f36572964e,A0A6A5GTY7,5.237E-01,5.941E-01,0.844,0.887,5.447E-01,proteina-bfaf2da926f36572964e,0.5237,train
proteina-c83b402ba1cb6b2f40d2,A0A166HAD8,5.253E-01,5.573E-01,0.996,0.876,5.143E-01,proteina-c83b402ba1cb6b2f40d2,0.5253,train
proteina-cf0cc255b3d57af21ce5,R6TZX5,6.321E-01,6.634E-01,0.972,0.992,6.031E-01,proteina-cf0cc255b3d57af21ce5,0.6321,train
proteina-d1810ffd3a3c33af843e,A0A3B0QUN9,4.638E-01,5.215E-01,0.824,0.851,4.655E-01,proteina-d1810ffd3a3c33af843e,0.4638,train
proteina-d38f9d5a78ccbfacbbad,A0A183AFF1,4.219E-01,4.501E-01,0.906,0.832,4.105E-01,proteina-d38f9d5a78ccbfacbbad,0.4219,train
proteina-d609c6a19b0adaa0864e,A0A7C8IK84,3.817E-01,4.373E-01,0.746,0.989,3.899E-01,proteina-d609c6a19b0adaa0864e,0.3817,train
proteina-ddd0d23f4ab3ff7d5b42,A0A7K1US73,6.612E-01,6.499E-01,0.926,0.994,6.468E-01,proteina-ddd0d23f4ab3ff7d5b42,0.6499,train
proteina-eb15a995790542d49c1a,A0A2A2L5G6,6.923E-01,6.769E-01,1.000,0.969,6.622E-01,proteina-eb15a995790542d49c1a,0.6769,train
