dataset,stem,L,eval_set,is_viral,exp199_stratum,exp199_best_identity,#232 m2-p06 (decontaminated),#199 cooldown (contaminated),delta
foldbench_monomer,8es6_A,488,eval-test,0,id_30_50,0.406,0.4652173913043478,0.7108695652173913,-0.2456521739130435
foldbench_monomer,8ev4_A,125,eval-test,0,id_30_50,0.471,0.7684210526315789,0.8105263157894737,-0.04210526315789476
foldbench_monomer,8ew1_A,267,eval-test,0,id_70_100,0.795,0.6804407713498623,0.7024793388429752,-0.02203856749311295
foldbench_monomer,8ew9_A,248,eval-test,0,id_70_100,0.855,0.2857142857142857,0.4848484848484848,-0.1991341991341991
foldbench_monomer,8ey3_A,65,eval-test,0,id_70_100,0.793,0.4871794871794871,0.8717948717948718,-0.3846153846153847
foldbench_monomer,8ez6_A,72,eval-test,0,id_50_70,0.6,0.6904761904761905,0.7857142857142857,-0.09523809523809523
foldbench_monomer,8ezw_A,160,eval-test,0,id_50_70,0.58,0.6864406779661016,0.7372881355932204,-0.05084745762711873
foldbench_monomer,8f8n_A,220,eval-test,0,id_70_100,0.72,0.5229357798165137,0.4954128440366973,0.02752293577981646
foldbench_monomer,8f9o_A,496,eval-test,0,id_70_100,0.836,0.5796610169491525,0.7152542372881356,-0.13559322033898313
foldbench_monomer,8fbc_A,395,eval-test,0,id_30_50,0.489,0.6314553990610329,0.7065727699530516,-0.07511737089201875
foldbench_monomer,8jjq_A,331,eval-test,0,id_50_70,0.661,0.7167630057803468,0.7398843930635838,-0.023121387283236983
foldbench_monomer,8fib_A,441,eval-test,0,id_30_50,0.348,0.6831683168316832,0.7128712871287128,-0.02970297029702962
foldbench_monomer,8fr5_A,97,eval-test,1,id_50_70,0.654,0.6111111111111112,0.6555555555555556,-0.0444444444444444
foldbench_monomer,8fty_A,509,eval-test,0,id_70_100,0.863,0.4251290877796901,0.7125645438898451,-0.28743545611015503
foldbench_monomer,8h2f_A,180,eval-test,0,id_50_70,0.642,0.7593582887700535,0.7700534759358288,-0.010695187165775333
foldbench_monomer,8fz8_A,405,eval-test,0,id_30_50,0.401,0.7166212534059946,0.7438692098092643,-0.027247956403269713
foldbench_monomer,8fz9_A,138,eval-test,0,id_70_100,0.791,0.5971223021582733,0.5827338129496403,0.014388489208633004
foldbench_monomer,8g0n_A,247,eval-test,0,id_70_100,0.958,0.7300380228136882,0.7186311787072244,0.011406844106463865
foldbench_monomer,8g1l_A,252,eval-test,0,id_50_70,0.591,0.4618181818181818,0.5127272727272727,-0.050909090909090904
foldbench_monomer,8g1y_A,497,eval-test,0,id_70_100,0.9,0.3949579831932773,0.6008403361344538,-0.20588235294117646
foldbench_monomer,8g32_A,362,eval-test,0,id_70_100,0.913,0.0985074626865671,0.4507462686567164,-0.35223880597014934
foldbench_monomer,8g52_A,329,eval-test,0,id_50_70,0.611,0.51171875,0.62109375,-0.109375
foldbench_monomer,8g53_A,218,eval-test,0,id_50_70,0.648,0.4466666666666666,0.3933333333333333,0.05333333333333329
foldbench_monomer,8g5u_A,489,eval-test,0,id_50_70,0.55,0.5682242990654206,0.6074766355140186,-0.039252336448598046
foldbench_monomer,8g64_A,172,eval-test,0,id_70_100,0.854,0.74,0.7466666666666667,-0.00666666666666671
foldbench_monomer,8gbe_A,207,eval-test,1,no_homolog,,0.095,0.105,-0.009999999999999995
foldbench_monomer,8gdl_A,361,eval-test,0,id_50_70,0.655,0.5251256281407035,0.6030150753768844,-0.07788944723618085
foldbench_monomer,8gj9_A,65,eval-test,0,id_50_70,0.52,0.6388888888888888,0.6111111111111112,0.02777777777777768
foldbench_monomer,8gjw_A,355,eval-test,0,id_30_50,0.431,0.4624413145539906,0.6220657276995305,-0.15962441314553988
foldbench_monomer,8gjy_A,376,eval-test,0,id_50_70,0.666,0.5224586288416075,0.6359338061465721,-0.11347517730496459
foldbench_monomer,8gkd_A,358,eval-test,0,id_50_70,0.61,0.6637362637362637,0.6593406593406593,0.00439560439560438
foldbench_monomer,8gok_A,273,eval-test,0,id_70_100,0.953,0.1861313868613138,0.2627737226277372,-0.07664233576642338
foldbench_monomer,8gr7_A,343,eval-test,0,id_70_100,0.742,0.7303370786516854,0.7471910112359551,-0.016853932584269704
foldbench_monomer,8gsy_A,144,eval-test,0,id_30_50,0.351,0.6178861788617886,0.6666666666666666,-0.04878048780487798
foldbench_monomer,8gqq_A,99,eval-test,0,id_50_70,0.519,0.6565656565656566,0.696969696969697,-0.04040404040404044
foldbench_monomer,8gtz_A,483,eval-test,0,id_50_70,0.519,0.5508474576271186,0.6186440677966102,-0.06779661016949157
foldbench_monomer,8q79_A,236,eval-test,0,id_30_50,0.36,0.2509505703422053,0.2623574144486692,-0.01140684410646392
foldbench_monomer,8h02_A,84,eval-test,0,id_70_100,0.928,0.7407407407407407,0.7777777777777778,-0.03703703703703709
foldbench_monomer,8h5s_A,260,eval-test,0,id_70_100,0.742,0.6649214659685864,0.7015706806282722,-0.03664921465968585
foldbench_monomer,8hbt_A,446,eval-test,0,id_30_50,0.497,0.5242105263157895,0.6736842105263158,-0.14947368421052631
foldbench_monomer,8hd2_A,354,eval-test,0,id_70_100,0.826,0.6191780821917808,0.6082191780821918,0.010958904109588996
foldbench_monomer,8he1_A,280,eval-test,0,id_30_50,0.47,0.7103174603174603,0.7817460317460317,-0.0714285714285714
