dataset,stem,n_hits,best_fident,length,fold_verdict,seq_leakage,neff_tier,msa_neff
cameo_hard,8s89_A,0,0.0,401,novel_fold,novel_seq,orphan,1.0
cameo_hard,8u1a_A,0,0.0,324,same_fold,novel_seq,orphan,1.0
cameo_hard,8vej_B,0,0.0,242,same_fold,novel_seq,orphan,1.0
cameo_hard,9deb_E,0,0.0,83,redundant,novel_seq,orphan,1.0
cameo_hard,9had_C,0,0.0,108,redundant,novel_seq,orphan,1.0
cameo_hard,9j5h_A,0,0.0,35,novel_fold,redundant_seq,orphan,1.0
casp_fm,T1027-D1,0,0.0,168,novel_fold,novel_seq,deep,80.9098
casp_fm,T1039-D1,0,0.0,161,same_fold,novel_seq,marginal,16.0
casp_fm,T1041-D1,0,0.0,242,novel_fold,novel_seq,deep,371.4504
casp_fm,T1122-D1,0,0.0,230,novel_fold,novel_seq,orphan,1.0
casp_fm,T1125-D1,0,0.0,134,novel_fold,novel_seq,orphan,1.0
casp_fm,T1125-D5,0,0.0,150,novel_fold,novel_seq,low,2.0
denovo_pdb,4nez_A,0,0.0,160,same_fold,novel_seq,marginal,11.5833
denovo_pdb,4uos_A,0,0.0,188,same_fold,novel_seq,orphan,1.0
denovo_pdb,5cwc_A,0,0.0,196,same_fold,novel_seq,orphan,1.0
denovo_pdb,5cwd_A,0,0.0,171,same_fold,novel_seq,orphan,1.0
denovo_pdb,5cwg_A,0,0.0,195,same_fold,novel_seq,low,2.0
denovo_pdb,5cwi_A,0,0.0,233,same_fold,novel_seq,orphan,1.0
denovo_pdb,5cwj_A,0,0.0,160,same_fold,novel_seq,low,2.0
denovo_pdb,5cwk_A,0,0.0,172,same_fold,novel_seq,low,5.6667
denovo_pdb,5cwm_A,0,0.0,226,same_fold,novel_seq,orphan,1.1048
denovo_pdb,5cwn_A,0,0.0,207,same_fold,novel_seq,low,2.0
denovo_pdb,5cwp_A,0,0.0,229,same_fold,novel_seq,low,6.0
denovo_pdb,5cwq_A,0,0.0,233,same_fold,novel_seq,orphan,1.0
denovo_pdb,5j0i_A,0,0.0,73,redundant,novel_seq,low,2.0
denovo_pdb,5trv_A,0,0.0,118,same_fold,novel_seq,deep,364.1135
denovo_pdb,5vjs_A,0,0.0,196,same_fold,novel_seq,deep,130.6262
denovo_pdb,5vjt_A,0,0.0,196,same_fold,novel_seq,deep,130.6262
denovo_pdb,5vju_A,0,0.0,196,same_fold,novel_seq,deep,84.65
denovo_pdb,6mrs_A,0,0.0,77,same_fold,redundant_seq,low,2.0
