query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-ac9a2671eea6f8135817,A0A0G0RYB4,3.742E-01,4.612E-01,0.800,0.869,3.864E-01,proteina-ac9a2671eea6f8135817,0.3742,train
proteina-f96064f7e58225f9487a,A0A661S8U7,5.246E-01,5.426E-01,0.992,0.837,5.027E-01,proteina-f96064f7e58225f9487a,0.5246,train
proteina-50a271d20d5ffeb8e54b,A0A812TZB9,8.290E-01,8.486E-01,0.976,0.922,8.291E-01,proteina-50a271d20d5ffeb8e54b,0.829,train
proteina-ed68a587e75e745a1c8e,A0A2P2LXS9,6.334E-01,6.999E-01,0.996,0.923,6.334E-01,proteina-ed68a587e75e745a1c8e,0.6334,train
proteina-cf981e8a2adbe60b8003,A0A7V9B3A8,8.877E-01,8.269E-01,1.000,0.863,8.493E-01,proteina-cf981e8a2adbe60b8003,0.8269,train
proteina-88b689031a641994231e,A0A0X1KN11,4.875E-01,5.657E-01,0.568,0.991,5.086E-01,proteina-88b689031a641994231e,0.4875,train
proteina-8753bcd71e8fa64b8305,A0A4D4KY46,4.097E-01,3.981E-01,0.888,0.923,3.724E-01,proteina-8753bcd71e8fa64b8305,0.3981,train
proteina-aeae7a0caa78be19b380,A0A2H0IWK7,8.089E-01,7.818E-01,0.956,0.908,7.870E-01,proteina-aeae7a0caa78be19b380,0.7818,train
proteina-76ae51481f28d7d16835,G0QMN0,9.088E-01,9.452E-01,0.956,1.000,9.157E-01,proteina-76ae51481f28d7d16835,0.9088,train
proteina-7ec48bae314bc390807b,A0A355U6S3,4.621E-01,5.217E-01,0.713,0.954,4.696E-01,proteina-7ec48bae314bc390807b,0.4621,train
proteina-b82fd83657ef2b0f8114,A0A6N7W8J3,4.141E-01,4.195E-01,0.896,0.850,3.933E-01,proteina-b82fd83657ef2b0f8114,0.4141,train
proteina-db5619e2bf521738d324,A0A7J4UP55,4.009E-01,4.543E-01,0.964,0.916,4.015E-01,proteina-db5619e2bf521738d324,0.4009,train
proteina-c2a2ed10240c6f5eb045,A0A1E4AK22,3.680E-01,4.100E-01,0.988,0.923,3.670E-01,proteina-c2a2ed10240c6f5eb045,0.368,train
proteina-913c153c13ead6ab3327,A0A4R3I8S0,5.072E-01,4.645E-01,0.996,0.870,4.639E-01,proteina-913c153c13ead6ab3327,0.4645,train
proteina-066a366f8f30de2a2e62,A0A069JJV0,5.251E-01,5.563E-01,0.848,0.931,5.087E-01,proteina-066a366f8f30de2a2e62,0.5251,train
proteina-79396bd46f632d4dd4a9,M8BY59,8.275E-01,8.469E-01,0.928,0.935,8.251E-01,proteina-79396bd46f632d4dd4a9,0.8275,train
