query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-c620100f9995791508a9,A0A6L8C7L8,6.017E-01,6.226E-01,0.910,0.885,5.681E-01,proteina-c620100f9995791508a9,0.6017,train
proteina-08623e82f6c38a7ff069,A0A0E0M6M1,7.611E-01,7.122E-01,0.980,0.954,6.919E-01,proteina-08623e82f6c38a7ff069,0.7122,train
proteina-5577c9fab50dd1266bf2,A0A7S1A9P2,8.276E-01,7.931E-01,0.990,0.971,7.639E-01,proteina-5577c9fab50dd1266bf2,0.7931,train
proteina-946b81051cbba3b5f703,A0A6B0GHX7,6.354E-01,6.150E-01,0.880,0.990,5.806E-01,proteina-946b81051cbba3b5f703,0.615,train
proteina-d8b38fab9d70b86c27c8,A0A3B9N6N4,7.893E-01,7.893E-01,0.890,0.940,7.618E-01,proteina-d8b38fab9d70b86c27c8,0.7893,train
proteina-2a4a9abfb2af9f5d3ce5,A0A6N0NYY3,7.750E-01,7.819E-01,0.950,0.919,7.388E-01,proteina-2a4a9abfb2af9f5d3ce5,0.775,train
proteina-5bddec688225908f52cc,A0A353BCF7,6.205E-01,6.411E-01,0.850,0.979,5.746E-01,proteina-5bddec688225908f52cc,0.6205,train
proteina-a6688467907748128858,A0A7W3B8M5,6.734E-01,6.911E-01,1.000,0.887,6.360E-01,proteina-a6688467907748128858,0.6734,train
proteina-f1bc8902dca7f7abdc5a,A0A3E2YHG6,5.619E-01,6.129E-01,0.800,0.844,5.418E-01,proteina-f1bc8902dca7f7abdc5a,0.5619,train
proteina-30b018bee2cb5953c283,A0A174HL08,7.051E-01,6.492E-01,0.970,0.773,6.368E-01,proteina-30b018bee2cb5953c283,0.6492,train
proteina-cbfe929ddafc728b75f0,A0A542AIN5,5.785E-01,5.978E-01,0.890,0.927,5.373E-01,proteina-cbfe929ddafc728b75f0,0.5785,train
proteina-f800ee5280504b544e90,A0A7Y9WPJ5,7.012E-01,7.012E-01,1.000,1.000,6.374E-01,proteina-f800ee5280504b544e90,0.7012,train
proteina-42c3d74a0a7245b29cdc,A0A820LIL2,7.404E-01,8.118E-01,0.970,1.000,7.311E-01,proteina-42c3d74a0a7245b29cdc,0.7404,train
proteina-7bd1f6f210d46df9a286,A0A7Z9S1N8,6.369E-01,6.316E-01,0.890,0.950,5.901E-01,proteina-7bd1f6f210d46df9a286,0.6316,train
proteina-c47b28aae69757c46b68,A0A858AR13,6.892E-01,6.779E-01,0.970,0.882,6.352E-01,proteina-c47b28aae69757c46b68,0.6779,train
proteina-f9c349460293bbbe836e,A0A1Q4F426,6.573E-01,6.808E-01,0.950,0.906,6.280E-01,proteina-f9c349460293bbbe836e,0.6573,train
proteina-4551affa95444c8367f7,A0A7V0T4H5,6.546E-01,6.490E-01,0.840,0.812,6.089E-01,proteina-4551affa95444c8367f7,0.649,train
proteina-8b7919e8c8f9b7d17c50,A0A2G2M689,7.378E-01,6.583E-01,0.990,0.974,6.418E-01,proteina-8b7919e8c8f9b7d17c50,0.6583,train
proteina-a5cd1f724791d37063f9,A0A2W5V226,5.964E-01,5.202E-01,0.920,0.957,5.275E-01,proteina-a5cd1f724791d37063f9,0.5202,train
proteina-e58d1260d2adc966095b,A0A2C1JP41,6.519E-01,7.596E-01,0.880,1.000,6.466E-01,proteina-e58d1260d2adc966095b,0.6519,train
proteina-feb0e91be4e869c51ef9,A0A453EAT8,8.020E-01,8.322E-01,0.990,0.938,7.822E-01,proteina-feb0e91be4e869c51ef9,0.802,train
proteina-44dd382d304e94c1599e,A0A3B8SW70,6.327E-01,6.123E-01,0.920,0.817,5.765E-01,proteina-44dd382d304e94c1599e,0.6123,train
proteina-6e1f0a16c599cb4a2add,A0A497JKF8,7.568E-01,8.150E-01,0.910,0.989,7.473E-01,proteina-6e1f0a16c599cb4a2add,0.7568,train
proteina-a373a1c62a885386a711,A0A7T9I2Y5,7.603E-01,7.351E-01,1.000,0.952,7.005E-01,proteina-a373a1c62a885386a711,0.7351,train
proteina-0e55cc4493c0ae15c330,A0A2V8MMP2,6.798E-01,6.738E-01,0.970,0.832,6.466E-01,proteina-0e55cc4493c0ae15c330,0.6738,train
proteina-666c48866efe82a999be,A0A1V1WUH6,6.203E-01,6.837E-01,0.840,0.989,6.046E-01,proteina-666c48866efe82a999be,0.6203,train
proteina-8daf0a137dbc708eb6f0,A0A2I0W7B0,7.839E-01,7.839E-01,1.000,0.940,7.448E-01,proteina-8daf0a137dbc708eb6f0,0.7839,train
proteina-df9c3cc5385203d4b1e8,A0A533QIF3,6.668E-01,6.557E-01,0.990,0.833,6.171E-01,proteina-df9c3cc5385203d4b1e8,0.6557,train
proteina-367f5e37b2fec3ebf6dd,A0A1J5D9U8,7.389E-01,7.651E-01,0.920,1.000,7.026E-01,proteina-367f5e37b2fec3ebf6dd,0.7389,train
proteina-6ff5f07253e0a35e15e4,A0A0T2ZKV6,5.503E-01,6.292E-01,1.000,0.940,5.336E-01,proteina-6ff5f07253e0a35e15e4,0.5503,train
proteina-020472ebe33aa67481e1,A0A533VPZ3,6.112E-01,7.438E-01,0.740,0.925,6.388E-01,proteina-020472ebe33aa67481e1,0.6112,train
proteina-6088961eee1c4bbd62c0,A0A8A5X4P3,6.989E-01,7.597E-01,0.870,0.978,6.924E-01,proteina-6088961eee1c4bbd62c0,0.6989,train
proteina-adeafa1b8a1263f9f707,A0A7C4VQD7,6.276E-01,6.276E-01,0.870,0.970,5.824E-01,proteina-adeafa1b8a1263f9f707,0.6276,train
proteina-07892e951ee9425b73e6,A0A2A5AAW3,7.107E-01,7.308E-01,0.960,0.938,6.941E-01,proteina-07892e951ee9425b73e6,0.7107,train
proteina-3d1436f1835d3622222f,A0A352NQI1,7.296E-01,7.420E-01,0.990,1.000,6.809E-01,proteina-3d1436f1835d3622222f,0.7296,train
proteina-76eec2ffec8854fd5cca,A0A7W9HKC3,7.178E-01,7.363E-01,0.950,1.000,6.743E-01,proteina-76eec2ffec8854fd5cca,0.7178,train
proteina-dfe92b3705ef3c76824e,A0A7Y5WSE5,7.475E-01,7.008E-01,1.000,0.926,6.744E-01,proteina-dfe92b3705ef3c76824e,0.7008,train
proteina-276b5488628433a2a539,A0A7W8DT72,8.014E-01,8.158E-01,0.990,0.980,7.658E-01,proteina-276b5488628433a2a539,0.8014,train
proteina-5a3bda0628601d593ee8,V4NXK1,7.830E-01,7.629E-01,0.930,0.981,7.314E-01,proteina-5a3bda0628601d593ee8,0.7629,train
proteina-902a7b7c464bf3c315f7,A0A3D5AIG0,7.500E-01,7.757E-01,0.960,1.000,7.030E-01,proteina-902a7b7c464bf3c315f7,0.75,train
proteina-7b2c89173a94dc2fe651,A0A183HN69,8.253E-01,8.038E-01,0.990,0.932,7.753E-01,proteina-7b2c89173a94dc2fe651,0.8038,train
proteina-b1364757cc8f7d62c40f,A0A7X7PL93,8.444E-01,8.221E-01,1.000,0.981,7.975E-01,proteina-b1364757cc8f7d62c40f,0.8221,train
proteina-1c1f932ebc86e3916f5c,A0A0J1FP61,7.132E-01,6.707E-01,1.000,0.917,6.318E-01,proteina-1c1f932ebc86e3916f5c,0.6707,train
proteina-696132d886d3c9b52251,A0A7X7PL93,7.893E-01,7.683E-01,0.930,0.932,7.471E-01,proteina-696132d886d3c9b52251,0.7683,train
proteina-b973158da8600beb120e,A0A024FKR2,6.427E-01,6.315E-01,1.000,0.882,6.057E-01,proteina-b973158da8600beb120e,0.6315,train
proteina-fcacbecfcb0d7acb4612,A0A356F8C1,6.608E-01,7.214E-01,0.880,1.000,6.388E-01,proteina-fcacbecfcb0d7acb4612,0.6608,train
proteina-4cf11ff8e0061630e406,A0A2E6AU83,7.857E-01,7.724E-01,0.950,0.931,7.325E-01,proteina-4cf11ff8e0061630e406,0.7724,train
proteina-6695f96944090be48f16,A0A0G1U097,4.028E-01,3.578E-01,0.920,0.941,3.359E-01,proteina-6695f96944090be48f16,0.3578,train
