eval_set,stem,L,requested_pairs,effective_pairs,dropped_short_pairs
eval-denovo,5sbj_A,30,0,0,0
eval-denovo,5sbj_A,30,10,10,0
eval-denovo,5sbj_A,30,20,20,0
eval-denovo,5sbj_A,30,30,30,0
eval-denovo,7ur7_A,70,0,0,0
eval-denovo,7ur7_A,70,10,10,0
eval-denovo,7ur7_A,70,20,20,0
eval-denovo,7ur7_A,70,30,30,0
eval-denovo,7ur7_A,70,40,40,0
eval-denovo,7ur7_A,70,50,50,0
eval-denovo,7ur7_A,70,60,60,0
eval-denovo,7ur7_A,70,70,70,0
eval-denovo,8ah9_A,120,0,0,0
eval-denovo,8ah9_A,120,10,10,0
eval-denovo,8ah9_A,120,20,20,0
eval-denovo,8ah9_A,120,30,30,0
eval-denovo,8ah9_A,120,40,40,0
eval-denovo,8ah9_A,120,50,50,0
eval-denovo,8ah9_A,120,60,60,0
eval-denovo,8ah9_A,120,70,70,0
eval-denovo,8ah9_A,120,80,80,0
eval-denovo,8ah9_A,120,90,90,0
eval-denovo,8ah9_A,120,100,100,0
eval-denovo,8ah9_A,120,110,110,0
eval-denovo,8ah9_A,120,120,120,0
eval-denovo,8eov_A,146,0,0,0
eval-denovo,8eov_A,146,10,10,0
eval-denovo,8eov_A,146,20,20,0
eval-denovo,8eov_A,146,30,30,0
eval-denovo,8eov_A,146,40,40,0
eval-denovo,8eov_A,146,50,50,0
eval-denovo,8eov_A,146,60,60,0
eval-denovo,8eov_A,146,70,70,0
eval-denovo,8eov_A,146,80,80,0
eval-denovo,8eov_A,146,90,90,0
eval-denovo,8eov_A,146,100,100,0
eval-denovo,8eov_A,146,110,110,0
eval-denovo,8eov_A,146,120,120,0
eval-denovo,8eov_A,146,130,130,0
eval-denovo,8eov_A,146,140,140,0
eval-denovo,8eov_A,146,146,146,0
eval-denovo,8fjf_A,134,0,0,0
eval-denovo,8fjf_A,134,10,10,0
eval-denovo,8fjf_A,134,20,20,0
eval-denovo,8fjf_A,134,30,30,0
eval-denovo,8fjf_A,134,40,40,0
eval-denovo,8fjf_A,134,50,50,0
eval-denovo,8fjf_A,134,60,60,0
eval-denovo,8fjf_A,134,70,70,0
eval-denovo,8fjf_A,134,80,80,0
eval-denovo,8fjf_A,134,90,90,0
eval-denovo,8fjf_A,134,100,100,0
eval-denovo,8fjf_A,134,110,110,0
eval-denovo,8fjf_A,134,120,120,0
eval-denovo,8fjf_A,134,130,130,0
eval-denovo,8fjf_A,134,134,134,0
eval-denovo,8gac_A,106,0,0,0
eval-denovo,8gac_A,106,10,10,0
eval-denovo,8gac_A,106,20,20,0
eval-denovo,8gac_A,106,30,30,0
eval-denovo,8gac_A,106,40,40,0
eval-denovo,8gac_A,106,50,50,0
eval-denovo,8gac_A,106,60,60,0
eval-denovo,8gac_A,106,70,70,0
eval-denovo,8gac_A,106,80,80,0
eval-denovo,8gac_A,106,90,90,0
eval-denovo,8gac_A,106,100,100,0
eval-denovo,8gac_A,106,106,106,0
eval-denovo,8ju8_A,139,0,0,0
eval-denovo,8ju8_A,139,10,10,0
eval-denovo,8ju8_A,139,20,20,0
eval-denovo,8ju8_A,139,30,30,0
eval-denovo,8ju8_A,139,40,40,0
eval-denovo,8ju8_A,139,50,50,0
eval-denovo,8ju8_A,139,60,60,0
eval-denovo,8ju8_A,139,70,70,0
eval-denovo,8ju8_A,139,80,80,0
eval-denovo,8ju8_A,139,90,90,0
eval-denovo,8ju8_A,139,100,100,0
eval-denovo,8ju8_A,139,110,110,0
eval-denovo,8ju8_A,139,120,120,0
eval-denovo,8ju8_A,139,130,130,0
eval-denovo,8ju8_A,139,139,139,0
eval-denovo,8k7o_A,233,0,0,0
eval-denovo,8k7o_A,233,10,10,0
eval-denovo,8k7o_A,233,20,20,0
eval-denovo,8k7o_A,233,30,30,0
eval-denovo,8k7o_A,233,40,40,0
eval-denovo,8k7o_A,233,50,50,0
eval-denovo,8k7o_A,233,60,60,0
eval-denovo,8k7o_A,233,70,70,0
eval-denovo,8k7o_A,233,80,80,0
eval-denovo,8k7o_A,233,90,90,0
eval-denovo,8k7o_A,233,100,100,0
eval-denovo,8k7o_A,233,110,110,0
eval-denovo,8k7o_A,233,120,120,0
eval-denovo,8k7o_A,233,130,130,0
eval-denovo,8k7o_A,233,140,140,0
eval-denovo,8k7o_A,233,150,150,0
eval-denovo,8k7o_A,233,160,160,0
eval-denovo,8k7o_A,233,170,170,0
eval-denovo,8k7o_A,233,180,180,0
eval-denovo,8k7o_A,233,190,190,0
eval-denovo,8k7o_A,233,200,200,0
eval-denovo,8k7o_A,233,210,210,0
eval-denovo,8k7o_A,233,220,220,0
eval-denovo,8k7o_A,233,230,230,0
eval-denovo,8k7o_A,233,233,233,0
eval-denovo,8k7z_A,180,0,0,0
eval-denovo,8k7z_A,180,10,10,0
eval-denovo,8k7z_A,180,20,20,0
eval-denovo,8k7z_A,180,30,30,0
eval-denovo,8k7z_A,180,40,40,0
eval-denovo,8k7z_A,180,50,50,0
eval-denovo,8k7z_A,180,60,60,0
eval-denovo,8k7z_A,180,70,70,0
eval-denovo,8k7z_A,180,80,80,0
eval-denovo,8k7z_A,180,90,90,0
eval-denovo,8k7z_A,180,100,100,0
eval-denovo,8k7z_A,180,110,110,0
eval-denovo,8k7z_A,180,120,120,0
eval-denovo,8k7z_A,180,130,130,0
eval-denovo,8k7z_A,180,140,140,0
eval-denovo,8k7z_A,180,150,150,0
eval-denovo,8k7z_A,180,160,160,0
eval-denovo,8k7z_A,180,170,170,0
eval-denovo,8k7z_A,180,180,180,0
eval-denovo,8k83_A,181,0,0,0
eval-denovo,8k83_A,181,10,10,0
eval-denovo,8k83_A,181,20,20,0
eval-denovo,8k83_A,181,30,30,0
eval-denovo,8k83_A,181,40,40,0
eval-denovo,8k83_A,181,50,50,0
eval-denovo,8k83_A,181,60,60,0
eval-denovo,8k83_A,181,70,70,0
eval-denovo,8k83_A,181,80,80,0
eval-denovo,8k83_A,181,90,90,0
eval-denovo,8k83_A,181,100,100,0
eval-denovo,8k83_A,181,110,110,0
eval-denovo,8k83_A,181,120,120,0
eval-denovo,8k83_A,181,130,130,0
eval-denovo,8k83_A,181,140,140,0
eval-denovo,8k83_A,181,150,150,0
eval-denovo,8k83_A,181,160,160,0
eval-denovo,8k83_A,181,170,170,0
eval-denovo,8k83_A,181,180,180,0
eval-denovo,8k83_A,181,181,181,0
eval-denovo,8k84_A,177,0,0,0
eval-denovo,8k84_A,177,10,10,0
eval-denovo,8k84_A,177,20,20,0
eval-denovo,8k84_A,177,30,30,0
eval-denovo,8k84_A,177,40,40,0
eval-denovo,8k84_A,177,50,50,0
eval-denovo,8k84_A,177,60,60,0
eval-denovo,8k84_A,177,70,70,0
eval-denovo,8k84_A,177,80,80,0
eval-denovo,8k84_A,177,90,90,0
eval-denovo,8k84_A,177,100,100,0
eval-denovo,8k84_A,177,110,110,0
eval-denovo,8k84_A,177,120,120,0
eval-denovo,8k84_A,177,130,130,0
eval-denovo,8k84_A,177,140,140,0
eval-denovo,8k84_A,177,150,150,0
eval-denovo,8k84_A,177,160,160,0
eval-denovo,8k84_A,177,170,170,0
eval-denovo,8k84_A,177,177,177,0
eval-denovo,8ka7_A,124,0,0,0
eval-denovo,8ka7_A,124,10,10,0
eval-denovo,8ka7_A,124,20,20,0
eval-denovo,8ka7_A,124,30,30,0
eval-denovo,8ka7_A,124,40,40,0
eval-denovo,8ka7_A,124,50,50,0
eval-denovo,8ka7_A,124,60,60,0
eval-denovo,8ka7_A,124,70,70,0
eval-denovo,8ka7_A,124,80,80,0
eval-denovo,8ka7_A,124,90,90,0
eval-denovo,8ka7_A,124,100,100,0
eval-denovo,8ka7_A,124,110,110,0
eval-denovo,8ka7_A,124,120,120,0
eval-denovo,8ka7_A,124,124,124,0
eval-denovo,8kac_A,129,0,0,0
eval-denovo,8kac_A,129,10,10,0
