eval_set,stem,L,metric,n_predictions,oracle_best,oracle_cut,mean_prediction,median_prediction,confidence_top,confidence_cut,confidence_effective_cut,confidence_score,top_zero_confidence,top_l_confidence
eval-denovo,5sbj_A,30,gdt_ts,12,0.9732142857142857,20,0.8772321428571428,0.9330357142857143,0.8928571428571429,0,0,0.5414626598358154,0.8928571428571429,0.9732142857142857
eval-denovo,5sbj_A,30,lddt,12,0.8173395386021014,30,0.7586393139942135,0.7733554134307903,0.7741120374600274,0,0,0.5414626598358154,0.7741120374600274,0.7902723846505253
eval-denovo,5sbj_A,30,tm_score,12,0.758972882870122,20,0.6393569404175781,0.7077332218617531,0.6915377175483608,0,0,0.5414626598358154,0.6915377175483608,0.7377239467795834
eval-denovo,5sbj_A,30,rmsd,12,0.42332262348109584,20,0.7066581199997467,0.5544048706241596,0.7178413968574451,0,0,0.5414626598358154,0.7178413968574451,0.4555120807805486
eval-denovo,7ur7_A,70,gdt_ts,24,0.9166666666666666,0,0.8930224867724867,0.8968253968253969,0.9166666666666666,0,0,0.8724960088729858,0.9166666666666666,0.9047619047619048
eval-denovo,7ur7_A,70,lddt,24,0.8674713991573149,0,0.827359626336865,0.8336071832771998,0.8674713991573149,0,0,0.8724960088729858,0.8674713991573149,0.8474780806414224
eval-denovo,7ur7_A,70,tm_score,24,0.9045805130785824,0,0.8942333882822131,0.8959546994428319,0.9045805130785824,0,0,0.8724960088729858,0.9045805130785824,0.9003355442359569
eval-denovo,7ur7_A,70,rmsd,24,0.6905659129067514,30,0.7660395848094884,0.7698861430256823,0.7465299558230465,0,0,0.8724960088729858,0.7465299558230465,0.7713271334360435
eval-denovo,8ah9_A,120,gdt_ts,39,0.9782608695652174,0,0.9688405797101449,0.9695652173913043,0.9630434782608696,0,0,0.7891857028007507,0.9630434782608696,0.9695652173913043
eval-denovo,8ah9_A,120,lddt,39,0.7983055386033304,0,0.7886586180588622,0.7884102825970531,0.7983055386033304,0,0,0.7891857028007507,0.7983055386033304,0.7910958264313559
eval-denovo,8ah9_A,120,tm_score,39,0.9737816339535893,110,0.970203633403243,0.9707972532140364,0.967332386908162,0,0,0.7891857028007507,0.967332386908162,0.9719112037363293
eval-denovo,8ah9_A,120,rmsd,39,0.3847245937169351,110,0.4189907935006833,0.41019823918493936,0.43421927331909665,0,0,0.7891857028007507,0.43421927331909665,0.39786924305330795
eval-denovo,8eov_A,146,gdt_ts,48,0.9280575539568345,20,0.8999550359712231,0.9001798561151079,0.9010791366906474,130,130,0.8941168785095215,0.9226618705035972,0.8938848920863309
eval-denovo,8eov_A,146,lddt,48,0.8947542061248295,30,0.8764406554173834,0.8766118947826258,0.8791480496629169,130,130,0.8941168785095215,0.8892642494217197,0.8789800023724323
eval-denovo,8eov_A,146,tm_score,48,0.9606027206992154,0,0.9486989444701815,0.9482036517274586,0.9458420981378474,130,130,0.8941168785095215,0.9586108754944396,0.9432387937348057
eval-denovo,8eov_A,146,rmsd,48,0.5234208260377878,0,0.6160884835397243,0.6193379857981292,0.6492908824627045,130,130,0.8941168785095215,0.5491518627871166,0.6685257912574695
eval-denovo,8fjf_A,134,gdt_ts,45,0.9862204724409449,0,0.6329396325459318,0.954724409448819,0.9645669291338583,0,0,0.9519206285476685,0.9645669291338583,0.9625984251968505
eval-denovo,8fjf_A,134,lddt,45,0.8953324193850769,0,0.7558126848727242,0.8611179461942257,0.8815807203787026,0,0,0.9519206285476685,0.8815807203787026,0.8794818616422947
eval-denovo,8fjf_A,134,tm_score,45,0.9791759509878949,0,0.7983464236229586,0.964764130669311,0.9707568087377365,0,0,0.9519206285476685,0.9707568087377365,0.9701304387983839
eval-denovo,8fjf_A,134,rmsd,45,0.35873073931848454,0,3.5332127086484526,0.5216416464071636,0.4289148347051364,0,0,0.9519206285476685,0.4289148347051364,0.43279502989326457
eval-denovo,8gac_A,106,gdt_ts,36,0.941747572815534,0,0.822950377562028,0.8216019417475728,0.8883495145631068,0,0,0.8840267658233643,0.8883495145631068,0.7936893203883495
eval-denovo,8gac_A,106,lddt,36,0.8237037089861439,50,0.7807806469351678,0.7755282506222054,0.8201879809166566,0,0,0.8840267658233643,0.8201879809166566,0.7743016680097271
eval-denovo,8gac_A,106,tm_score,36,0.9500947112497006,0,0.8830236016015719,0.8788084519793853,0.9271524344103887,0,0,0.8840267658233643,0.9271524344103887,0.8670229841589259
eval-denovo,8gac_A,106,rmsd,36,0.5283642606931315,0,0.8747099698153977,0.8924280458632186,0.6879866700317457,0,0,0.8840267658233643,0.6879866700317457,0.9519747223898598
eval-denovo,8ju8_A,139,gdt_ts,45,0.7697841726618704,139,0.5970023980815348,0.5719424460431655,0.6330935251798562,60,60,0.882005512714386,0.564748201438849,0.7517985611510791
eval-denovo,8ju8_A,139,lddt,45,0.7776893342717655,139,0.7000461457871721,0.6918772553094032,0.7289551004904425,60,60,0.882005512714386,0.6952888471807934,0.7776893342717655
eval-denovo,8ju8_A,139,tm_score,45,0.8999910456705202,139,0.8366561083393532,0.8297793763272736,0.8637202053227345,60,60,0.882005512714386,0.8151157306838059,0.8999910456705202
eval-denovo,8ju8_A,139,rmsd,45,1.5498389641972312,139,2.2520642350414057,2.2868572597130656,2.1491353946903695,60,60,0.882005512714386,2.388673261347769,1.6792735417452358
eval-denovo,8k7o_A,233,gdt_ts,75,0.9345493562231759,150,0.8801287553648068,0.8841201716738197,0.9163090128755365,0,0,0.9346639513969421,0.9163090128755365,0.8744635193133047
eval-denovo,8k7o_A,233,lddt,75,0.8415983130910286,0,0.8043195139033333,0.8135974630046634,0.8264301497297509,0,0,0.9346639513969421,0.8264301497297509,0.7604813840129502
eval-denovo,8k7o_A,233,tm_score,75,0.9723388604017236,150,0.9586252558977615,0.9604585701634388,0.9660564302684705,0,0,0.9346639513969421,0.9660564302684705,0.9515497772813988
eval-denovo,8k7o_A,233,rmsd,75,0.5735614847129709,150,0.7772299871288271,0.7219669683921067,0.6719858206254725,0,0,0.9346639513969421,0.6719858206254725,0.9812168367923586
eval-denovo,8k7z_A,180,gdt_ts,57,0.9491279069767442,10,0.7741483068135455,0.7688953488372093,0.9491279069767442,10,10,0.9457264542579651,0.8023255813953488,0.5363372093023255
eval-denovo,8k7z_A,180,lddt,57,0.9074277778883868,10,0.7672843361315068,0.7628964501164712,0.9074277778883868,10,10,0.9457264542579651,0.8051421546180342,0.6226767973400761
eval-denovo,8k7z_A,180,tm_score,57,0.971851457419127,10,0.8973751103250378,0.8998387510976531,0.971851457419127,10,10,0.9457264542579651,0.912376818555244,0.7754869841320321
eval-denovo,8k7z_A,180,rmsd,57,0.5496444325613769,10,1.2429690550840118,1.304918397931468,0.5496444325613769,10,10,0.9457264542579651,0.9540240668399089,2.0642247966285128
eval-denovo,8k83_A,181,gdt_ts,60,0.9080459770114943,20,0.8818486590038314,0.8814655172413793,0.8735632183908046,150,150,0.9405368566513062,0.8922413793103448,0.8778735632183908
eval-denovo,8k83_A,181,lddt,60,0.8872251239959619,0,0.857215577404205,0.8564077382258701,0.8513496905587499,150,150,0.9405368566513062,0.8784751788614318,0.8535871044199622
eval-denovo,8k83_A,181,tm_score,60,0.9577463786468856,10,0.9471732207023769,0.9462719486737152,0.9411302905859275,150,150,0.9405368566513062,0.9536210703940526,0.9419218976090803
eval-denovo,8k83_A,181,rmsd,60,0.6250123875064214,10,0.719578673388831,0.7289593314215896,0.7695650749604966,150,150,0.9405368566513062,0.6643770477979505,0.7653189550262108
eval-denovo,8k84_A,177,gdt_ts,57,0.9783236994219653,40,0.914207484027989,0.9667630057803468,0.9624277456647399,177,177,0.9568338394165039,0.4421965317919075,0.9624277456647399
eval-denovo,8k84_A,177,lddt,57,0.8839935087003806,30,0.8579747973965637,0.8737648263322457,0.8690312330070691,177,177,0.9568338394165039,0.6950161857667211,0.8690312330070691
