eval_set,stem,msa_depth
eval-denovo,5sbj_A,2
eval-denovo,7ur7_A,2
eval-denovo,8ah9_A,8
eval-denovo,8eov_A,2
eval-denovo,8fjf_A,2
eval-denovo,8gac_A,2
eval-denovo,8ju8_A,2
eval-denovo,8k7o_A,64
eval-denovo,8k7z_A,2
eval-denovo,8k83_A,2
eval-denovo,8k84_A,201
eval-denovo,8ka7_A,2
eval-denovo,8kac_A,351
eval-denovo,8kcj_A,2
eval-denovo,8oys_A,2
eval-denovo,8oyy_A,2
eval-denovo,8qkd_A,2
eval-denovo,8qup_A,188
eval-denovo,8vc8_A,2
eval-val,7qp5_A,760
eval-val,7qsj_A,4109
eval-val,7t9r_A,605
eval-val,7tjb_A,2695
eval-val,7tlh_A,1571
eval-val,7uba_A,825
eval-val,7uk8_A,6883
eval-val,7ur2_A,3520
eval-val,7urp_A,373
eval-val,7uvg_A,258
eval-val,7uww_A,2999
eval-val,7v3o_A,1763
eval-val,7w15_A,3269
eval-val,7wz5_A,419
eval-val,7wzm_A,13687
eval-val,7x3h_A,431
eval-val,7x4p_A,2349
eval-val,7x8l_A,15750
eval-val,7xcd_A,22
eval-val,7xg9_A,6291
eval-val,7xi5_A,8344
eval-val,7xjr_A,1824
eval-val,7xlz_A,7530
eval-val,7xp9_A,14
eval-val,7xq4_A,3205
eval-val,7xrx_A,4876
eval-val,7xyr_A,13071
eval-val,7xz3_A,2326
eval-val,7y3h_A,2954
eval-val,7y4h_A,3065
eval-val,7y54_A,6350
eval-val,7y5j_A,6807
eval-val,7y5m_A,617
eval-val,7y5r_A,7175
eval-val,7y8h_A,7160
eval-val,7y8i_A,5975
eval-val,7yd4_A,204
eval-val,7yhr_A,795
eval-val,7ykm_A,6843
eval-val,7ylr_A,13175
eval-val,7yug_A,1016
eval-val,7yyg_A,467
eval-val,7z65_A,976
eval-val,7znz_A,14553
eval-val,7zoi_A,5108
eval-val,7zs2_A,10786
eval-val,7zu3_A,152
eval-val,7zv1_A,211
eval-val,8adc_A,37
eval-val,8add_A,425
eval-val,8ak2_A,9228
eval-val,8akh_A,4818
eval-val,8amo_A,10164
eval-val,8arl_A,750
eval-val,8au6_A,1629
eval-val,8axj_A,8861
eval-val,8azb_A,10171
eval-val,8b2e_A,8124
eval-val,8b2g_A,9187
eval-val,8b2s_A,11374
eval-val,8b4u_A,7444
eval-val,8b5w_A,1782
eval-val,8b61_A,666
eval-val,8b6a_A,2190
eval-val,8b6e_A,1220
eval-val,8baq_A,1901
eval-val,8bau_A,8803
eval-val,8bfy_A,2829
eval-val,8bgb_A,6729
eval-val,8bke_A,1369
eval-val,8bsb_A,177
eval-val,8bux_A,468
eval-val,8c4d_A,1261
eval-val,8c4y_A,5267
eval-val,8cba_A,124
eval-val,8ci9_A,4450
eval-val,8cih_A,853
eval-val,8cpk_A,17150
eval-val,8cpn_A,407
eval-val,8d2z_A,9977
eval-val,8daj_A,14853
eval-val,8dez_A,562
eval-val,8dge_A,10569
eval-val,8dhj_A,9218
eval-val,8dmu_A,1918
eval-val,8dp9_A,5320
eval-val,8dqd_A,8851
eval-val,8dx0_A,12803
eval-val,8e0r_A,1361
eval-val,8e5h_A,11649
eval-val,8eb9_A,25
eval-val,8ec3_A,26
eval-val,8eo5_A,7470
eval-val,8gmy_A,1377
eval-val,8q8i_A,4262
eval-val,8ycm_A,1231
