pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
8eb9,A,1.5B_iter_R4_grow_from_baseline,95,11.0525,13.3383,3075,4.8780,7.5972,422,0.2526,0.2766,0.3684,0.2632,0.2340,0.4211,0.2632,0.3617,0.4211,41,66,119,0.2719,0.2697
7y5j,A,1.5B_iter_R4_grow_from_baseline,102,8.8447,12.1738,3204,1.4117,2.1758,439,0.3529,0.5098,0.7500,0.4118,0.7451,0.9000,0.7843,0.8039,0.9500,36,54,147,0.5982,0.5695
7ykm,A,1.5B_iter_R4_grow_from_baseline,105,9.0839,12.2035,2561,1.6292,2.9669,367,0.2095,0.3846,0.8095,0.2381,0.3269,0.4762,0.3619,0.4808,0.8095,22,28,70,0.5416,0.5162
7ur2,A,1.5B_iter_R4_grow_from_baseline,195,11.2471,13.7522,7243,2.7646,4.0815,709,0.1590,0.2268,0.2821,0.1282,0.2165,0.3590,0.4205,0.5361,0.6667,36,28,227,0.3628,0.3521
8baq,A,1.5B_iter_R4_grow_from_baseline,208,12.6679,14.6692,10715,4.6946,7.0909,977,0.1202,0.1538,0.2439,0.1731,0.1538,0.1951,0.2740,0.3750,0.3171,47,73,306,0.2767,0.2720
8cba,A,1.5B_iter_R4_grow_from_baseline,214,12.1687,14.3750,8025,4.1037,6.7295,764,0.2103,0.2430,0.3095,0.2009,0.2710,0.4762,0.2243,0.2150,0.1905,64,64,189,0.3184,0.3049
7zs2,A,1.5B_iter_R4_grow_from_baseline,316,13.4988,15.2621,12367,6.4665,9.4194,1192,0.2595,0.2785,0.2381,0.1962,0.2342,0.2857,0.2120,0.2785,0.3175,121,87,280,0.2196,0.2209
7xz3,A,1.5B_iter_R4_grow_from_baseline,325,14.0497,15.8931,13875,7.5876,12.0109,1315,0.1292,0.1790,0.2462,0.1569,0.2160,0.2769,0.2215,0.2407,0.3077,53,72,466,0.2699,0.2573
7ylr,A,1.5B_iter_R4_grow_from_baseline,330,13.6914,15.4358,18471,6.1940,9.2221,1616,0.2152,0.2788,0.2727,0.2242,0.2909,0.3333,0.3515,0.4000,0.4848,98,157,534,0.2498,0.2513
7uk8,A,1.5B_iter_R4_grow_from_baseline,394,15.4102,16.7350,23509,8.7954,12.9354,1926,0.1650,0.2589,0.2692,0.2056,0.2792,0.2821,0.1954,0.2640,0.2821,110,129,657,0.1862,0.1827
