pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
8eb9,A,baseline_naive_1.5B,95,6.3507,7.7630,3075,7.7973,10.2519,422,0.1895,0.2128,0.1053,0.1474,0.1915,0.2632,0.2526,0.3404,0.3158,41,66,119,0.1496,0.1974
7y5j,A,baseline_naive_1.5B,102,1.8707,2.5238,3204,1.9766,2.8369,439,0.3333,0.5098,0.8000,0.5000,0.7647,0.9500,0.7745,0.9020,0.9500,36,54,147,0.5326,0.4724
7ykm,A,baseline_naive_1.5B,105,3.9231,5.2467,2561,3.6113,5.5560,367,0.2095,0.3846,0.7143,0.1619,0.2692,0.3810,0.4381,0.6538,0.9048,22,28,70,0.3124,0.3514
7ur2,A,baseline_naive_1.5B,195,5.5717,7.1451,7243,5.1540,8.0375,709,0.1128,0.1546,0.3590,0.1179,0.2165,0.4103,0.3538,0.4845,0.6667,36,28,227,0.2577,0.2764
8baq,A,baseline_naive_1.5B,208,6.4650,7.8753,10715,7.1038,9.8634,977,0.1346,0.2019,0.2195,0.0481,0.0385,0.0244,0.1010,0.0192,0.0000,47,73,306,0.1854,0.2165
8cba,A,baseline_naive_1.5B,214,6.9146,8.4515,8025,6.4762,9.6391,764,0.1822,0.2617,0.3333,0.1308,0.1963,0.3571,0.1308,0.1495,0.1667,64,64,189,0.2054,0.2288
7zs2,A,baseline_naive_1.5B,316,5.0764,6.7467,12367,4.8379,7.4955,1192,0.3101,0.4620,0.6825,0.1772,0.2785,0.3810,0.2057,0.2658,0.4603,121,87,280,0.2809,0.2896
7xz3,A,baseline_naive_1.5B,325,7.6999,9.2638,13875,8.0341,11.4678,1315,0.1385,0.2037,0.2615,0.1077,0.1235,0.1077,0.0923,0.1049,0.0769,53,72,466,0.2011,0.2241
7ylr,A,baseline_naive_1.5B,330,5.5135,7.2878,18471,5.1976,8.0778,1616,0.2424,0.4545,0.7424,0.2848,0.4667,0.6364,0.4636,0.6242,0.8485,98,157,534,0.3071,0.3048
7uk8,A,baseline_naive_1.5B,394,8.6098,10.2818,23509,8.0689,11.8773,1926,0.2132,0.3401,0.6026,0.1777,0.2487,0.3333,0.1777,0.2538,0.3974,110,129,657,0.1944,0.2119
