pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
8eb9,A,baseline_naive,95,6.2605,7.6359,3075,7.5367,9.9357,422,0.2211,0.2128,0.2105,0.1895,0.2340,0.4211,0.3368,0.4255,0.5263,41,66,119,0.1510,0.2006
7y5j,A,baseline_naive,102,2.6148,3.7012,3204,3.2862,4.8386,439,0.3235,0.5490,0.7000,0.4608,0.7059,0.8500,0.6667,0.8039,0.8500,36,54,147,0.4485,0.4062
7ykm,A,baseline_naive,105,3.6440,4.9402,2561,3.4617,5.3355,367,0.2000,0.3654,0.7619,0.1524,0.2500,0.2857,0.4000,0.6154,0.9048,22,28,70,0.3317,0.3571
7ur2,A,baseline_naive,195,5.3047,6.8954,7243,5.1779,8.0741,709,0.1231,0.1959,0.3333,0.1179,0.2165,0.4103,0.3897,0.4948,0.6667,36,28,227,0.2633,0.2833
8baq,A,baseline_naive,208,6.3033,7.7093,10715,7.0445,9.8516,977,0.1346,0.2019,0.1951,0.0577,0.0481,0.0244,0.0769,0.0288,0.0244,47,73,306,0.1872,0.2203
8cba,A,baseline_naive,214,6.8117,8.3167,8025,6.4074,9.5285,764,0.1682,0.1963,0.2857,0.0981,0.1589,0.3095,0.1215,0.1869,0.3095,64,64,189,0.2045,0.2292
7zs2,A,baseline_naive,316,5.4997,7.1151,12367,5.4321,8.2707,1192,0.2753,0.4177,0.6032,0.1867,0.2848,0.4444,0.1487,0.1962,0.3810,121,87,280,0.2500,0.2697
7xz3,A,baseline_naive,325,7.5793,9.1683,13875,8.0181,11.4402,1315,0.1292,0.1790,0.2462,0.1231,0.1235,0.1385,0.0892,0.1173,0.1077,53,72,466,0.1913,0.2197
7ylr,A,baseline_naive,330,5.4175,7.0454,18471,5.6628,8.3434,1616,0.2394,0.4182,0.6364,0.2697,0.4182,0.6515,0.4061,0.5758,0.6667,98,157,534,0.2673,0.2781
7uk8,A,baseline_naive,394,8.0924,9.7267,23509,7.7926,11.4593,1926,0.1929,0.3249,0.5128,0.1244,0.1523,0.2051,0.1447,0.2386,0.4359,110,129,657,0.2010,0.2171
