pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
7t9r,A,heldout_sampled_uniform_M5_union,38,6.6961,9.4054,673,2.2227,2.7834,159,0.0526,0.0526,0.0000,0.2895,0.2105,0.2857,0.2105,0.2105,0.5714,18,32,18,0.3416,0.3239
7y8i,A,heldout_sampled_uniform_M5_union,97,8.7781,12.1051,2513,1.1956,1.5701,359,0.3505,0.6250,0.8421,0.4021,0.6458,0.7895,0.7732,0.9375,1.0000,34,40,122,0.5533,0.5048
7zoi,A,heldout_sampled_uniform_M5_union,151,11.1427,13.5400,5678,4.2576,6.1500,612,0.2914,0.3200,0.4000,0.2053,0.2267,0.3000,0.2781,0.3867,0.4667,77,96,153,0.3173,0.2941
7wz5,A,heldout_sampled_uniform_M5_union,161,12.0434,14.1619,7371,5.0103,7.4665,758,0.0932,0.1250,0.1562,0.0683,0.0875,0.0938,0.1304,0.1375,0.1250,21,11,213,0.2634,0.2530
8bau,A,heldout_sampled_uniform_M5_union,189,12.5904,14.5140,8921,4.8765,7.4061,907,0.2275,0.2553,0.2703,0.1217,0.1277,0.1081,0.1111,0.0638,0.0541,79,51,210,0.2621,0.2517
8gmy,A,heldout_sampled_uniform_M5_union,236,12.7084,14.8977,11334,4.3152,7.6464,1071,0.2203,0.2797,0.2553,0.2712,0.3051,0.3191,0.2924,0.3305,0.4681,70,116,285,0.3315,0.3128
7xg9,A,heldout_sampled_uniform_M5_union,288,12.7282,14.8612,15951,4.1060,7.0727,1432,0.1597,0.1667,0.2281,0.1181,0.1458,0.2632,0.4444,0.5139,0.4561,55,64,485,0.3146,0.3033
7x4p,A,heldout_sampled_uniform_M5_union,307,13.1552,15.1123,15771,5.0178,8.2475,1453,0.1531,0.1895,0.2295,0.2117,0.2222,0.3115,0.2215,0.2680,0.3443,84,115,354,0.2752,0.2655
7v3o,A,heldout_sampled_uniform_M5_union,328,13.4850,15.1923,15986,6.2148,9.0374,1386,0.2104,0.2378,0.2462,0.1463,0.1524,0.2308,0.1402,0.1829,0.2154,110,82,465,0.2178,0.2145
7qsj,A,heldout_sampled_uniform_M5_union,373,12.7360,14.8446,22300,4.3743,7.1422,1828,0.2466,0.2796,0.3378,0.1716,0.2258,0.2568,0.2225,0.2742,0.3243,124,117,552,0.3124,0.2961
