stem,n_residues,entropy_max_bits,entropy_long_bits,entropy_med_bits,entropy_short_bits,top_p_long,top_p_med,top_p_short,captured_mass_long,captured_mass_med,captured_mass_short
8eb9_A,95,6.5699,5.9279,5.9591,5.7354,0.027925,0.036658,0.051996,0.9998,0.9998,0.9998
7y5j_A,102,6.6724,5.4861,5.5807,5.0935,0.044749,0.059908,0.113888,0.9997,0.9996,0.9994
7ykm_A,105,6.7142,6.046,5.6352,5.6672,0.037121,0.071147,0.059568,0.9998,0.9999,0.9997
7ur2_A,195,7.6073,6.7189,6.4395,6.4335,0.027324,0.037447,0.052845,0.965,0.9754,0.9692
8baq_A,208,7.7004,6.6892,6.6769,6.6314,0.025725,0.030191,0.032081,0.9125,0.9199,0.9247
8cba_A,214,7.7415,6.8313,6.657,6.5156,0.025916,0.041342,0.055114,0.8855,0.9086,0.9182
7zs2_A,316,8.3038,6.9011,6.7614,6.6982,0.018527,0.024603,0.034911,0.7632,0.8323,0.8163
7xz3_A,325,8.3443,6.9538,6.8487,6.8586,0.018725,0.024993,0.02519,0.6289,0.7159,0.7404
7ylr_A,330,8.3663,6.9357,6.8316,6.7016,0.014784,0.032949,0.044996,0.6197,0.7334,0.8099
7uk8_A,394,8.6221,6.9291,6.8413,6.8748,0.018264,0.0238,0.024915,0.5442,0.6972,0.6906
