pdb_id,chain_id,method,n_residues,mae_distogram_cb_angstrom,drmsd_distogram_cb_angstrom,n_mae_distogram_pairs,mae_distogram_cb_contact_angstrom,drmsd_distogram_cb_contact_angstrom,n_mae_distogram_contact_pairs,prec_short_L,prec_short_L_2,prec_short_L_5,prec_medium_L,prec_medium_L_2,prec_medium_L_5,prec_long_L,prec_long_L_2,prec_long_L_5,n_short_contacts,n_medium_contacts,n_long_contacts,lddt_distogram_cb,lddt_distogram_cb_soft
8eb9,A,1.5B_iter_R2_grow_05_10,95,11.3390,13.5385,3075,5.5700,8.4478,422,0.2632,0.2553,0.3684,0.2526,0.2340,0.3158,0.2737,0.3191,0.3684,41,66,119,0.2555,0.2507
7y5j,A,1.5B_iter_R2_grow_05_10,102,8.9098,12.1955,3204,1.7412,2.5665,439,0.3529,0.5490,0.8000,0.4510,0.7059,0.9500,0.8529,0.8431,0.9000,36,54,147,0.5834,0.5354
7ykm,A,1.5B_iter_R2_grow_05_10,105,9.4478,12.4616,2561,1.9572,3.7870,367,0.2095,0.4038,0.8095,0.2286,0.3654,0.6190,0.4095,0.5962,0.8095,22,28,70,0.5056,0.4909
7ur2,A,1.5B_iter_R2_grow_05_10,195,11.7685,14.0680,7243,3.2766,5.4188,709,0.1795,0.2577,0.3846,0.1333,0.1959,0.3590,0.4154,0.5155,0.6154,36,28,227,0.3414,0.3439
8baq,A,1.5B_iter_R2_grow_05_10,208,13.0058,14.8596,10715,5.2255,7.9840,977,0.1250,0.1827,0.1951,0.1538,0.1731,0.1707,0.2644,0.3365,0.3659,47,73,306,0.2591,0.2583
8cba,A,1.5B_iter_R2_grow_05_10,214,12.3591,14.4659,8025,4.3234,7.1038,764,0.2290,0.3458,0.3333,0.1963,0.2336,0.3810,0.2196,0.2523,0.2619,64,64,189,0.3047,0.2986
7zs2,A,1.5B_iter_R2_grow_05_10,316,12.9970,15.0837,12367,4.6372,8.0874,1192,0.3165,0.4937,0.6032,0.2089,0.3354,0.3968,0.2278,0.2911,0.4444,121,87,280,0.3165,0.3040
7xz3,A,1.5B_iter_R2_grow_05_10,325,14.1314,15.9439,13875,7.4123,11.9979,1315,0.1538,0.2037,0.2615,0.1692,0.2037,0.2154,0.2154,0.2099,0.2308,53,72,466,0.2765,0.2723
7ylr,A,1.5B_iter_R2_grow_05_10,330,13.0928,15.1486,18471,4.7745,7.9800,1616,0.2758,0.4182,0.4697,0.3121,0.4121,0.5606,0.4727,0.5636,0.6061,98,157,534,0.3344,0.3286
7uk8,A,1.5B_iter_R2_grow_05_10,394,15.2919,16.6845,23509,8.1708,12.6377,1926,0.2030,0.3198,0.4615,0.2538,0.3503,0.4615,0.2614,0.3046,0.4231,110,129,657,0.2263,0.2224
