dataset,stem,predictor,range,cut,value,protein_class
foldbench_monomer,8es6_A,#232 m2-p06 (decontaminated),all,R,0.4652173913043478,natural
foldbench_monomer,8ev4_A,#232 m2-p06 (decontaminated),all,R,0.7684210526315789,natural
foldbench_monomer,8ew1_A,#232 m2-p06 (decontaminated),all,R,0.6804407713498623,natural
foldbench_monomer,8ew9_A,#232 m2-p06 (decontaminated),all,R,0.2857142857142857,natural
foldbench_monomer,8ey3_A,#232 m2-p06 (decontaminated),all,R,0.4871794871794871,natural
foldbench_monomer,8ez6_A,#232 m2-p06 (decontaminated),all,R,0.6904761904761905,natural
foldbench_monomer,8ezw_A,#232 m2-p06 (decontaminated),all,R,0.6864406779661016,natural
foldbench_monomer,8f8n_A,#232 m2-p06 (decontaminated),all,R,0.5229357798165137,natural
foldbench_monomer,8f9o_A,#232 m2-p06 (decontaminated),all,R,0.5796610169491525,natural
foldbench_monomer,8fbc_A,#232 m2-p06 (decontaminated),all,R,0.6314553990610329,natural
foldbench_monomer,8jjq_A,#232 m2-p06 (decontaminated),all,R,0.7167630057803468,natural
foldbench_monomer,8fib_A,#232 m2-p06 (decontaminated),all,R,0.6831683168316832,natural
foldbench_monomer,8fr5_A,#232 m2-p06 (decontaminated),all,R,0.6111111111111112,natural
foldbench_monomer,8fty_A,#232 m2-p06 (decontaminated),all,R,0.4251290877796901,natural
foldbench_monomer,8h2f_A,#232 m2-p06 (decontaminated),all,R,0.7593582887700535,natural
foldbench_monomer,8fz8_A,#232 m2-p06 (decontaminated),all,R,0.7166212534059946,natural
foldbench_monomer,8fz9_A,#232 m2-p06 (decontaminated),all,R,0.5971223021582733,natural
foldbench_monomer,8g0n_A,#232 m2-p06 (decontaminated),all,R,0.7300380228136882,natural
foldbench_monomer,8g1l_A,#232 m2-p06 (decontaminated),all,R,0.4618181818181818,natural
foldbench_monomer,8g1y_A,#232 m2-p06 (decontaminated),all,R,0.3949579831932773,natural
foldbench_monomer,8g32_A,#232 m2-p06 (decontaminated),all,R,0.0985074626865671,natural
foldbench_monomer,8g52_A,#232 m2-p06 (decontaminated),all,R,0.51171875,natural
foldbench_monomer,8g53_A,#232 m2-p06 (decontaminated),all,R,0.4466666666666666,natural
foldbench_monomer,8g5u_A,#232 m2-p06 (decontaminated),all,R,0.5682242990654206,natural
foldbench_monomer,8g64_A,#232 m2-p06 (decontaminated),all,R,0.74,natural
foldbench_monomer,8gbe_A,#232 m2-p06 (decontaminated),all,R,0.095,natural
foldbench_monomer,8gdl_A,#232 m2-p06 (decontaminated),all,R,0.5251256281407035,natural
foldbench_monomer,8gj9_A,#232 m2-p06 (decontaminated),all,R,0.6388888888888888,natural
foldbench_monomer,8gjw_A,#232 m2-p06 (decontaminated),all,R,0.4624413145539906,natural
foldbench_monomer,8gjy_A,#232 m2-p06 (decontaminated),all,R,0.5224586288416075,natural
foldbench_monomer,8gkd_A,#232 m2-p06 (decontaminated),all,R,0.6637362637362637,natural
foldbench_monomer,8gok_A,#232 m2-p06 (decontaminated),all,R,0.1861313868613138,natural
foldbench_monomer,8gr7_A,#232 m2-p06 (decontaminated),all,R,0.7303370786516854,natural
foldbench_monomer,8gsy_A,#232 m2-p06 (decontaminated),all,R,0.6178861788617886,natural
foldbench_monomer,8gqq_A,#232 m2-p06 (decontaminated),all,R,0.6565656565656566,natural
foldbench_monomer,8gtz_A,#232 m2-p06 (decontaminated),all,R,0.5508474576271186,natural
foldbench_monomer,8q79_A,#232 m2-p06 (decontaminated),all,R,0.2509505703422053,natural
foldbench_monomer,8h02_A,#232 m2-p06 (decontaminated),all,R,0.7407407407407407,natural
foldbench_monomer,8h5s_A,#232 m2-p06 (decontaminated),all,R,0.6649214659685864,natural
foldbench_monomer,8hbt_A,#232 m2-p06 (decontaminated),all,R,0.5242105263157895,natural
foldbench_monomer,8hd2_A,#232 m2-p06 (decontaminated),all,R,0.6191780821917808,natural
foldbench_monomer,8he1_A,#232 m2-p06 (decontaminated),all,R,0.7103174603174603,natural
foldbench_monomer,8axs_A,#232 m2-p06 (decontaminated),all,R,0.5415512465373962,natural
foldbench_monomer,8hnq_A,#232 m2-p06 (decontaminated),all,R,0.7516339869281046,natural
foldbench_monomer,8hvd_A,#232 m2-p06 (decontaminated),all,R,0.6483825597749648,natural
foldbench_monomer,7xhz_A,#232 m2-p06 (decontaminated),all,R,0.5560538116591929,natural
foldbench_monomer,8hw8_A,#232 m2-p06 (decontaminated),all,R,0.6988950276243094,natural
foldbench_monomer,8hxs_A,#232 m2-p06 (decontaminated),all,R,0.7368421052631579,natural
foldbench_monomer,8ii8_A,#232 m2-p06 (decontaminated),all,R,0.3333333333333333,natural
foldbench_monomer,8ikx_A,#232 m2-p06 (decontaminated),all,R,0.7058823529411765,natural
foldbench_monomer,8ini_A,#232 m2-p06 (decontaminated),all,R,0.0975609756097561,natural
foldbench_monomer,8iqc_A,#232 m2-p06 (decontaminated),all,R,0.5411255411255411,natural
foldbench_monomer,8irq_A,#232 m2-p06 (decontaminated),all,R,0.1194029850746268,natural
foldbench_monomer,8iym_A,#232 m2-p06 (decontaminated),all,R,0.7839506172839507,natural
foldbench_monomer,8j2n_A,#232 m2-p06 (decontaminated),all,R,0.5930232558139535,natural
foldbench_monomer,8j2x_A,#232 m2-p06 (decontaminated),all,R,0.6277056277056277,natural
foldbench_monomer,8jb3_A,#232 m2-p06 (decontaminated),all,R,0.3857142857142857,natural
foldbench_monomer,7wr2_A,#232 m2-p06 (decontaminated),all,R,0.6470588235294118,natural
foldbench_monomer,8j8y_A,#232 m2-p06 (decontaminated),all,R,0.3854166666666667,natural
foldbench_monomer,8j9r_A,#232 m2-p06 (decontaminated),all,R,0.0784313725490196,natural
foldbench_monomer,8jdg_A,#232 m2-p06 (decontaminated),all,R,0.6716791979949874,natural
foldbench_monomer,8jh8_A,#232 m2-p06 (decontaminated),all,R,0.7091633466135459,natural
foldbench_monomer,8jiy_A,#232 m2-p06 (decontaminated),all,R,0.5163934426229508,natural
foldbench_monomer,8jmy_A,#232 m2-p06 (decontaminated),all,R,0.680672268907563,natural
foldbench_monomer,8jn0_A,#232 m2-p06 (decontaminated),all,R,0.7938144329896907,natural
foldbench_monomer,8jup_A,#232 m2-p06 (decontaminated),all,R,0.6260869565217392,natural
foldbench_monomer,8jv2_A,#232 m2-p06 (decontaminated),all,R,0.6522842639593909,natural
foldbench_monomer,8jws_A,#232 m2-p06 (decontaminated),all,R,0.4166666666666667,natural
foldbench_monomer,8cjd_A,#232 m2-p06 (decontaminated),all,R,0.255050505050505,natural
foldbench_monomer,8k2g_A,#232 m2-p06 (decontaminated),all,R,0.5905383360522023,natural
foldbench_monomer,8k2k_A,#232 m2-p06 (decontaminated),all,R,0.6952526799387443,natural
foldbench_monomer,8k2m_A,#232 m2-p06 (decontaminated),all,R,0.4833597464342313,natural
foldbench_monomer,8k4m_A,#232 m2-p06 (decontaminated),all,R,0.0504201680672268,natural
foldbench_monomer,8k5j_A,#232 m2-p06 (decontaminated),all,R,0.5170940170940171,natural
foldbench_monomer,8k7x_A,#232 m2-p06 (decontaminated),all,R,0.4544235924932976,natural
foldbench_monomer,8kg4_A,#232 m2-p06 (decontaminated),all,R,0.7185185185185186,natural
foldbench_monomer,8xrh_A,#232 m2-p06 (decontaminated),all,R,0.4730077120822622,natural
foldbench_monomer,8khv_A,#232 m2-p06 (decontaminated),all,R,0.6876876876876877,natural
foldbench_monomer,8kih_A,#232 m2-p06 (decontaminated),all,R,0.5543859649122806,natural
foldbench_monomer,8ok3_A,#232 m2-p06 (decontaminated),all,R,0.5565217391304348,natural
foldbench_monomer,8oqh_A,#232 m2-p06 (decontaminated),all,R,0.7183098591549296,natural
foldbench_monomer,8ork_A,#232 m2-p06 (decontaminated),all,R,0.4211822660098522,natural
foldbench_monomer,8os2_A,#232 m2-p06 (decontaminated),all,R,0.1944444444444444,natural
foldbench_monomer,8owf_A,#232 m2-p06 (decontaminated),all,R,0.5821812596006144,natural
foldbench_monomer,8osz_A,#232 m2-p06 (decontaminated),all,R,0.5404411764705882,natural
foldbench_monomer,8ou1_A,#232 m2-p06 (decontaminated),all,R,0.0694444444444444,natural
foldbench_monomer,8ovq_A,#232 m2-p06 (decontaminated),all,R,0.615819209039548,natural
foldbench_monomer,8ovu_A,#232 m2-p06 (decontaminated),all,R,0.8271604938271605,natural
foldbench_monomer,8ow8_A,#232 m2-p06 (decontaminated),all,R,0.2269807280513918,natural
foldbench_monomer,8oxk_A,#232 m2-p06 (decontaminated),all,R,0.3263157894736842,natural
foldbench_monomer,8oxl_A,#232 m2-p06 (decontaminated),all,R,0.2346938775510204,natural
foldbench_monomer,8p0e_A,#232 m2-p06 (decontaminated),all,R,0.6688741721854304,natural
foldbench_monomer,8p2a_A,#232 m2-p06 (decontaminated),all,R,0.6382978723404256,natural
foldbench_monomer,8p5p_A,#232 m2-p06 (decontaminated),all,R,0.1,natural
foldbench_monomer,8p5n_A,#232 m2-p06 (decontaminated),all,R,0.7037037037037037,natural
foldbench_monomer,7wu8_A,#232 m2-p06 (decontaminated),all,R,0.5740740740740741,natural
foldbench_monomer,8pak_A,#232 m2-p06 (decontaminated),all,R,0.6762177650429799,natural
foldbench_monomer,8paq_A,#232 m2-p06 (decontaminated),all,R,0.238095238095238,natural
foldbench_monomer,8pb5_A,#232 m2-p06 (decontaminated),all,R,0.4454022988505747,natural
foldbench_monomer,8por_A,#232 m2-p06 (decontaminated),all,R,0.1824324324324324,natural
foldbench_monomer,8ptd_A,#232 m2-p06 (decontaminated),all,R,0.7429245283018868,natural
foldbench_monomer,8pu2_A,#232 m2-p06 (decontaminated),all,R,0.2553191489361702,natural
foldbench_monomer,8pvs_A,#232 m2-p06 (decontaminated),all,R,0.6256517205422315,natural
foldbench_monomer,8pw2_A,#232 m2-p06 (decontaminated),all,R,0.7916666666666666,natural
foldbench_monomer,8pxc_A,#232 m2-p06 (decontaminated),all,R,0.2373540856031128,natural
foldbench_monomer,8pxu_A,#232 m2-p06 (decontaminated),all,R,0.6096605744125326,natural
foldbench_monomer,8q1v_A,#232 m2-p06 (decontaminated),all,R,0.7291666666666666,natural
foldbench_monomer,8qb1_A,#232 m2-p06 (decontaminated),all,R,0.7631578947368421,natural
foldbench_monomer,8qd8_A,#232 m2-p06 (decontaminated),all,R,0.5677966101694916,natural
foldbench_monomer,8qjp_A,#232 m2-p06 (decontaminated),all,R,0.6724890829694323,natural
foldbench_monomer,8qlc_A,#232 m2-p06 (decontaminated),all,R,0.6370597243491577,natural
foldbench_monomer,8qoh_A,#232 m2-p06 (decontaminated),all,R,0.3195488721804511,natural
foldbench_monomer,8qpj_A,#232 m2-p06 (decontaminated),all,R,0.4013605442176871,natural
foldbench_monomer,8qq1_A,#232 m2-p06 (decontaminated),all,R,0.7663934426229508,natural
foldbench_monomer,8qle_A,#232 m2-p06 (decontaminated),all,R,0.2583333333333333,natural
foldbench_monomer,8qx6_A,#232 m2-p06 (decontaminated),all,R,0.5911602209944752,natural
foldbench_monomer,8r2c_A,#232 m2-p06 (decontaminated),all,R,0.5869565217391305,natural
foldbench_monomer,8r5n_A,#232 m2-p06 (decontaminated),all,R,0.1243243243243243,natural
