model,subset,range,cut,mean_precision,n_proteins
delta-v2-step36000-n100,eval-denovo,all,AUC,0.909234888785058,19
delta-v2-step36000-n100,eval-denovo,all,L,0.4597395768216888,19
delta-v2-step36000-n100,eval-denovo,all,L/2,0.608328156644134,19
delta-v2-step36000-n100,eval-denovo,all,L/5,0.7270677645603514,19
delta-v2-step36000-n100,eval-denovo,all,R,0.5261315606920789,19
delta-v2-step36000-n100,eval-denovo,long,AUC,0.8631130192613595,19
delta-v2-step36000-n100,eval-denovo,long,L,0.2969001637767716,19
delta-v2-step36000-n100,eval-denovo,long,L/2,0.45152768379193226,19
delta-v2-step36000-n100,eval-denovo,long,L/5,0.590024183932846,19
delta-v2-step36000-n100,eval-denovo,long,R,0.4626383633686668,19
delta-v2-step36000-n100,eval-denovo,medium,AUC,0.9604523467629624,19
delta-v2-step36000-n100,eval-denovo,medium,L,0.1645964729976333,19
delta-v2-step36000-n100,eval-denovo,medium,L/2,0.30443769579511964,19
delta-v2-step36000-n100,eval-denovo,medium,L/5,0.5580100013165856,19
delta-v2-step36000-n100,eval-denovo,medium,R,0.6180976068672618,19
delta-v2-step36000-n100,eval-denovo,short,AUC,0.9750325054749909,19
delta-v2-step36000-n100,eval-denovo,short,L,0.10642704133583826,19
delta-v2-step36000-n100,eval-denovo,short,L/2,0.21061687096193776,19
delta-v2-step36000-n100,eval-denovo,short,L/5,0.45073259521379644,19
delta-v2-step36000-n100,eval-denovo,short,R,0.5967799697001734,19
delta-v2-step36000-n100,eval-val,all,AUC,0.8826819868807603,97
delta-v2-step36000-n100,eval-val,all,L,0.3844303129220568,97
delta-v2-step36000-n100,eval-val,all,L/2,0.5232323271090893,97
delta-v2-step36000-n100,eval-val,all,L/5,0.656904647813369,97
delta-v2-step36000-n100,eval-val,all,R,0.4079889881495059,97
delta-v2-step36000-n100,eval-val,long,AUC,0.8607266968134971,97
delta-v2-step36000-n100,eval-val,long,L,0.27731984003156457,97
delta-v2-step36000-n100,eval-val,long,L/2,0.40681940183171167,97
delta-v2-step36000-n100,eval-val,long,L/5,0.5536993323001235,97
delta-v2-step36000-n100,eval-val,long,R,0.3773149121417531,97
delta-v2-step36000-n100,eval-val,medium,AUC,0.9146304326908626,97
delta-v2-step36000-n100,eval-val,medium,L,0.12739274242424012,97
delta-v2-step36000-n100,eval-val,medium,L/2,0.21854637932989868,97
delta-v2-step36000-n100,eval-val,medium,L/5,0.39595104851266955,97
delta-v2-step36000-n100,eval-val,medium,R,0.43531107485815485,97
delta-v2-step36000-n100,eval-val,short,AUC,0.927779020008092,97
delta-v2-step36000-n100,eval-val,short,L,0.1096247278568571,97
delta-v2-step36000-n100,eval-val,short,L/2,0.1935243304097407,97
delta-v2-step36000-n100,eval-val,short,L/5,0.38453378957216316,97
delta-v2-step36000-n100,eval-val,short,R,0.5092052663209885,97
delta-v2-step36000-n100,legacy_554,all,AUC,0.904614258108313,554
delta-v2-step36000-n100,legacy_554,all,L,0.46358527550588574,554
delta-v2-step36000-n100,legacy_554,all,L/2,0.6191988420580267,554
delta-v2-step36000-n100,legacy_554,all,L/5,0.7375704019302567,554
delta-v2-step36000-n100,legacy_554,all,R,0.5130119303403455,554
delta-v2-step36000-n100,legacy_554,long,AUC,0.8749648013121077,553
delta-v2-step36000-n100,legacy_554,long,L,0.2878798274996378,554
delta-v2-step36000-n100,legacy_554,long,L/2,0.44307503028328504,554
delta-v2-step36000-n100,legacy_554,long,L/5,0.5909102282327514,554
delta-v2-step36000-n100,legacy_554,long,R,0.4432116171656751,553
delta-v2-step36000-n100,legacy_554,medium,AUC,0.9485016679585153,553
delta-v2-step36000-n100,legacy_554,medium,L,0.1738613479492541,554
delta-v2-step36000-n100,legacy_554,medium,L/2,0.3117688085821775,554
delta-v2-step36000-n100,legacy_554,medium,L/5,0.5520829720178391,554
delta-v2-step36000-n100,legacy_554,medium,R,0.5824356210677815,553
delta-v2-step36000-n100,legacy_554,short,AUC,0.9558202822030324,554
delta-v2-step36000-n100,legacy_554,short,L,0.11758441944343587,554
delta-v2-step36000-n100,legacy_554,short,L/2,0.22151220198385801,554
delta-v2-step36000-n100,legacy_554,short,L/5,0.45294828958256605,554
delta-v2-step36000-n100,legacy_554,short,R,0.6403139406102965,554
