model,subset,range,cut,mean_precision,n_proteins
delta-v2-step72000-n100,eval-denovo,all,AUC,0.9390893407672528,19
delta-v2-step72000-n100,eval-denovo,all,L,0.4863374731472162,19
delta-v2-step72000-n100,eval-denovo,all,L/2,0.6496561333374052,19
delta-v2-step72000-n100,eval-denovo,all,L/5,0.7631693868354382,19
delta-v2-step72000-n100,eval-denovo,all,R,0.5534204984655197,19
delta-v2-step72000-n100,eval-denovo,long,AUC,0.8900579031136919,19
delta-v2-step72000-n100,eval-denovo,long,L,0.33381437904487393,19
delta-v2-step72000-n100,eval-denovo,long,L/2,0.49173353679367776,19
delta-v2-step72000-n100,eval-denovo,long,L/5,0.651215439753733,19
delta-v2-step72000-n100,eval-denovo,long,R,0.4871044573759635,19
delta-v2-step72000-n100,eval-denovo,medium,AUC,0.9731657993617138,19
delta-v2-step72000-n100,eval-denovo,medium,L,0.16640725361494435,19
delta-v2-step72000-n100,eval-denovo,medium,L/2,0.30882052270434807,19
delta-v2-step72000-n100,eval-denovo,medium,L/5,0.5384208994277125,19
delta-v2-step72000-n100,eval-denovo,medium,R,0.6428512166831111,19
delta-v2-step72000-n100,eval-denovo,short,AUC,0.9778117778263002,19
delta-v2-step72000-n100,eval-denovo,short,L,0.10742024592917633,19
delta-v2-step72000-n100,eval-denovo,short,L/2,0.212823953371706,19
delta-v2-step72000-n100,eval-denovo,short,L/5,0.44404086907668916,19
delta-v2-step72000-n100,eval-denovo,short,R,0.6694559292182382,19
delta-v2-step72000-n100,eval-val,all,AUC,0.9109916340928971,97
delta-v2-step72000-n100,eval-val,all,L,0.47288560501154975,97
delta-v2-step72000-n100,eval-val,all,L/2,0.6309888019163494,97
delta-v2-step72000-n100,eval-val,all,L/5,0.7467002018694284,97
delta-v2-step72000-n100,eval-val,all,R,0.5007613277476052,97
delta-v2-step72000-n100,eval-val,long,AUC,0.8952700999092055,97
delta-v2-step72000-n100,eval-val,long,L,0.3435881480738542,97
delta-v2-step72000-n100,eval-val,long,L/2,0.5097716826991567,97
delta-v2-step72000-n100,eval-val,long,L/5,0.6629883497929061,97
delta-v2-step72000-n100,eval-val,long,R,0.46987875357408215,97
delta-v2-step72000-n100,eval-val,medium,AUC,0.9350995813025639,97
delta-v2-step72000-n100,eval-val,medium,L,0.13867682170965942,97
delta-v2-step72000-n100,eval-val,medium,L/2,0.2507687224542027,97
delta-v2-step72000-n100,eval-val,medium,L/5,0.46916305983592754,97
delta-v2-step72000-n100,eval-val,medium,R,0.5178334001283269,97
delta-v2-step72000-n100,eval-val,short,AUC,0.9419280192207831,97
delta-v2-step72000-n100,eval-val,short,L,0.11352296828094888,97
delta-v2-step72000-n100,eval-val,short,L/2,0.20758101011495633,97
delta-v2-step72000-n100,eval-val,short,L/5,0.4321303236221608,97
delta-v2-step72000-n100,eval-val,short,R,0.5777929887234573,97
delta-v2-step72000-n100,legacy_554,all,AUC,0.9217450167363397,554
delta-v2-step72000-n100,legacy_554,all,L,0.513739727434435,554
delta-v2-step72000-n100,legacy_554,all,L/2,0.6738068140074172,554
delta-v2-step72000-n100,legacy_554,all,L/5,0.7790752167789772,554
delta-v2-step72000-n100,legacy_554,all,R,0.56790217682286,554
delta-v2-step72000-n100,legacy_554,long,AUC,0.8986881401555465,553
delta-v2-step72000-n100,legacy_554,long,L,0.327746137171348,554
delta-v2-step72000-n100,legacy_554,long,L/2,0.5044223924664817,554
delta-v2-step72000-n100,legacy_554,long,L/5,0.6469669074157854,554
delta-v2-step72000-n100,legacy_554,long,R,0.50527374698308,553
delta-v2-step72000-n100,legacy_554,medium,AUC,0.9541790278254852,553
delta-v2-step72000-n100,legacy_554,medium,L,0.17838669204403718,554
delta-v2-step72000-n100,legacy_554,medium,L/2,0.3276089134479741,554
delta-v2-step72000-n100,legacy_554,medium,L/5,0.5912459829239494,554
delta-v2-step72000-n100,legacy_554,medium,R,0.6293306815472405,553
delta-v2-step72000-n100,legacy_554,short,AUC,0.9590631650377203,554
delta-v2-step72000-n100,legacy_554,short,L,0.11851483939506285,554
delta-v2-step72000-n100,legacy_554,short,L/2,0.22580668925112105,554
delta-v2-step72000-n100,legacy_554,short,L/5,0.469847743592363,554
delta-v2-step72000-n100,legacy_554,short,R,0.6711508380713394,554
