model,subset,range,cut,mean_precision,n_proteins
delta-v2-step30000-n100,eval-denovo,all,AUC,0.8999506483944996,19
delta-v2-step30000-n100,eval-denovo,all,L,0.43906406841885115,19
delta-v2-step30000-n100,eval-denovo,all,L/2,0.5638602510015588,19
delta-v2-step30000-n100,eval-denovo,all,L/5,0.6675699381756498,19
delta-v2-step30000-n100,eval-denovo,all,R,0.4880839495772446,19
delta-v2-step30000-n100,eval-denovo,long,AUC,0.8634292930575348,19
delta-v2-step30000-n100,eval-denovo,long,L,0.2982788884386918,19
delta-v2-step30000-n100,eval-denovo,long,L/2,0.43728258010755683,19
delta-v2-step30000-n100,eval-denovo,long,L/5,0.5843298311677418,19
delta-v2-step30000-n100,eval-denovo,long,R,0.4223880914000158,19
delta-v2-step30000-n100,eval-denovo,medium,AUC,0.946287251151309,19
delta-v2-step30000-n100,eval-denovo,medium,L,0.155332420119252,19
delta-v2-step30000-n100,eval-denovo,medium,L/2,0.2858790280969307,19
delta-v2-step30000-n100,eval-denovo,medium,L/5,0.5052670694254542,19
delta-v2-step30000-n100,eval-denovo,medium,R,0.5830474570079999,19
delta-v2-step30000-n100,eval-denovo,short,AUC,0.9533499440453778,19
delta-v2-step30000-n100,eval-denovo,short,L,0.1022907590195485,19
delta-v2-step30000-n100,eval-denovo,short,L/2,0.20136210885564887,19
delta-v2-step30000-n100,eval-denovo,short,L/5,0.43372782716211766,19
delta-v2-step30000-n100,eval-denovo,short,R,0.5810331143735218,19
delta-v2-step30000-n100,eval-val,all,AUC,0.8746831636938154,97
delta-v2-step30000-n100,eval-val,all,L,0.3659571510278643,97
delta-v2-step30000-n100,eval-val,all,L/2,0.4985083110766124,97
delta-v2-step30000-n100,eval-val,all,L/5,0.6242580822264737,97
delta-v2-step30000-n100,eval-val,all,R,0.38700670990035235,97
delta-v2-step30000-n100,eval-val,long,AUC,0.85206840782194,97
delta-v2-step30000-n100,eval-val,long,L,0.2588257852666539,97
delta-v2-step30000-n100,eval-val,long,L/2,0.38040501805099697,97
delta-v2-step30000-n100,eval-val,long,L/5,0.5139527077438494,97
delta-v2-step30000-n100,eval-val,long,R,0.3434828476164834,97
delta-v2-step30000-n100,eval-val,medium,AUC,0.9041363284380368,97
delta-v2-step30000-n100,eval-val,medium,L,0.12570843168782858,97
delta-v2-step30000-n100,eval-val,medium,L/2,0.21536463561975072,97
delta-v2-step30000-n100,eval-val,medium,L/5,0.37548522491569675,97
delta-v2-step30000-n100,eval-val,medium,R,0.41059474076521674,97
delta-v2-step30000-n100,eval-val,short,AUC,0.9215920078382307,97
delta-v2-step30000-n100,eval-val,short,L,0.10877804459827194,97
delta-v2-step30000-n100,eval-val,short,L/2,0.19166164232224928,97
delta-v2-step30000-n100,eval-val,short,L/5,0.37195460332804936,97
delta-v2-step30000-n100,eval-val,short,R,0.4886019745550993,97
delta-v2-step30000-n100,legacy_554,all,AUC,0.9054057750477245,554
delta-v2-step30000-n100,legacy_554,all,L,0.46102917876929583,554
delta-v2-step30000-n100,legacy_554,all,L/2,0.6122237225660169,554
delta-v2-step30000-n100,legacy_554,all,L/5,0.7212174896068091,554
delta-v2-step30000-n100,legacy_554,all,R,0.5091141672699215,554
delta-v2-step30000-n100,legacy_554,long,AUC,0.8775034509523336,553
delta-v2-step30000-n100,legacy_554,long,L,0.2869011474674573,554
delta-v2-step30000-n100,legacy_554,long,L/2,0.4396251920790477,554
delta-v2-step30000-n100,legacy_554,long,L/5,0.5831755523767443,554
delta-v2-step30000-n100,legacy_554,long,R,0.43904886139336746,553
delta-v2-step30000-n100,legacy_554,medium,AUC,0.9436042218393479,553
delta-v2-step30000-n100,legacy_554,medium,L,0.17067935308682688,554
delta-v2-step30000-n100,legacy_554,medium,L/2,0.30815689466532403,554
delta-v2-step30000-n100,legacy_554,medium,L/5,0.5440483936220859,554
delta-v2-step30000-n100,legacy_554,medium,R,0.5712864678048467,553
delta-v2-step30000-n100,legacy_554,short,AUC,0.950873112706245,554
delta-v2-step30000-n100,legacy_554,short,L,0.11648442843008877,554
delta-v2-step30000-n100,legacy_554,short,L/2,0.21810390583093658,554
delta-v2-step30000-n100,legacy_554,short,L/5,0.4451187286161195,554
delta-v2-step30000-n100,legacy_554,short,R,0.6242940519797003,554
