model,subset,range,cut,mean_precision,n_proteins
delta-v2-step54000-n100,eval-denovo,all,AUC,0.9298905302658205,19
delta-v2-step54000-n100,eval-denovo,all,L,0.4499902042409872,19
delta-v2-step54000-n100,eval-denovo,all,L/2,0.594150948111694,19
delta-v2-step54000-n100,eval-denovo,all,L/5,0.7330278470886352,19
delta-v2-step54000-n100,eval-denovo,all,R,0.5115846079715366,19
delta-v2-step54000-n100,eval-denovo,long,AUC,0.8714173828142774,19
delta-v2-step54000-n100,eval-denovo,long,L,0.3081319471688819,19
delta-v2-step54000-n100,eval-denovo,long,L/2,0.43254972148132226,19
delta-v2-step54000-n100,eval-denovo,long,L/5,0.5519333572553639,19
delta-v2-step54000-n100,eval-denovo,long,R,0.43032615170947186,19
delta-v2-step54000-n100,eval-denovo,medium,AUC,0.9790039405770645,19
delta-v2-step54000-n100,eval-denovo,medium,L,0.16929082231532983,19
delta-v2-step54000-n100,eval-denovo,medium,L/2,0.3117465259881248,19
delta-v2-step54000-n100,eval-denovo,medium,L/5,0.539030971616732,19
delta-v2-step54000-n100,eval-denovo,medium,R,0.6175304087224114,19
delta-v2-step54000-n100,eval-denovo,short,AUC,0.9874078995869912,19
delta-v2-step54000-n100,eval-denovo,short,L,0.10798780111632526,19
delta-v2-step54000-n100,eval-denovo,short,L/2,0.21382267340114064,19
delta-v2-step54000-n100,eval-denovo,short,L/5,0.46905914745369326,19
delta-v2-step54000-n100,eval-denovo,short,R,0.6328276648522828,19
delta-v2-step54000-n100,eval-val,all,AUC,0.8964188790693106,97
delta-v2-step54000-n100,eval-val,all,L,0.431179286453293,97
delta-v2-step54000-n100,eval-val,all,L/2,0.5791025689441607,97
delta-v2-step54000-n100,eval-val,all,L/5,0.7175260119279897,97
delta-v2-step54000-n100,eval-val,all,R,0.4555297524807086,97
delta-v2-step54000-n100,eval-val,long,AUC,0.8743880091956098,97
delta-v2-step54000-n100,eval-val,long,L,0.3114149322810346,97
delta-v2-step54000-n100,eval-val,long,L/2,0.45915706364448955,97
delta-v2-step54000-n100,eval-val,long,L/5,0.6039927927299877,97
delta-v2-step54000-n100,eval-val,long,R,0.422488077847777,97
delta-v2-step54000-n100,eval-val,medium,AUC,0.9267571970228439,97
delta-v2-step54000-n100,eval-val,medium,L,0.1359266245291568,97
delta-v2-step54000-n100,eval-val,medium,L/2,0.23700720765076635,97
delta-v2-step54000-n100,eval-val,medium,L/5,0.43766274268292044,97
delta-v2-step54000-n100,eval-val,medium,R,0.48564619415710114,97
delta-v2-step54000-n100,eval-val,short,AUC,0.9401252830517397,97
delta-v2-step54000-n100,eval-val,short,L,0.11261872968364282,97
delta-v2-step54000-n100,eval-val,short,L/2,0.20236711084410045,97
delta-v2-step54000-n100,eval-val,short,L/5,0.4129097083174292,97
delta-v2-step54000-n100,eval-val,short,R,0.5372783108062511,97
delta-v2-step54000-n100,legacy_554,all,AUC,0.9149396242774871,554
delta-v2-step54000-n100,legacy_554,all,L,0.49117851210480706,554
delta-v2-step54000-n100,legacy_554,all,L/2,0.6511887688364636,554
delta-v2-step54000-n100,legacy_554,all,L/5,0.7622060617295475,554
delta-v2-step54000-n100,legacy_554,all,R,0.5448944007940723,554
delta-v2-step54000-n100,legacy_554,long,AUC,0.8888351609284055,553
delta-v2-step54000-n100,legacy_554,long,L,0.31216713436689164,554
delta-v2-step54000-n100,legacy_554,long,L/2,0.48037691549272427,554
delta-v2-step54000-n100,legacy_554,long,L/5,0.6272743441758301,554
delta-v2-step54000-n100,legacy_554,long,R,0.4799322018953027,553
delta-v2-step54000-n100,legacy_554,medium,AUC,0.9525177131848865,553
delta-v2-step54000-n100,legacy_554,medium,L,0.17582287717030437,554
delta-v2-step54000-n100,legacy_554,medium,L/2,0.3190150898662277,554
delta-v2-step54000-n100,legacy_554,medium,L/5,0.5787851835578287,554
delta-v2-step54000-n100,legacy_554,medium,R,0.613211538097224,553
delta-v2-step54000-n100,legacy_554,short,AUC,0.959158961881805,554
delta-v2-step54000-n100,legacy_554,short,L,0.11814822453190853,554
delta-v2-step54000-n100,legacy_554,short,L/2,0.22265808777241383,554
delta-v2-step54000-n100,legacy_554,short,L/5,0.4631765646116478,554
delta-v2-step54000-n100,legacy_554,short,R,0.6504359320239328,554
