model,subset,range,cut,mean_precision,n_proteins
delta-v2-step78000-n100,eval-denovo,all,AUC,0.9426758409925656,19
delta-v2-step78000-n100,eval-denovo,all,L,0.47942209121087415,19
delta-v2-step78000-n100,eval-denovo,all,L/2,0.633868521995842,19
delta-v2-step78000-n100,eval-denovo,all,L/5,0.765679540192969,19
delta-v2-step78000-n100,eval-denovo,all,R,0.542233447764395,19
delta-v2-step78000-n100,eval-denovo,long,AUC,0.9054541923810734,19
delta-v2-step78000-n100,eval-denovo,long,L,0.3222110014733052,19
delta-v2-step78000-n100,eval-denovo,long,L/2,0.47529999734215567,19
delta-v2-step78000-n100,eval-denovo,long,L/5,0.6186964651918221,19
delta-v2-step78000-n100,eval-denovo,long,R,0.47557434467078336,19
delta-v2-step78000-n100,eval-denovo,medium,AUC,0.9781156640921962,19
delta-v2-step78000-n100,eval-denovo,medium,L,0.16849423587958096,19
delta-v2-step78000-n100,eval-denovo,medium,L/2,0.3178259319126151,19
delta-v2-step78000-n100,eval-denovo,medium,L/5,0.5556758423405501,19
delta-v2-step78000-n100,eval-denovo,medium,R,0.6185319711412955,19
delta-v2-step78000-n100,eval-denovo,short,AUC,0.9770800138865051,19
delta-v2-step78000-n100,eval-denovo,short,L,0.10675833064064437,19
delta-v2-step78000-n100,eval-denovo,short,L/2,0.20956282731673057,19
delta-v2-step78000-n100,eval-denovo,short,L/5,0.4543200392242803,19
delta-v2-step78000-n100,eval-denovo,short,R,0.6378665147340868,19
delta-v2-step78000-n100,eval-val,all,AUC,0.9133829924360399,97
delta-v2-step78000-n100,eval-val,all,L,0.48541547023208337,97
delta-v2-step78000-n100,eval-val,all,L/2,0.6437962137541628,97
delta-v2-step78000-n100,eval-val,all,L/5,0.7556001723964928,97
delta-v2-step78000-n100,eval-val,all,R,0.5150010915689063,97
delta-v2-step78000-n100,eval-val,long,AUC,0.8982149843177221,97
delta-v2-step78000-n100,eval-val,long,L,0.3527113694417922,97
delta-v2-step78000-n100,eval-val,long,L/2,0.5256174881569728,97
delta-v2-step78000-n100,eval-val,long,L/5,0.6787457604062477,97
delta-v2-step78000-n100,eval-val,long,R,0.4887105981043307,97
delta-v2-step78000-n100,eval-val,medium,AUC,0.9343246161095689,97
delta-v2-step78000-n100,eval-val,medium,L,0.14091576618608076,97
delta-v2-step78000-n100,eval-val,medium,L/2,0.25528332695439215,97
delta-v2-step78000-n100,eval-val,medium,L/5,0.4785350133205756,97
delta-v2-step78000-n100,eval-val,medium,R,0.5345154927250808,97
delta-v2-step78000-n100,eval-val,short,AUC,0.944639324634792,97
delta-v2-step78000-n100,eval-val,short,L,0.11399369237631726,97
delta-v2-step78000-n100,eval-val,short,L/2,0.20971930729379765,97
delta-v2-step78000-n100,eval-val,short,L/5,0.4349267184632113,97
delta-v2-step78000-n100,eval-val,short,R,0.5925989939617166,97
delta-v2-step78000-n100,legacy_554,all,AUC,0.9226793664302735,554
delta-v2-step78000-n100,legacy_554,all,L,0.5160491938765184,554
delta-v2-step78000-n100,legacy_554,all,L/2,0.6785761348952526,554
delta-v2-step78000-n100,legacy_554,all,L/5,0.7856913466062125,554
delta-v2-step78000-n100,legacy_554,all,R,0.5755419426435512,554
delta-v2-step78000-n100,legacy_554,long,AUC,0.9009502669663955,553
delta-v2-step78000-n100,legacy_554,long,L,0.32713551263760193,554
delta-v2-step78000-n100,legacy_554,long,L/2,0.5109656938299498,554
delta-v2-step78000-n100,legacy_554,long,L/5,0.6535505863227186,554
delta-v2-step78000-n100,legacy_554,long,R,0.5130431711912907,553
delta-v2-step78000-n100,legacy_554,medium,AUC,0.953844184671221,553
delta-v2-step78000-n100,legacy_554,medium,L,0.1782612815655526,554
delta-v2-step78000-n100,legacy_554,medium,L/2,0.3277352999107122,554
delta-v2-step78000-n100,legacy_554,medium,L/5,0.600813743899267,554
delta-v2-step78000-n100,legacy_554,medium,R,0.6390865089842751,553
delta-v2-step78000-n100,legacy_554,short,AUC,0.9589665961907894,554
delta-v2-step78000-n100,legacy_554,short,L,0.11827798104653875,554
delta-v2-step78000-n100,legacy_554,short,L/2,0.2256665844244742,554
delta-v2-step78000-n100,legacy_554,short,L/5,0.4742703435655556,554
delta-v2-step78000-n100,legacy_554,short,R,0.6773584316896978,554
