model,subset,range,cut,mean_precision,n_proteins
delta-v2-step60000-n100,eval-denovo,all,AUC,0.9210917464346565,19
delta-v2-step60000-n100,eval-denovo,all,L,0.46638153056245596,19
delta-v2-step60000-n100,eval-denovo,all,L/2,0.6206874170692867,19
delta-v2-step60000-n100,eval-denovo,all,L/5,0.7430710055749405,19
delta-v2-step60000-n100,eval-denovo,all,R,0.5185947757276939,19
delta-v2-step60000-n100,eval-denovo,long,AUC,0.8924134542311344,19
delta-v2-step60000-n100,eval-denovo,long,L,0.31419273230224726,19
delta-v2-step60000-n100,eval-denovo,long,L/2,0.4687277428723026,19
delta-v2-step60000-n100,eval-denovo,long,L/5,0.6257720754423961,19
delta-v2-step60000-n100,eval-denovo,long,R,0.47576791483753256,19
delta-v2-step60000-n100,eval-denovo,medium,AUC,0.9578493899518454,19
delta-v2-step60000-n100,eval-denovo,medium,L,0.15932019468498906,19
delta-v2-step60000-n100,eval-denovo,medium,L/2,0.2919106882878652,19
delta-v2-step60000-n100,eval-denovo,medium,L/5,0.5162933615390038,19
delta-v2-step60000-n100,eval-denovo,medium,R,0.6199786139390209,19
delta-v2-step60000-n100,eval-denovo,short,AUC,0.9696276414725141,19
delta-v2-step60000-n100,eval-denovo,short,L,0.10517088311927136,19
delta-v2-step60000-n100,eval-denovo,short,L/2,0.20583299195716745,19
delta-v2-step60000-n100,eval-denovo,short,L/5,0.44031243248814167,19
delta-v2-step60000-n100,eval-denovo,short,R,0.6139161206648474,19
delta-v2-step60000-n100,eval-val,all,AUC,0.8969236054424075,97
delta-v2-step60000-n100,eval-val,all,L,0.43906765169704354,97
delta-v2-step60000-n100,eval-val,all,L/2,0.5853158041540412,97
delta-v2-step60000-n100,eval-val,all,L/5,0.7083297116528288,97
delta-v2-step60000-n100,eval-val,all,R,0.46651773693498844,97
delta-v2-step60000-n100,eval-val,long,AUC,0.8771956525422745,97
delta-v2-step60000-n100,eval-val,long,L,0.3154330168547499,97
delta-v2-step60000-n100,eval-val,long,L/2,0.4705983050264058,97
delta-v2-step60000-n100,eval-val,long,L/5,0.6153885000325338,97
delta-v2-step60000-n100,eval-val,long,R,0.4345175670052484,97
delta-v2-step60000-n100,eval-val,medium,AUC,0.9206536170127019,97
delta-v2-step60000-n100,eval-val,medium,L,0.13314984100433808,97
delta-v2-step60000-n100,eval-val,medium,L/2,0.23629368492150296,97
delta-v2-step60000-n100,eval-val,medium,L/5,0.4360654788518805,97
delta-v2-step60000-n100,eval-val,medium,R,0.4817425826355989,97
delta-v2-step60000-n100,eval-val,short,AUC,0.9334036100355984,97
delta-v2-step60000-n100,eval-val,short,L,0.11033510810221432,97
delta-v2-step60000-n100,eval-val,short,L/2,0.20218946122291825,97
delta-v2-step60000-n100,eval-val,short,L/5,0.4176829610841425,97
delta-v2-step60000-n100,eval-val,short,R,0.5521016258518651,97
delta-v2-step60000-n100,legacy_554,all,AUC,0.9142129585748338,554
delta-v2-step60000-n100,legacy_554,all,L,0.4934978549646357,554
delta-v2-step60000-n100,legacy_554,all,L/2,0.6538402291479604,554
delta-v2-step60000-n100,legacy_554,all,L/5,0.7602583159940557,554
delta-v2-step60000-n100,legacy_554,all,R,0.5464345014598616,554
delta-v2-step60000-n100,legacy_554,long,AUC,0.8894405529469932,553
delta-v2-step60000-n100,legacy_554,long,L,0.3127805740997778,554
delta-v2-step60000-n100,legacy_554,long,L/2,0.4803792481515995,554
delta-v2-step60000-n100,legacy_554,long,L/5,0.6286098310241723,554
delta-v2-step60000-n100,legacy_554,long,R,0.48041725061075263,553
delta-v2-step60000-n100,legacy_554,medium,AUC,0.950157363964405,553
delta-v2-step60000-n100,legacy_554,medium,L,0.1749433981745109,554
delta-v2-step60000-n100,legacy_554,medium,L/2,0.3183901794720074,554
delta-v2-step60000-n100,legacy_554,medium,L/5,0.5780284294054802,554
delta-v2-step60000-n100,legacy_554,medium,R,0.6095300591268379,553
delta-v2-step60000-n100,legacy_554,short,AUC,0.9542318675686222,554
delta-v2-step60000-n100,legacy_554,short,L,0.1171806878021595,554
delta-v2-step60000-n100,legacy_554,short,L/2,0.2214826515149689,554
delta-v2-step60000-n100,legacy_554,short,L/5,0.46121062034861365,554
delta-v2-step60000-n100,legacy_554,short,R,0.6585125186667726,554
