model,subset,range,cut,mean_precision,n_proteins
delta-v2-step78499-n100,eval-denovo,all,AUC,0.937630193756307,19
delta-v2-step78499-n100,eval-denovo,all,L,0.48043680484290086,19
delta-v2-step78499-n100,eval-denovo,all,L/2,0.6569924645717441,19
delta-v2-step78499-n100,eval-denovo,all,L/5,0.7794400764925544,19
delta-v2-step78499-n100,eval-denovo,all,R,0.5493958521680007,19
delta-v2-step78499-n100,eval-denovo,long,AUC,0.8932510401517825,19
delta-v2-step78499-n100,eval-denovo,long,L,0.32287989805631795,19
delta-v2-step78499-n100,eval-denovo,long,L/2,0.475610712192747,19
delta-v2-step78499-n100,eval-denovo,long,L/5,0.6367400434884145,19
delta-v2-step78499-n100,eval-denovo,long,R,0.47789776734370754,19
delta-v2-step78499-n100,eval-denovo,medium,AUC,0.9811474869168857,19
delta-v2-step78499-n100,eval-denovo,medium,L,0.16902012714466133,19
delta-v2-step78499-n100,eval-denovo,medium,L/2,0.3132730150009613,19
delta-v2-step78499-n100,eval-denovo,medium,L/5,0.572128156075078,19
delta-v2-step78499-n100,eval-denovo,medium,R,0.6447200687032432,19
delta-v2-step78499-n100,eval-denovo,short,AUC,0.983105974270154,19
delta-v2-step78499-n100,eval-denovo,short,L,0.10765937168541155,19
delta-v2-step78499-n100,eval-denovo,short,L/2,0.2128672331573387,19
delta-v2-step78499-n100,eval-denovo,short,L/5,0.46598370375437864,19
delta-v2-step78499-n100,eval-denovo,short,R,0.638286730561773,19
delta-v2-step78499-n100,eval-val,all,AUC,0.9107221566381485,97
delta-v2-step78499-n100,eval-val,all,L,0.48113981841965486,97
delta-v2-step78499-n100,eval-val,all,L/2,0.6407529278190659,97
delta-v2-step78499-n100,eval-val,all,L/5,0.7567952843318607,97
delta-v2-step78499-n100,eval-val,all,R,0.5146921972049695,97
delta-v2-step78499-n100,eval-val,long,AUC,0.8928038028556532,97
delta-v2-step78499-n100,eval-val,long,L,0.34892191812447815,97
delta-v2-step78499-n100,eval-val,long,L/2,0.5213961056484583,97
delta-v2-step78499-n100,eval-val,long,L/5,0.6773214989900143,97
delta-v2-step78499-n100,eval-val,long,R,0.48424187152470904,97
delta-v2-step78499-n100,eval-val,medium,AUC,0.9366471491003348,97
delta-v2-step78499-n100,eval-val,medium,L,0.14141479763608303,97
delta-v2-step78499-n100,eval-val,medium,L/2,0.2555678031751881,97
delta-v2-step78499-n100,eval-val,medium,L/5,0.4804026175147933,97
delta-v2-step78499-n100,eval-val,medium,R,0.5339671239374714,97
delta-v2-step78499-n100,eval-val,short,AUC,0.9450253397326821,97
delta-v2-step78499-n100,eval-val,short,L,0.11384453294520651,97
delta-v2-step78499-n100,eval-val,short,L/2,0.2110713789655171,97
delta-v2-step78499-n100,eval-val,short,L/5,0.43923808499877093,97
delta-v2-step78499-n100,eval-val,short,R,0.5874209826965895,97
delta-v2-step78499-n100,legacy_554,all,AUC,0.9245457310240123,554
delta-v2-step78499-n100,legacy_554,all,L,0.5194792542793594,554
delta-v2-step78499-n100,legacy_554,all,L/2,0.6825701121860319,554
delta-v2-step78499-n100,legacy_554,all,L/5,0.7864882597475291,554
delta-v2-step78499-n100,legacy_554,all,R,0.5763488377481181,554
delta-v2-step78499-n100,legacy_554,long,AUC,0.9027532387199034,553
delta-v2-step78499-n100,legacy_554,long,L,0.33025426125204527,554
delta-v2-step78499-n100,legacy_554,long,L/2,0.5130688798217286,554
delta-v2-step78499-n100,legacy_554,long,L/5,0.6572177574066946,554
delta-v2-step78499-n100,legacy_554,long,R,0.5160023460550944,553
delta-v2-step78499-n100,legacy_554,medium,AUC,0.9569024213747535,553
delta-v2-step78499-n100,legacy_554,medium,L,0.1784373154667048,554
delta-v2-step78499-n100,legacy_554,medium,L/2,0.3289914986392086,554
delta-v2-step78499-n100,legacy_554,medium,L/5,0.6009403245495064,554
delta-v2-step78499-n100,legacy_554,medium,R,0.6382453526840379,553
delta-v2-step78499-n100,legacy_554,short,AUC,0.9595373297953504,554
delta-v2-step78499-n100,legacy_554,short,L,0.11834352511967225,554
delta-v2-step78499-n100,legacy_554,short,L/2,0.22554689710272252,554
delta-v2-step78499-n100,legacy_554,short,L/5,0.473644334902603,554
delta-v2-step78499-n100,legacy_554,short,R,0.678379039507656,554
