model,subset,range,cut,mean_precision,n_proteins
delta-v2-step48000-n100,eval-denovo,all,AUC,0.9282049052445938,19
delta-v2-step48000-n100,eval-denovo,all,L,0.46501939531561964,19
delta-v2-step48000-n100,eval-denovo,all,L/2,0.6077267822545128,19
delta-v2-step48000-n100,eval-denovo,all,L/5,0.7177514616806709,19
delta-v2-step48000-n100,eval-denovo,all,R,0.527152262293369,19
delta-v2-step48000-n100,eval-denovo,long,AUC,0.8936080450900036,19
delta-v2-step48000-n100,eval-denovo,long,L,0.3064117385994154,19
delta-v2-step48000-n100,eval-denovo,long,L/2,0.4426068056556408,19
delta-v2-step48000-n100,eval-denovo,long,L/5,0.5794228419344186,19
delta-v2-step48000-n100,eval-denovo,long,R,0.459491578322561,19
delta-v2-step48000-n100,eval-denovo,medium,AUC,0.9710414111226396,19
delta-v2-step48000-n100,eval-denovo,medium,L,0.16739991332941448,19
delta-v2-step48000-n100,eval-denovo,medium,L/2,0.3174647077720586,19
delta-v2-step48000-n100,eval-denovo,medium,L/5,0.5522633581385922,19
delta-v2-step48000-n100,eval-denovo,medium,R,0.6187731660219686,19
delta-v2-step48000-n100,eval-denovo,short,AUC,0.9738872571509792,19
delta-v2-step48000-n100,eval-denovo,short,L,0.10649687903620382,19
delta-v2-step48000-n100,eval-denovo,short,L/2,0.20940818529344832,19
delta-v2-step48000-n100,eval-denovo,short,L/5,0.4751689898440969,19
delta-v2-step48000-n100,eval-denovo,short,R,0.6080669770398124,19
delta-v2-step48000-n100,eval-val,all,AUC,0.8968685210032382,97
delta-v2-step48000-n100,eval-val,all,L,0.4271876691415648,97
delta-v2-step48000-n100,eval-val,all,L/2,0.5761639879581962,97
delta-v2-step48000-n100,eval-val,all,L/5,0.7082673147746957,97
delta-v2-step48000-n100,eval-val,all,R,0.45372063515327105,97
delta-v2-step48000-n100,eval-val,long,AUC,0.8777961939150765,97
delta-v2-step48000-n100,eval-val,long,L,0.30972304909873094,97
delta-v2-step48000-n100,eval-val,long,L/2,0.45826308532960175,97
delta-v2-step48000-n100,eval-val,long,L/5,0.612465021979416,97
delta-v2-step48000-n100,eval-val,long,R,0.4196926282363869,97
delta-v2-step48000-n100,eval-val,medium,AUC,0.9216581080886326,97
delta-v2-step48000-n100,eval-val,medium,L,0.13390564940164604,97
delta-v2-step48000-n100,eval-val,medium,L/2,0.23413899559795112,97
delta-v2-step48000-n100,eval-val,medium,L/5,0.43078848168930506,97
delta-v2-step48000-n100,eval-val,medium,R,0.4793992732688562,97
delta-v2-step48000-n100,eval-val,short,AUC,0.937576317628258,97
delta-v2-step48000-n100,eval-val,short,L,0.11178375348389373,97
delta-v2-step48000-n100,eval-val,short,L/2,0.20357976329180696,97
delta-v2-step48000-n100,eval-val,short,L/5,0.4108030777923873,97
delta-v2-step48000-n100,eval-val,short,R,0.5359409962401933,97
delta-v2-step48000-n100,legacy_554,all,AUC,0.9130996467306612,554
delta-v2-step48000-n100,legacy_554,all,L,0.48896449804077735,554
delta-v2-step48000-n100,legacy_554,all,L/2,0.6469921237037695,554
delta-v2-step48000-n100,legacy_554,all,L/5,0.7504002904789726,554
delta-v2-step48000-n100,legacy_554,all,R,0.5417903605601735,554
delta-v2-step48000-n100,legacy_554,long,AUC,0.8877548948679929,553
delta-v2-step48000-n100,legacy_554,long,L,0.3067951147021479,554
delta-v2-step48000-n100,legacy_554,long,L/2,0.47317067852499095,554
delta-v2-step48000-n100,legacy_554,long,L/5,0.6169554918306743,554
delta-v2-step48000-n100,legacy_554,long,R,0.4748477773779246,553
delta-v2-step48000-n100,legacy_554,medium,AUC,0.9504389670388353,553
delta-v2-step48000-n100,legacy_554,medium,L,0.17590943315439128,554
delta-v2-step48000-n100,legacy_554,medium,L/2,0.3214272447953425,554
delta-v2-step48000-n100,legacy_554,medium,L/5,0.5724103269867283,554
delta-v2-step48000-n100,legacy_554,medium,R,0.602785416114895,553
delta-v2-step48000-n100,legacy_554,short,AUC,0.9557010931633204,554
delta-v2-step48000-n100,legacy_554,short,L,0.11765179363857692,554
delta-v2-step48000-n100,legacy_554,short,L/2,0.2226411277874081,554
delta-v2-step48000-n100,legacy_554,short,L/5,0.45964935279331,554
delta-v2-step48000-n100,legacy_554,short,R,0.649168242630417,554
