entry,chain_a,chain_b,L,n_common,n_contacts_a,n_contacts_b,n_shared,n_only_a,n_only_b,jaccard
1ebo,A,B,112,112,29,26,26,3,0,0.896551724137931
1ebo,A,D,112,112,29,27,26,3,1,0.8666666666666667
1h38,A,B,857,857,813,829,758,55,71,0.8574660633484162
1h38,A,C,857,857,813,829,760,53,69,0.8616780045351474
1qom,A,B,420,420,429,425,391,38,34,0.8444924406047516
1uxm,A,B,153,153,116,117,108,8,9,0.864
1uxm,A,C,153,153,116,113,107,9,6,0.8770491803278688
2axz,B,D,305,305,277,282,265,12,17,0.9013605442176871
2bzy,A,B,63,63,21,25,19,2,6,0.7037037037037037
2c1v,A,B,335,335,304,297,285,19,12,0.9018987341772152
2frh,A,B,127,127,92,100,84,8,16,0.7777777777777778
2grm,A,B,315,315,311,314,302,9,12,0.934984520123839
2kxo,A,B,89,89,59,58,58,1,0,0.9830508474576272
2n54,A,B,66,66,39,37,29,10,8,0.6170212765957447
2oug,A,B,141,141,102,104,96,6,8,0.8727272727272727
2oug,A,C,141,141,102,100,94,8,6,0.8703703703703703
2p3v,A,B,254,254,278,285,246,32,39,0.7760252365930599
2p3v,A,C,254,254,278,266,221,57,45,0.6842105263157895
2uy7,A,C,217,217,226,221,209,17,12,0.8781512605042017
2uy7,A,E,217,217,226,228,216,10,12,0.907563025210084
2vfx,A,B,203,203,202,200,191,11,9,0.9052132701421801
2vfx,A,C,203,203,202,195,189,13,6,0.9086538461538461
2wcd,A,B,285,285,171,171,168,3,3,0.9655172413793104
2wcd,A,C,285,285,171,170,169,2,1,0.9825581395348837
3gmh,B,F,185,185,189,189,184,5,5,0.9484536082474226
3hde,A,B,165,165,141,134,122,19,12,0.7973856209150327
3j7w,A,B,343,343,231,205,171,60,34,0.6452830188679245
3j7w,A,C,343,343,231,218,179,52,39,0.662962962962963
3j97,H,I,286,286,219,212,188,31,24,0.7736625514403292
3jv6,A,C,101,101,87,90,85,2,5,0.9239130434782609
3jv6,A,E,101,101,87,89,84,3,5,0.9130434782608695
3kds,F,G,426,426,369,357,335,34,22,0.8567774936061381
3kuy,A,E,96,96,37,36,32,5,4,0.7804878048780488
3kuy,C,G,106,106,34,37,30,4,7,0.7317073170731707
3m1b,A,C,263,263,230,229,178,52,51,0.6334519572953736
3m1b,A,E,263,263,230,221,190,40,31,0.7279693486590039
3o44,A,B,581,581,638,649,618,20,31,0.9237668161434978
3o44,A,C,581,581,638,645,615,23,30,0.9206586826347305
3r9j,C,D,70,70,28,24,23,5,1,0.7931034482758621
3ztj,A,E,318,318,331,327,285,46,42,0.7640750670241286
3ztj,B,D,172,172,108,107,89,19,18,0.7063492063492064
3zwg,A,B,178,178,197,195,193,4,2,0.9698492462311558
3zwg,A,C,178,178,197,195,189,8,6,0.9310344827586207
4fu4,A,B,368,368,390,391,333,57,58,0.7433035714285714
4g0d,A,B,368,368,391,391,339,52,52,0.7652370203160271
4g0d,A,C,368,368,391,379,345,46,34,0.8117647058823529
4gqc,A,B,160,160,130,133,123,7,10,0.8785714285714286
4gqc,C,D,161,161,153,151,141,12,10,0.8650306748466258
4jph,B,D,111,111,104,110,92,12,18,0.7540983606557377
4o01,A,C,483,483,411,414,409,2,5,0.9831730769230769
4q79,D,F,189,189,128,134,120,8,14,0.8450704225352113
4q79,C,E,198,198,138,137,125,13,12,0.8333333333333334
4rwq,A,B,346,346,359,358,308,51,50,0.7530562347188264
4tsy,A,B,176,176,179,179,178,1,1,0.9888888888888889
4tsy,A,C,176,176,179,179,177,2,2,0.9779005524861878
4uv2,A,C,234,234,196,193,184,12,9,0.8975609756097561
4uv2,B,H,236,236,198,192,182,16,10,0.875
4wsg,A,C,479,479,358,340,293,65,47,0.7234567901234568
4y0m,C,G,206,206,178,180,164,14,16,0.845360824742268
4zrb,A,B,123,123,107,106,99,8,7,0.868421052631579
4zrb,A,C,123,123,107,105,103,4,2,0.944954128440367
5aoe,A,B,488,488,477,474,421,56,53,0.7943396226415095
5ec5,A,G,290,290,285,281,260,25,21,0.8496732026143791
5ec5,E,H,283,283,284,286,270,14,16,0.9
5ejb,E,F,436,436,365,365,347,18,18,0.9060052219321149
5flu,A,B,163,163,111,111,111,0,0,1.0
5flu,A,C,163,163,111,111,111,0,0,1.0
5hk5,F,G,129,129,95,98,92,3,6,0.9108910891089109
5hk5,A,B,105,105,73,75,73,0,2,0.9733333333333334
5hmg,A,C,328,328,344,344,338,6,6,0.9657142857142857
5hmg,A,E,328,328,344,344,339,5,5,0.9713467048710601
5jzh,A,B,424,424,441,441,441,0,0,1.0
5jzh,A,C,424,424,441,441,441,0,0,1.0
5jzt,A,B,423,423,327,326,325,2,1,0.9908536585365854
5jzt,A,C,423,423,327,326,325,2,1,0.9908536585365854
5l35,A,B,422,422,359,349,308,51,41,0.77
5l35,A,C,422,422,359,348,308,51,40,0.7719298245614035
5wrg,A,B,736,736,509,507,507,2,0,0.9960707269155207
5wrg,A,C,736,736,509,507,507,2,0,0.9960707269155207
7ahl,A,B,293,293,334,327,306,28,21,0.8619718309859155
7ahl,A,C,293,293,334,328,299,35,29,0.8236914600550964
