2lela_2k0qa	afdb|01282_1925_AF-A0A6S6Y1A0-F1	0.706	60	74	94	0.811	0.638	9.690E-19	88
2lela_2k0qa	afdb|00346_149_AF-A0A069ICG7-F1	0.576	73	74	94	0.986	0.777	2.318E-17	84
2lela_2k0qa	esm_atlas|01162_5316_5928ae7040924d9ca6822794e344b900	0.678	57	74	92	0.770	0.620	5.548E-16	80
2lela_2k0qa	esm_atlas|01031_8177_4f20a64baca0bab05d547af477b585e3	0.525	73	74	94	0.986	0.777	2.509E-14	75
2lela_2k0qa	afdb|01910_742_AF-A0A4R3LHP8-F1	0.579	64	74	98	0.865	0.653	4.738E-14	74
2lela_2k0qa	esm_atlas|00626_13167_30149bd2d3a83ad8167ac330707e9847	0.613	58	74	182	0.784	0.319	2.321E-13	72
2lela_2k0qa	esm_atlas|00542_3553_29971defccab488ffda3a9d05176d8cc	0.565	63	74	99	0.851	0.636	6.021E-13	71
2lela_2k0qa	esm_atlas|01793_3114_898dab47eb23945739f5017e3d96c309	0.653	51	74	97	0.689	0.526	4.055E-12	69
2lela_2k0qa	esm_atlas|01141_11179_5791f92d5b1ac3c494f3f2bbc2cefa53	0.509	68	74	126	0.919	0.540	1.052E-11	68
2lela_2k0qa	esm_atlas|01149_11072_582f0026085463635ec40069779c1cb9	0.540	62	74	97	0.838	0.639	2.732E-11	66
2lela_2k0qa	esm_atlas|00457_2576_23116f146019213bba6d0e2b06f7feb8	0.536	61	74	96	0.824	0.635	9.748E-11	65
2lela_2k0qa	esm_atlas|00382_16802_1d5fc68d97ff6962c78a9e5566ab7d34	0.555	58	74	91	0.784	0.637	1.340E-10	64
2lela_2k0qa	esm_atlas|02901_10333_de844c06e6577ba2f842e90029b11b48	0.555	58	74	96	0.784	0.604	1.340E-10	64
2lela_2k0qa	esm_atlas|00467_446_23d3d08f7d2283e3c9359d616af0842c	0.524	62	74	95	0.838	0.653	1.842E-10	64
2lela_2k0qa	esm_atlas|00247_9558_12fe53d07441f4aedb47b9552ec258b2	0.507	62	74	92	0.838	0.674	1.242E-09	62
2lela_2k0qa	esm_atlas|00512_15486_27560b7e4441966f20c5a9847b8ae43e	0.475	67	74	97	0.905	0.691	1.707E-09	61
2lela_2k0qa	afdb|01753_1925_AF-A0A1H6BEL0-F1	0.535	56	74	90	0.757	0.622	6.096E-09	60
2lela_2k0qa	afdb|00811_1925_AF-A0A372EPW1-F1	0.501	60	74	93	0.811	0.645	1.152E-08	59
2lela_2k0qa	esm_atlas|00867_6155_428a017a4389e077f2d5aadc011e4518	0.498	60	74	96	0.811	0.625	1.584E-08	59
2lela_2k0qa	afdb|00414_1604_AF-A0A4V3DUW3-F1	0.493	59	74	93	0.797	0.634	5.658E-08	57
4pyia_4pyja	afdb|01209_62_AF-A0A6P8RXJ4-F1	0.624	210	208	214	0.981	0.981	1.757E-75	259
4pyia_4pyja	afdb|00738_62_AF-A0A6P7ZM05-F1	0.622	210	208	214	0.981	0.981	3.300E-75	258
4pyia_4pyja	afdb|00491_1634_AF-A0A2D0QX48-F1	0.607	212	208	361	0.990	0.587	1.983E-73	253
4pyia_4pyja	afdb|01584_954_AF-S9XRA4-F1	0.614	208	208	223	1.000	0.753	5.104E-73	252
4pyia_4pyja	afdb|01632_1153_AF-A0A667I5V7-F1	0.792	153	208	224	0.707	0.683	1.313E-72	250
4pyia_4pyja	afdb|02024_468_AF-A0A498NEZ7-F1	0.605	206	208	206	0.962	1.000	1.482E-70	244
4pyia_4pyja	afdb|01887_1170_AF-A0A6A5EPC3-F1	0.590	212	208	1186	0.990	0.179	2.030E-70	244
4pyia_4pyja	afdb|02055_954_AF-A0A673BCS7-F1	0.566	209	208	247	0.976	0.846	4.390E-65	229
4pyia_4pyja	afdb|01113_954_AF-A0A3Q3JGJ7-F1	0.576	201	208	237	0.938	0.848	7.471E-64	225
4pyia_4pyja	afdb|01680_62_AF-C3YS29-F1	0.535	211	208	212	0.986	0.995	1.430E-60	216
4pyia_4pyja	afdb|00357_1840_AF-A0A815BAZ7-F1	0.477	206	208	214	0.957	0.963	5.892E-49	182
4pyia_4pyja	afdb|00051_1795_AF-A0A815HZ63-F1	0.478	204	208	214	0.947	0.953	1.513E-48	181
