pair_id,fold1,fold2,tier,seq_class,same_entry,method1,method2,resolution1,resolution2,L,n_common,coverage,pair_identity,n_seq_mismatch,n_contacts_fold1,n_contacts_fold2,n_shared,n_only1,n_only2,n_only1_fs,n_only2_fs,jaccard,fs_region_start,fs_region_end,fs_share_of_discriminative,passes_gate,status,reason
1h38d_1qlna,1h38D,1qlnA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.9,2.4,882,837,0.9489795918367347,1.0,0,790,812,535,255,277,9,3,0.5014058106841612,585,605,0.022556390977443608,True,ok,
1k0na_1rk4b,1k0nA,1rk4B,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.8,1.792,229,202,0.8820960698689956,0.9956331877729258,1,169,177,127,42,50,23,31,0.5799086757990868,31,73,0.5869565217391305,True,ok,
1mnmc_1mnmd,1mnmC,1mnmD,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.25,2.25,77,77,1.0,1.0,0,49,39,36,13,3,10,2,0.6923076923076923,0,19,0.75,False,ok,"min(|A|,|B|)=3<10"
1nqda_1nqjb,1nqdA,1nqjB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,1.65,1.0,115,111,0.9652173913043478,1.0,0,134,111,94,40,17,25,9,0.6225165562913907,0,26,0.5964912280701754,True,ok,
1qomb_1noca,1qomB,1nocA,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.7,2.6,420,372,0.8857142857142857,1.0,0,386,367,278,108,89,21,14,0.5852631578947368,381,403,0.17766497461928935,True,ok,
1qs8b_1miqb,1qs8B,1miqB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.5,2.5,411,287,0.6982968369829684,0.9902676399026764,4,279,267,193,86,74,34,23,0.546742209631728,0,30,0.35625,True,ok,
1repc_2z9ob,1repC,2z9oB,B,identical,False,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.6,3.14,227,204,0.8986784140969163,0.9955947136563876,1,235,220,132,103,88,28,40,0.4086687306501548,117,137,0.35602094240837695,True,ok,
1uxmk_2nama,1uxmK,2namA,C,identical,False,X-RAY DIFFRACTION,SOLUTION NMR,1.9,,153,152,0.9934640522875817,0.9934640522875817,1,106,23,1,105,22,105,22,0.0078125,0,153,1.0,True,ok,
1wyyb_5wrgc,1wyyB,5wrgC,C,identical,False,X-RAY DIFFRACTION,ELECTRON MICROSCOPY,2.2,4.3,716,97,0.13547486033519554,0.9846368715083799,11,20,18,0,20,18,0,0,0.0,,,,False,ok,coverage=0.14<0.5; fold-switching region not located
1x0ga_1x0gd,1x0gA,1x0gD,A,identical,True,X-RAY DIFFRACTION,X-RAY DIFFRACTION,2.5,2.5,106,100,0.9433962264150944,1.0,0,102,27,19,83,8,83,8,0.17272727272727273,12,104,1.0,False,ok,"min(|A|,|B|)=8<10"
