pair_id,fold1,fold2,tier,seq_class,L,n_a,n_b,n_a_fs,n_b_fs,jaccard,recall_a,recall_b,phi,phi_seed_sd,phi_fs,prefers,contacts_per_rollout,frac_finished,budget_capped,fold1_R_all,fold1_R_long,fold1_AUC_all,fold2_R_all,fold2_R_long,fold2_AUC_all,R_all_margin,training_fold,hit_identity,hit_arm,train_recall_a,train_recall_b
4nc9c_4n9wa,4nc9C,4n9wA,B,identical,376,71,64,21,13,0.5884,0.2306,0.4389,-0.2083,0.0055,0.0016,fold2,277.3,1.0,False,0.6788,0.6807,0.9282,0.7292,0.7337,0.9685,-0.0504,neither,0.791,esm_atlas,0.0845,0.1719
2lela_2k0qa,2lelA,2k0qA,C,identical,74,30,29,22,14,0.3444,0.1233,0.3204,-0.1971,0.0091,-0.1961,fold2,68.7,1.0,False,0.4852,0.3143,0.8365,0.64,0.419,0.9546,-0.1548,fold1,0.706,afdb,0.3667,0.069
4zrbc_4zrbh,4zrbC,4zrbH,A,identical,126,10,19,3,12,0.7661,0.2542,0.4161,-0.1619,0.0219,-0.2773,fold2,112.0,1.0,False,0.7695,0.7583,0.9907,0.786,0.7692,0.995,-0.0165,fold1,0.948,esm_atlas,0.6,0.3684
2h44a_1rkpa,2h44A,1rkpA,B,identical,326,54,70,31,16,0.6612,0.0886,0.2105,-0.122,0.0023,-0.0962,fold2,321.0,1.0,False,0.4399,0.4636,0.9493,0.4821,0.5052,0.9654,-0.0422,neither,0.971,afdb,0.037,0.0571
2hdma_2n54b,2hdmA,2n54B,C,homolog,75,29,28,10,7,0.0806,0.1268,0.2072,-0.0804,0.0197,0.0189,fold2,44.1,1.0,False,0.1824,0.1867,0.8846,0.3636,0.0167,0.8733,-0.1812,neither,0.445,afdb,0.1034,0.0
4y0mj_4xwsd,4y0mJ,4xwsD,B,identical,209,32,41,13,16,0.6456,0.3669,0.4307,-0.0639,0.0077,0.0469,fold2,178.2,1.0,False,0.697,0.6821,0.994,0.723,0.7323,0.9926,-0.026,fold1,0.839,esm_atlas,0.25,0.0976
3ifaa_5et5a,3ifaA,5et5A,B,identical,326,34,30,15,9,0.7874,0.1879,0.2471,-0.0592,0.0104,0.0051,fold2,299.5,1.0,False,0.6059,0.5769,0.9874,0.6315,0.5952,0.9917,-0.0256,ambiguous,0.871,afdb,0.2353,0.1667
4uv2d_4q79f,4uv2D,4q79F,B,identical,235,55,49,2,1,0.4439,0.201,0.2347,-0.0336,0.0111,0.134,fold2,158.2,1.0,False,0.5362,0.5478,0.9718,0.5515,0.556,0.9736,-0.0153,neither,0.918,afdb,0.0727,0.102
4ow6b_4ae0a,4ow6B,4ae0A,B,identical,523,138,86,11,19,0.5774,0.0217,0.0485,-0.0269,0.0018,-0.0388,fold2,443.3,1.0,False,0.1824,0.1196,0.7932,0.2051,0.1409,0.8412,-0.0227,neither,0.959,esm_atlas,0.1739,0.093
3zxgb_5ec5p,3zxgB,5ec5P,B,identical,293,119,70,55,17,0.5203,0.0889,0.1145,-0.0255,0.0071,-0.0075,fold2,329.2,1.0,False,0.4747,0.4164,0.948,0.5244,0.4759,0.97,-0.0497,fold1,0.965,esm_atlas,0.7731,0.2571
2vfxl_3gmhl,2vfxL,3gmhL,B,identical,203,112,97,70,53,0.2793,0.0302,0.0452,-0.015,0.0018,-0.0144,fold2,167.4,1.0,False,0.1627,0.1041,0.7005,0.1921,0.1305,0.755,-0.0294,neither,0.901,afdb,0.125,0.0
5f5rb_5f3ka,5f5rB,5f3kA,B,identical,225,70,54,31,4,0.4918,0.1927,0.2045,-0.0119,0.0079,-0.0277,fold2,179.9,1.0,False,0.6253,0.6106,0.9491,0.6356,0.6171,0.9562,-0.0103,neither,0.966,esm_atlas,0.0714,0.037
3zwgn_4tsyd,3zwgN,4tsyD,B,identical,178,46,28,14,0,0.674,0.018,0.0266,-0.0087,0.0029,,fold2,151.0,1.0,False,0.1568,0.1025,0.8002,0.1669,0.114,0.8369,-0.0101,fold1,0.97,afdb,0.8043,0.4286
1kcta_3t1pa,1kctA,3t1pA,B,identical,377,181,132,63,64,0.3651,0.4019,0.4069,-0.005,0.0035,0.0237,fold2,398.1,1.0,False,0.6283,0.6174,0.9706,0.6263,0.567,0.9445,0.002,fold2,0.945,afdb,0.116,0.4242
5keqf_1dzla,5keqF,1dzlA,C,identical,473,70,109,4,7,0.6413,0.0186,0.022,-0.0034,0.0031,-0.0598,fold2,559.0,1.0,False,0.0395,0.0172,0.6872,0.0452,0.0176,0.6857,-0.0057,ambiguous,0.715,afdb,0.3,0.367
4jphb_5hk5h,4jphB,5hk5H,B,identical,119,32,16,14,4,0.6,0.0356,0.0364,-0.0008,0.0042,0.0111,fold2,91.0,1.0,False,0.1962,0.2185,0.8064,0.2114,0.2444,0.8246,-0.0152,ambiguous,0.878,afdb,0.4375,0.375
5i2ma_5i2sa,5i2mA,5i2sA,B,identical,413,113,178,35,36,0.4831,0.0126,0.0122,0.0004,0.0006,-0.0048,fold1,457.8,1.0,False,0.1413,0.0465,0.7518,0.1311,0.0497,0.7234,0.0102,neither,0.257,esm_atlas,0.0,0.0
4j3of_2jmra,4j3oF,2jmrA,C,identical,179,35,53,7,6,0.4014,0.2826,0.2802,0.0024,0.0093,-0.0948,fold1,120.1,1.0,False,0.6149,0.6133,0.973,0.6375,0.6378,0.9697,-0.0226,neither,0.947,afdb,0.0286,0.1132
4h2aa_3j9ca,4h2aA,3j9cA,C,identical,724,141,101,21,20,0.5346,0.0322,0.0283,0.0039,0.0019,0.0252,fold1,375.9,1.0,False,0.1685,0.0658,0.7717,0.1588,0.0642,0.782,0.0097,neither,0.502,esm_atlas,0.0,0.0
4zt0c_4cmqb,4zt0C,4cmqB,B,identical,1338,224,374,42,38,0.5921,0.0418,0.0378,0.0041,0.0027,-0.0004,fold1,1318.3,0.06,True,0.174,0.1134,0.8117,0.1771,0.1156,0.7962,-0.0031,neither,0.75,afdb,0.067,0.0722
5hmga_3ztje,5hmgA,3ztjE,B,identical,328,55,38,18,14,0.7565,0.0323,0.0268,0.0055,0.004,0.015,fold1,346.9,1.0,False,0.0919,0.1022,0.7656,0.0777,0.0886,0.7759,0.0142,neither,0.86,esm_atlas,0.0364,0.0263
4phqa_2wcdx,4phqA,2wcdX,B,identical,291,181,132,16,3,0.1006,0.0356,0.0298,0.0058,0.0041,0.0063,fold1,242.8,1.0,False,0.1472,0.1433,0.8126,0.1222,0.1184,0.8051,0.025,fold1,0.913,afdb,0.2099,0.0152
2pbkb_3njqa,2pbkB,3njqA,B,identical,228,55,55,20,26,0.45,0.0248,0.0175,0.0072,0.003,0.0035,fold1,126.2,1.0,False,0.091,0.0604,0.7054,0.0731,0.0272,0.6852,0.0179,none,,,,
4o0pa_4o01d,4o0pA,4o01D,B,identical,489,76,89,19,20,0.6605,0.1674,0.1582,0.0092,0.0054,0.0111,fold1,380.5,1.0,False,0.4247,0.3303,0.8869,0.421,0.3136,0.8783,0.0037,neither,0.465,afdb,0.0395,0.0112
5jzha_5jztg,5jzhA,5jztG,C,identical,424,299,183,74,31,0.2263,0.0606,0.0499,0.0107,0.002,-0.0338,fold1,526.2,1.0,False,0.2109,0.192,0.8453,0.179,0.1764,0.8442,0.0319,fold1,0.737,esm_atlas,0.4314,0.1093
3o44a_1xeza,3o44A,1xezA,B,identical,663,140,220,6,31,0.5804,0.059,0.0483,0.0107,0.0034,0.2906,fold1,694.5,1.0,False,0.2542,0.1605,0.8114,0.2382,0.1521,0.7831,0.016,fold2,0.907,afdb,0.2143,0.8273
4yhdg_7ahle,4yhdG,7ahlE,B,identical,293,105,61,59,15,0.621,0.0371,0.0258,0.0113,0.0012,-0.0202,fold1,283.3,1.0,False,0.1507,0.076,0.7229,0.1291,0.0755,0.7105,0.0216,fold2,0.988,afdb,0.1143,0.4918
2qqja_4qdsa,2qqjA,4qdsA,B,identical,319,19,20,4,6,0.801,0.2271,0.215,0.0121,0.0087,-0.003,fold1,177.2,1.0,False,0.6398,0.6525,0.9888,0.6282,0.6496,0.9892,0.0116,neither,0.988,afdb,0.1579,0.0
4rmbb_4rmba,4rmbB,4rmbA,A,identical,155,18,18,2,2,0.7313,0.107,0.091,0.016,0.0072,-0.05,fold1,131.5,1.0,False,0.3207,0.2764,0.8738,0.3259,0.2814,0.8694,-0.0052,none,,,,
1qomb_1noca,1qomB,1nocA,B,identical,420,108,89,21,14,0.5853,0.0416,0.0246,0.0169,0.0025,0.0171,fold1,443.1,1.0,False,0.1435,0.0543,0.7751,0.1302,0.0414,0.76,0.0133,fold1,0.924,afdb,0.6481,0.2135
1nqda_1nqjb,1nqdA,1nqjB,B,identical,115,40,17,25,9,0.6225,0.2546,0.2361,0.0185,0.0158,0.121,fold1,125.1,1.0,False,0.6985,0.775,0.9873,0.7261,0.7576,0.9721,-0.0276,neither,0.468,afdb,0.0,0.0
4dxra_4dxta,4dxrA,4dxtA,B,identical,198,25,33,7,4,0.7114,0.1828,0.151,0.0318,0.0083,0.0546,fold1,168.0,1.0,False,0.5631,0.5683,0.9582,0.533,0.5137,0.949,0.0301,neither,0.96,afdb,0.12,0.1515
1h38d_1qlna,1h38D,1qlnA,B,identical,882,255,277,9,3,0.5014,0.1096,0.0721,0.0374,0.0023,0.062,fold1,1022.5,0.998,False,0.4304,0.4014,0.9423,0.4049,0.3795,0.9208,0.0255,neither,0.809,afdb,0.0863,0.0253
3tp2a_5lj3m,3tp2A,5lj3M,C,identical,252,87,68,44,20,0.4781,0.0943,0.0544,0.0399,0.0039,0.0155,fold1,189.9,1.0,False,0.3834,0.2753,0.854,0.3629,0.2677,0.8352,0.0205,fold1,0.904,afdb,0.6552,0.3529
2a73b_3l5nb,2a73B,3l5nB,B,identical,982,435,308,56,42,0.428,0.1811,0.1396,0.0415,0.0009,0.0223,fold1,1114.1,1.0,False,0.4696,0.4597,0.9665,0.4463,0.4345,0.9583,0.0233,ambiguous,0.959,afdb,0.331,0.4318
4rwna_4rwqb,4rwnA,4rwqB,B,identical,349,134,116,32,20,0.4919,0.3388,0.281,0.0578,0.0057,0.396,fold1,377.3,1.0,False,0.5553,0.5489,0.967,0.5263,0.5376,0.957,0.029,fold2,0.993,afdb,0.3433,0.6724
2p3vd_2p3va,2p3vD,2p3vA,A,identical,254,35,48,5,16,0.7348,0.4338,0.3598,0.074,0.0055,-0.2385,fold1,283.4,1.0,False,0.8113,0.8204,0.9933,0.7971,0.7802,0.9951,0.0142,neither,0.411,esm_atlas,0.1143,0.1458
3g0ha_3ewsb,3g0hA,3ewsB,B,identical,418,158,133,11,27,0.5009,0.2985,0.2239,0.0746,0.0026,0.0077,fold1,435.6,1.0,False,0.692,0.6784,0.9787,0.6786,0.6589,0.9595,0.0134,ambiguous,0.957,afdb,0.3924,0.2782
5aoeb_5ly6b,5aoeB,5ly6B,C,identical,490,265,208,138,80,0.2855,0.1661,0.0779,0.0882,0.0025,0.12,fold1,521.4,1.0,False,0.3877,0.4012,0.8988,0.2776,0.3161,0.8856,0.1101,fold1,0.963,afdb,0.2151,0.0192
3t5oa_4a5wb,3t5oA,4a5wB,B,identical,897,351,265,34,25,0.3784,0.2249,0.1261,0.0988,0.001,0.0806,fold1,764.4,1.0,False,0.5096,0.4649,0.9378,0.4519,0.4071,0.9207,0.0577,fold1,0.982,afdb,0.6524,0.2264
