pair_id,phi_k0,n_b,needs_flip,k_star,k_star_frac,max_k_tested,flipped
1nqda_1nqjb,0.0384,17,True,1.0,0.0588,10,True
1uxmk_2nama,0.5715,22,True,,,20,False
1xjta_1xjub,0.2767,39,True,5.0,0.1282,20,True
1xnta_3lqca,0.3167,68,True,10.0,0.1471,40,True
2frha_1fzpd,0.5659,47,True,10.0,0.2128,40,True
2hdma_2n54b,-0.0356,28,False,,,20,False
2k42a_1ceeb,0.1915,10,True,,,10,False
2lela_2k0qa,-0.2094,29,False,,,20,False
3hdea_3hdfa,0.5161,51,True,20.0,0.3922,40,True
3jv6a_1zk9a,0.1139,10,True,,,10,False
3m1bf_3lowa,0.0591,10,True,,,10,False
3qy2a_1qb3a,0.1535,13,True,,,10,False
4gqcc_4gqcb,0.553,29,True,10.0,0.3448,20,True
4jphb_5hk5h,0.005,16,True,5.0,0.3125,10,True
4qhfa_4qhha,0.2182,26,True,5.0,0.1923,20,True
4rmbb_4rmba,0.0211,18,True,,,10,False
4zrbc_4zrbh,-0.1521,19,False,,,10,False
5flue_2uy7d,0.2388,45,True,10.0,0.2222,40,True
5jyta_2qkee,0.4753,46,True,5.0,0.1087,40,True
6c6sd_2ougc,0.3821,58,True,20.0,0.3448,40,True
