query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-2f105717af4c19f8221b,A0A1X0QF44,7.067E-01,7.751E-01,1.000,0.978,7.203E-01,proteina-2f105717af4c19f8221b,0.7067,train
proteina-6f975e90a8b0d5b16af0,A0A849ZNU2,3.776E-01,4.700E-01,1.000,0.792,4.093E-01,proteina-6f975e90a8b0d5b16af0,0.3776,train
proteina-b10148c53cb87c20404d,A0A7W0WSJ4,5.003E-01,5.618E-01,0.964,0.927,5.094E-01,proteina-b10148c53cb87c20404d,0.5003,train
proteina-57046e6ef514b2366e8f,A0A2A2L5G6,6.183E-01,6.088E-01,0.954,0.896,5.918E-01,proteina-57046e6ef514b2366e8f,0.6088,train
proteina-d846f1fe736cea0626c9,A0A2N9MTS0,5.253E-01,6.391E-01,0.782,0.965,5.655E-01,proteina-d846f1fe736cea0626c9,0.5253,train
proteina-bc0f0e1ad390d6172f52,E1ZGT5,4.512E-01,4.808E-01,0.998,0.848,4.421E-01,proteina-bc0f0e1ad390d6172f52,0.4512,train
proteina-ce7e1abda3562afe50f0,A0A7S1LFF4,6.338E-01,6.564E-01,0.922,0.869,6.260E-01,proteina-ce7e1abda3562afe50f0,0.6338,train
proteina-cc91dc4f4c01c97040b7,E4U591,4.858E-01,4.858E-01,0.998,0.944,4.625E-01,proteina-cc91dc4f4c01c97040b7,0.4858,train
proteina-5f6f7d37e7249c9b2449,A0A1V5VIN7,4.118E-01,4.196E-01,0.888,0.941,3.993E-01,proteina-5f6f7d37e7249c9b2449,0.4118,train
proteina-ec4964b25774a2015b4a,A0A0N0BES2,6.821E-01,6.617E-01,0.996,0.948,6.474E-01,proteina-ec4964b25774a2015b4a,0.6617,train
proteina-425961ceabd6095ddeec,A0A2N2JZG0,4.889E-01,5.527E-01,0.966,0.965,5.006E-01,proteina-425961ceabd6095ddeec,0.4889,train
proteina-af22f35c2c58ba5523dc,A0A5J4YEC1,3.277E-01,3.608E-01,1.000,0.952,3.241E-01,proteina-af22f35c2c58ba5523dc,0.3277,train
proteina-d602401a2f1a72581e96,A0A7X6AHC6,7.041E-01,6.382E-01,0.882,0.814,6.609E-01,proteina-d602401a2f1a72581e96,0.6382,train
proteina-62d528c9334f009e4404,A0A4W5Q7Y9,4.394E-01,4.426E-01,0.990,0.921,4.298E-01,proteina-62d528c9334f009e4404,0.4394,train
proteina-52781faefcebd3ee5a3b,A0A1S2LGZ8,4.122E-01,4.802E-01,0.900,0.959,4.278E-01,proteina-52781faefcebd3ee5a3b,0.4122,train
proteina-9d72f9a14fc1842893df,A0A248X7S9,4.490E-01,6.363E-01,0.982,0.902,5.254E-01,proteina-9d72f9a14fc1842893df,0.449,train
proteina-aa6447445f2f178a9a55,A0A0K2V5Y8,6.424E-01,7.776E-01,0.890,0.993,6.882E-01,proteina-aa6447445f2f178a9a55,0.6424,train
proteina-c100ec78ee99b9b0beac,R6U6W0,4.625E-01,4.362E-01,0.928,0.723,4.374E-01,proteina-c100ec78ee99b9b0beac,0.4362,train
proteina-9eb837abc90c6ab2b93b,A0A1T4Q0I3,4.461E-01,6.293E-01,0.912,0.988,5.138E-01,proteina-9eb837abc90c6ab2b93b,0.4461,train
proteina-b1066bd2c78050a454c6,A0A843S5W9,3.897E-01,3.797E-01,0.996,0.969,3.655E-01,proteina-b1066bd2c78050a454c6,0.3797,train
proteina-89fed22ee31e0dc43595,A0A6J4MWD3,5.494E-01,5.811E-01,0.904,0.906,5.479E-01,proteina-89fed22ee31e0dc43595,0.5494,train
proteina-e44a96a07b08e3625dca,A0A7M3ZWB2,3.779E-01,3.358E-01,0.996,0.931,3.393E-01,proteina-e44a96a07b08e3625dca,0.3358,train
proteina-309317dc3a22e7b5a110,A0A7Y8G497,4.609E-01,5.364E-01,0.920,0.981,4.770E-01,proteina-309317dc3a22e7b5a110,0.4609,train
proteina-9b96159eccae117ce3d9,A0A1E4EZQ0,4.175E-01,4.275E-01,0.758,0.749,4.116E-01,proteina-9b96159eccae117ce3d9,0.4175,train
proteina-367a52983efc35323c13,A0A7X7UGH6,7.332E-01,7.016E-01,0.992,0.933,7.068E-01,proteina-367a52983efc35323c13,0.7016,train
proteina-b98203d58bc76c501641,A0A445KRY4,7.214E-01,7.399E-01,0.930,0.909,7.104E-01,proteina-b98203d58bc76c501641,0.7214,train
proteina-1e8e33395815b4b8772d,A0A4Q5P0S3,3.797E-01,5.109E-01,0.618,0.980,4.241E-01,proteina-1e8e33395815b4b8772d,0.3797,train
proteina-a65215225a38627db969,A0A817RAL1,7.659E-01,8.061E-01,0.958,0.951,7.694E-01,proteina-a65215225a38627db969,0.7659,train
