query,target,fident,qcov,tcov,qlen,tlen,evalue,shorter_coverage,identity_rule,evalue_rule
proteina-1bbe41f90e083445e88e,reference0::denovo_pdb__6veh_A,0.406,0.266,0.678,500,180,1.229E-08,0.678,True,True
proteina-1bbe41f90e083445e88e,reference0::denovo_pdb__5cwm_A,0.316,0.270,0.681,500,226,2.837E-01,0.681,True,False
proteina-1bbe41f90e083445e88e,reference1::foldbench_all__8OYY_A,0.318,0.262,0.595,500,242,1.977E+00,0.595,True,False
proteina-1bbe41f90e083445e88e,reference0::denovo_pdb__5cwp_A,0.302,0.252,0.638,500,229,3.443E+00,0.638,True,False
proteina-bf7a150b5568cb717d2d,reference0::denovo_pdb__8kac_A,0.333,0.184,0.744,500,121,7.085E-02,0.744,True,False
proteina-bf7a150b5568cb717d2d,reference0::denovo_pdb__7dgu_A,0.333,0.152,0.804,500,97,1.377E+01,0.804,True,False
proteina-de78b7ac42bdf12116df,reference0::denovo_pdb__9lni_A,0.330,0.222,0.552,500,212,4.067E-02,0.552,True,False
proteina-de78b7ac42bdf12116df,reference1::foldbench_all__8G4K_A,0.305,0.130,0.692,500,104,7.909E+00,0.692,True,False
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8cqq_A,0.440,0.700,0.985,500,272,1.421E-56,0.985,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8chy_A,0.440,0.700,0.985,500,272,1.421E-56,0.985,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8ckr_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8cmq_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__2fo7_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__2hyz_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8bu0_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8ch0_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__8cig_A,0.441,0.340,0.971,500,136,2.904E-28,0.971,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__2wqh_A,0.440,0.250,0.942,500,104,5.896E-20,0.942,True,True
proteina-cd63563b49978f394d15,reference0::denovo_pdb__2avp_A,0.506,0.150,0.941,500,68,4.026E-13,0.941,True,True
proteina-cd63563b49978f394d15,reference1::foldbench_all__8RTE_A,0.276,0.430,0.546,500,370,4.246E-06,0.546,False,True
proteina-cd63563b49978f394d15,reference1::foldbench_all__8G4K_A,0.300,0.196,0.894,500,104,2.904E+02,0.894,True,False
proteina-4251eb0e94382eb3bd72,reference0::denovo_pdb__5cwn_A,0.339,0.222,0.531,500,207,1.291E-05,0.531,True,True
proteina-4251eb0e94382eb3bd72,reference1::foldbench_all__8GJI_A,0.333,0.248,0.787,500,174,7.085E-02,0.787,True,False
proteina-9a717dd30f9ef1154ea3,reference1::foldbench_all__7XVQ_A,0.389,0.102,0.625,500,88,2.609E+00,0.625,True,False
proteina-9a717dd30f9ef1154ea3,reference1::foldbench_all__7XVQ_B,0.389,0.102,0.625,500,88,2.609E+00,0.625,True,False
proteina-9a717dd30f9ef1154ea3,reference0::cameo_hard__8vd6_A,0.328,0.274,0.718,500,174,7.909E+00,0.718,True,False
