uniprot_id,dms_id,seq_len,top1_high_context,nll_high_context,composition_floor
TCRG1_MOUSE,TCRG1_MOUSE_Tsuboyama_2023_1E0L,37,0.3125,2.390693187713623,0.16216216216216217
SAV1_MOUSE,SAV1_MOUSE_Tsuboyama_2023_2YSB,43,0.1388888888888889,2.8851470947265625,0.11627906976744186
RBP1_HUMAN,RBP1_HUMAN_Tsuboyama_2023_2KWH,52,0.2727272727272727,2.4722883701324463,0.17307692307692307
NUSG_MYCTU,NUSG_MYCTU_Tsuboyama_2023_2MI6,55,0.20454545454545456,2.461878776550293,0.14545454545454545
TNKS2_HUMAN,TNKS2_HUMAN_Tsuboyama_2023_5JRT,59,0.2708333333333333,2.461057424545288,0.13559322033898305
RCRO_LAMBD,RCRO_LAMBD_Tsuboyama_2023_1ORC,63,0.23076923076923078,2.499138355255127,0.1111111111111111
SRBS1_HUMAN,SRBS1_HUMAN_Tsuboyama_2023_2O2W,67,0.32142857142857145,2.1860620975494385,0.1044776119402985
ILF3_HUMAN,ILF3_HUMAN_Tsuboyama_2023_2L33,71,0.5083333333333333,1.671363115310669,0.14084507042253522
F7YBW8_MESOW,F7YBW8_MESOW_Ding_2023,93,0.34868421052631576,2.025348424911499,0.13978494623655913
CALM1_HUMAN,CALM1_HUMAN_Weile_2017,149,0.7291666666666666,0.8208865523338318,0.14093959731543623
RASH_HUMAN,RASH_HUMAN_Bandaru_2017,189,0.4967105263157895,1.5706214904785156,0.08465608465608465
RNC_ECOLI,RNC_ECOLI_Weeks_2023,226,0.36141304347826086,1.9207919836044312,0.13716814159292035
P84126_THETH,P84126_THETH_Chan_2017,254,0.38480392156862747,2.0209598541259766,0.16535433070866143
R1AB_SARS2,R1AB_SARS2_Flynn_2022,306,0.0967741935483871,2.9002981185913086,0.09477124183006536
