row_index,protein_hash,seq_len,mean_plddt,ptm,plddt_std,cluster_id,cluster_size,length_bin,size_bin
19028,0000b69a12a3ff3cffcdc42ba6fe05b7,425,0.8915231227874756,0.54877769947052,0.0641838386515421,0000b69a12a3ff3cffcdc42ba6fe05b7,27,250-499,10-99
179108,000aaeb34f05579b903e2d3fc7bd3ae6,437,0.8021443486213684,0.8468164205551147,0.1466036338001628,000aaeb34f05579b903e2d3fc7bd3ae6,19,250-499,10-99
118261,0006d8c5908c051596e099c414f166ea,320,0.8079090118408203,0.6131695508956909,0.1437264680531613,0006d8c5908c051596e099c414f166ea,11,250-499,10-99
187657,000af422dac585915f5002b1cad35a33,267,0.9101331233978271,0.9170854687690736,0.1115320241032959,000af422dac585915f5002b1cad35a33,10,250-499,10-99
239053,000e4e68683595698cffa1f005c4fb4b,424,0.8062096238136292,0.7963013648986816,0.2251197358336617,000e4e68683595698cffa1f005c4fb4b,232,250-499,100+
258640,000f13c6f58d74843f6a30754f1cfff8,371,0.8282323479652405,0.6232831478118896,0.1063749556262985,000f13c6f58d74843f6a30754f1cfff8,145,250-499,100+
68477,0003c4a164ededc860abcf1b34a2a38e,344,0.8082385659217834,0.7882893681526184,0.1483350117334061,0003c4a164ededc860abcf1b34a2a38e,7,250-499,2-9
38181,0001cf266423eafd748913b9b7cbf532,309,0.8497375845909119,0.8717341423034668,0.1515336927892278,0001cf266423eafd748913b9b7cbf532,2,250-499,2-9
98700,000592cfc032bc57eca2407a4a80782b,384,0.8197537064552307,0.8439911007881165,0.1877220870569236,000592cfc032bc57eca2407a4a80782b,4,250-499,2-9
267450,000f98801f14d2a3bc2ec2f7ca82ec0d,255,0.850946843624115,0.8376280665397644,0.1400425811500605,000f98801f14d2a3bc2ec2f7ca82ec0d,2,250-499,2-9
129446,0007624168d80a981935d1e17f498d59,537,0.8751136660575867,0.8849501013755798,0.147801081591137,0007624168d80a981935d1e17f498d59,27,500-1000,10-99
239915,000df10e64cc358e098e105e2a975fc4,864,0.8107883334159851,0.5864077210426331,0.155008113851558,000df10e64cc358e098e105e2a975fc4,13,500-1000,10-99
49671,0002d09927e3d48595c530b6ec0036b7,634,0.8487907648086548,0.726259708404541,0.1347372596027562,0002d09927e3d48595c530b6ec0036b7,11,500-1000,10-99
149406,00089fcc0b2b225c011588b3abc44568,520,0.8087729215621948,0.6004062294960022,0.148401517587644,00089fcc0b2b225c011588b3abc44568,37,500-1000,10-99
289616,0010bc2d3b732cb8cf2ee958d9f1da56,601,0.8373922109603882,0.7533560395240784,0.1429004171338142,0010bc2d3b732cb8cf2ee958d9f1da56,330,500-1000,100+
19984,0000f862dcf45cedbb6444b6f5220497,977,0.8126215934753418,0.7728445529937744,0.0993660450145508,0000f862dcf45cedbb6444b6f5220497,152,500-1000,100+
229963,000d896269fd08896da36b0b92c0dbab,917,0.881016731262207,0.6724757552146912,0.0744635118845602,000d896269fd08896da36b0b92c0dbab,104,500-1000,100+
319655,001288fbb63b3177ad49fd5c43894cbd,618,0.8197025656700134,0.7454599142074585,0.1577604694761254,001288fbb63b3177ad49fd5c43894cbd,5,500-1000,2-9
149857,000862eba86b9adf8285d4e1b362824f,781,0.8264627456665039,0.7852464318275452,0.164772530692805,000862eba86b9adf8285d4e1b362824f,7,500-1000,2-9
249932,000e9df6dbbf176492231b678a61b341,863,0.8025952577590942,0.6063161492347717,0.1421951083284333,000e9df6dbbf176492231b678a61b341,3,500-1000,2-9
259396,000f1f650724fed3c883ab48028f0414,524,0.8210340738296509,0.8612231612205505,0.1776756029124017,000f1f650724fed3c883ab48028f0414,2,500-1000,2-9
26967,0001337b463bde1b5240fc4e7308faf8,227,0.8130307197570801,0.8204077482223511,0.2025388072519194,0001337b463bde1b5240fc4e7308faf8,12,60-249,10-99
4712,0000854290d826d1db3d3610c91dd475,146,0.8291103839874268,0.7766119241714478,0.1181932971952513,0000854290d826d1db3d3610c91dd475,17,60-249,10-99
126079,00073cb2e192799b669b86a91c98a0fe,189,0.8000956773757935,0.7494950890541077,0.1427364022505879,00073cb2e192799b669b86a91c98a0fe,14,60-249,10-99
146526,000863aaded25d120a6974f7e5f34fc1,203,0.8612387776374817,0.8800821900367737,0.1446854501952196,000863aaded25d120a6974f7e5f34fc1,13,60-249,10-99
225120,000d7644a0b88ea39359a36ed6291750,157,0.824004054069519,0.7364441752433777,0.1591218051976251,000d7644a0b88ea39359a36ed6291750,4,60-249,2-9
43359,0002e0ba59d9d9baf8a56f3967b9fc44,111,0.8847180008888245,0.8368154168128967,0.0623598176110722,0002e0ba59d9d9baf8a56f3967b9fc44,2,60-249,2-9
277208,0010a3989ed043e308255f3d92267050,239,0.82492595911026,0.8186205625534058,0.1690301761918552,0010a3989ed043e308255f3d92267050,5,60-249,2-9
286915,0010d1f3ccd8bd10e603a380fcd55cf7,222,0.8720004558563232,0.8721644282341003,0.1192790492332997,0010d1f3ccd8bd10e603a380fcd55cf7,4,60-249,2-9
