entry_id,struct_cluster_id,seq_len,mean_plddt,ptm,reason
01ae33b7e95f589a38bfcf42beb8d6a0,0000854290d826d1db3d3610c91dd475,142,0.7647542953491211,0.699417769908905,quality_or_length
02945649266dd82d251d60d7f3c3dcdc,00089fcc0b2b225c011588b3abc44568,306,0.7826833128929138,0.7146540880203247,quality_or_length
034fec59e95ae8a66611aefac7586c24,0000f862dcf45cedbb6444b6f5220497,206,0.7947641015052795,0.6235496401786804,quality_or_length
07fa6ef1815f883e2a55df545cc83827,001288fbb63b3177ad49fd5c43894cbd,552,0.766111433506012,0.6214691996574402,quality_or_length
14cca1705dbed9b9d51f4c45ae428736,000df10e64cc358e098e105e2a975fc4,137,0.7780231833457947,0.5147194862365723,quality_or_length
16b138df31ac2ab2b7cbc2a74ed53efb,000863aaded25d120a6974f7e5f34fc1,153,0.7151037454605103,0.7373567819595337,quality_or_length
199360dc17b899dccabf1d1ab2957948,0000f862dcf45cedbb6444b6f5220497,372,0.799322783946991,0.6093407869338989,quality_or_length
23c51360d271f112e5dc0d153539f479,00089fcc0b2b225c011588b3abc44568,174,0.7693168520927429,0.719423770904541,quality_or_length
3de1143d7e4164e4e80bb616fdfd0a6e,0000b69a12a3ff3cffcdc42ba6fe05b7,127,0.7649458050727844,0.7371169924736023,quality_or_length
4177f1911fe2b1d325d36b79418665af,0000f862dcf45cedbb6444b6f5220497,362,0.725335419178009,0.5800843834877014,quality_or_length
45e481197364093a2b601e5efd6ed57e,001288fbb63b3177ad49fd5c43894cbd,120,0.7127929329872131,0.6177529692649841,quality_or_length
46b7d7a3a333629efb653c16d7b2af38,0000854290d826d1db3d3610c91dd475,144,0.7881743907928467,0.7415673732757568,quality_or_length
4745c4cea06f2636d25bce8ded6d680a,0000f862dcf45cedbb6444b6f5220497,201,0.7573696970939636,0.5342119336128235,quality_or_length
4826392a4fbff0daa62baf0317b04e7f,000df10e64cc358e098e105e2a975fc4,136,0.7864673733711243,0.8136307001113892,quality_or_length
4a154c4330d9e83415af072d5828524e,0006d8c5908c051596e099c414f166ea,159,0.7628611326217651,0.5238475203514099,quality_or_length
4d7d738d4f692c68c2e731a0d92e2bb8,0006d8c5908c051596e099c414f166ea,181,0.7800694108009338,0.5678814649581909,quality_or_length
4dd3d7e8a01abb54c27681b8a9362343,000df10e64cc358e098e105e2a975fc4,186,0.782712459564209,0.5249348878860474,quality_or_length
