stem,length,condition,quality_pass,sequence_excluded,structure_excluded,fine_cluster,selected
proteina-e1ec54c0ec8203db717c,200,2.x.x.x,False,False,False,,False
proteina-17979e186f9368ace979,200,2.x.x.x,False,False,False,,False
proteina-576748298db4d04a7021,200,2.x.x.x,True,False,False,proteina-576748298db4d04a7021,True
proteina-041b006925c27cf22038,200,2.x.x.x,True,False,True,,False
proteina-d432f85f011c68e87c94,200,2.x.x.x,False,False,False,,False
proteina-78465bcddc313aca606c,200,2.x.x.x,False,False,False,,False
proteina-4bd2481314210ed8594a,200,2.x.x.x,False,False,False,,False
proteina-618c267be8d3547448c8,200,2.x.x.x,False,False,False,,False
proteina-571e38153dae972bc83a,200,2.x.x.x,True,False,False,proteina-571e38153dae972bc83a,True
proteina-cb167db30c787e153182,200,2.x.x.x,True,False,False,proteina-cb167db30c787e153182,True
proteina-d324d64af6fe3ce0e3d7,200,2.x.x.x,True,False,False,proteina-d324d64af6fe3ce0e3d7,True
proteina-e2c83a9306a5297627d2,200,2.x.x.x,True,True,False,,False
proteina-0a6f0119a80e20a861a2,200,2.x.x.x,False,False,False,,False
proteina-26d1c94e4a580130c8d9,200,2.x.x.x,True,False,False,proteina-26d1c94e4a580130c8d9,True
proteina-b4b5d10bc6a0f7ef9821,200,2.x.x.x,False,False,False,,False
proteina-b8965cc8c74ddabdb6bc,200,2.x.x.x,True,False,False,proteina-b8965cc8c74ddabdb6bc,True
proteina-6381ff6fa4ffd984fe08,200,2.x.x.x,True,False,False,proteina-6381ff6fa4ffd984fe08,True
proteina-dc76334286d18ab978a4,200,2.x.x.x,False,False,False,,False
proteina-314bebb7c074878bd09a,200,2.x.x.x,True,False,False,proteina-314bebb7c074878bd09a,True
proteina-a88d9588649f88cb8f1e,200,2.x.x.x,False,False,False,,False
proteina-4f6787a127695aee4698,200,2.x.x.x,False,False,False,,False
proteina-d28b72ae6fb03992d273,200,2.x.x.x,False,True,False,,False
proteina-06e160028e801b86c590,200,2.x.x.x,False,True,False,,False
proteina-e42453612d6e9a041b92,200,2.x.x.x,False,False,False,,False
proteina-fa64560802395add02cf,200,2.x.x.x,True,False,False,proteina-fa64560802395add02cf,True
proteina-172c753b1d36a2ebf56a,200,2.x.x.x,True,False,False,proteina-172c753b1d36a2ebf56a,True
proteina-6755f51843716c41bdef,200,2.x.x.x,False,False,False,,False
proteina-aaaf59a6b16614b0c9fc,200,2.x.x.x,True,False,False,proteina-aaaf59a6b16614b0c9fc,True
proteina-763bcb8e5403dd2161d8,200,2.x.x.x,True,False,False,proteina-763bcb8e5403dd2161d8,True
proteina-c56ce7106006fe0731ff,200,2.x.x.x,True,False,False,proteina-c56ce7106006fe0731ff,True
proteina-f135eee1ebcd0ccc8997,200,2.x.x.x,False,False,False,,False
proteina-c538e663198d74c2ad09,200,2.x.x.x,False,True,False,,False
proteina-2dfd88e03eb6c68fcd3f,200,3.x.x.x,True,False,False,proteina-2dfd88e03eb6c68fcd3f,True
proteina-233644ef8f70d897f715,200,3.x.x.x,False,False,False,,False
proteina-0e49a7a55af103e5ea23,200,3.x.x.x,True,False,False,proteina-0e49a7a55af103e5ea23,True
proteina-22f6af284762e7cf43aa,200,3.x.x.x,True,True,False,,False
proteina-702598c0a123467700ad,200,3.x.x.x,False,False,False,,False
proteina-3e99f12164ead7efbe6a,200,3.x.x.x,True,True,False,,False
proteina-f0204eddb7f0c40f260e,200,3.x.x.x,False,False,False,,False
proteina-6e971bc50e0e5a009ce8,200,3.x.x.x,True,False,False,proteina-6e971bc50e0e5a009ce8,True
proteina-22358f5912a20e9bd3f5,200,3.x.x.x,False,False,False,,False
proteina-04fa9b5a285c064f7097,200,3.x.x.x,True,False,False,proteina-04fa9b5a285c064f7097,True
proteina-38d61fb76f96367a2feb,200,3.x.x.x,True,False,False,proteina-38d61fb76f96367a2feb,True
proteina-989e96969511276812d8,200,3.x.x.x,True,False,False,proteina-989e96969511276812d8,True
proteina-2a2038acf39ad0fc08e9,200,3.x.x.x,True,False,False,proteina-2a2038acf39ad0fc08e9,True
proteina-66da33c6ca10f56e4a92,200,3.x.x.x,True,False,False,proteina-66da33c6ca10f56e4a92,True
proteina-d628ebd15a9c59ae7504,200,3.x.x.x,False,False,False,,False
proteina-96eabe85c9d8378124ce,200,3.x.x.x,False,False,False,,False
proteina-906defdcf247586a15c5,200,3.x.x.x,False,False,False,,False
proteina-31e4efcd8c639f4053fb,200,3.x.x.x,True,False,False,proteina-31e4efcd8c639f4053fb,True
proteina-f8cc68a9ff742f5e7ccb,200,3.x.x.x,False,False,False,,False
proteina-b1eb8b4cd63bcc8ab02d,200,3.x.x.x,True,True,False,,False
proteina-d307f2696a02fc2413d6,200,3.x.x.x,False,False,False,,False
proteina-7728c7575d568cc5cec6,200,3.x.x.x,True,False,False,proteina-7728c7575d568cc5cec6,True
proteina-47f320f867a31e17b69b,200,3.x.x.x,True,False,False,proteina-47f320f867a31e17b69b,True
proteina-76fdb4719897abd6c141,200,3.x.x.x,True,True,False,,False
proteina-8139261fa0629e424638,200,3.x.x.x,True,False,False,proteina-8139261fa0629e424638,True
proteina-d3f07dea811f4d53b36b,200,3.x.x.x,False,False,False,,False
proteina-382161c7bb3e16b9e246,200,3.x.x.x,True,True,False,,False
proteina-52aee6f853d8ec8afc32,200,3.x.x.x,True,False,False,proteina-52aee6f853d8ec8afc32,True
proteina-ec940a9685fec56006af,200,3.x.x.x,True,True,False,,False
proteina-91555f96dea13d20cec8,200,3.x.x.x,True,True,False,,False
proteina-861b9fdbca57645cd44d,200,3.x.x.x,True,False,False,proteina-861b9fdbca57645cd44d,True
proteina-3862902853221eb31cef,200,3.x.x.x,False,False,False,,False
proteina-d3b5590f2a8203c84b0a,200,1.x.x.x,True,True,False,,False
proteina-ed7768df2891f2b4b118,200,1.x.x.x,True,False,False,proteina-ed7768df2891f2b4b118,True
proteina-11a65a2f8f5c107d831f,200,1.x.x.x,False,True,False,,False
proteina-a40833f526e8cc79a7a4,200,1.x.x.x,False,True,False,,False
proteina-171ced4e2c0eacbea377,200,1.x.x.x,False,True,False,,False
proteina-702bcdbb7503e8f4f6c5,200,1.x.x.x,True,False,False,proteina-702bcdbb7503e8f4f6c5,True
