query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm
proteina-028058dc1730e8a6623a,A0A1I1AYG7,5.256E-01,4.884E-01,0.710,0.748,4.823E-01,proteina-028058dc1730e8a6623a,0.4884
proteina-61dc5f0151af2df32a23,A0A521GZI5,6.091E-01,6.065E-01,1.000,0.970,5.779E-01,proteina-61dc5f0151af2df32a23,0.6065
proteina-8ec885c80f3d3bcc4ecb,A0A158AHL5,6.683E-01,6.805E-01,0.925,0.872,6.515E-01,proteina-8ec885c80f3d3bcc4ecb,0.6683
proteina-e2fe4b79ca52de658e2b,A0A7C5UJ77,8.597E-01,9.073E-01,0.985,0.979,8.674E-01,proteina-e2fe4b79ca52de658e2b,0.8597
proteina-38d61fb76f96367a2feb,A0A4V2EI24,4.180E-01,4.552E-01,0.905,0.983,4.110E-01,proteina-38d61fb76f96367a2feb,0.418
proteina-7067a0d33592ff399be7,A0A521VUV3,7.512E-01,8.339E-01,0.925,0.922,7.755E-01,proteina-7067a0d33592ff399be7,0.7512
proteina-b18f8fe2db98c1268264,A0A355UP27,8.690E-01,8.568E-01,1.000,0.931,8.473E-01,proteina-b18f8fe2db98c1268264,0.8568
proteina-f08ef850110c5a20fead,A0A7C1NL43,6.708E-01,7.009E-01,0.850,0.937,6.507E-01,proteina-f08ef850110c5a20fead,0.6708
proteina-2dfd88e03eb6c68fcd3f,A0A2K9JVG7,5.306E-01,5.115E-01,0.995,0.919,4.851E-01,proteina-2dfd88e03eb6c68fcd3f,0.5115
proteina-5db023867490eb019f8d,A0A0H3XMF1,6.839E-01,7.997E-01,0.810,0.988,7.130E-01,proteina-5db023867490eb019f8d,0.6839
proteina-98ef2f5b066943c6767a,A0A7C6XR78,6.960E-01,6.960E-01,1.000,0.965,6.626E-01,proteina-98ef2f5b066943c6767a,0.696
proteina-ea4d68b38ef4b3e012e9,Q5D9C0,4.224E-01,4.892E-01,0.915,0.892,4.265E-01,proteina-ea4d68b38ef4b3e012e9,0.4224
proteina-22358f5912a20e9bd3f5,A0A656H381,6.736E-01,6.765E-01,0.995,0.940,6.394E-01,proteina-22358f5912a20e9bd3f5,0.6736
proteina-6381ff6fa4ffd984fe08,A0A0J5H0G8,3.942E-01,3.735E-01,0.785,0.953,3.573E-01,proteina-6381ff6fa4ffd984fe08,0.3735
proteina-99f61f8dffa18d390921,Q3RGW8,8.189E-01,8.308E-01,0.925,1.000,8.113E-01,proteina-99f61f8dffa18d390921,0.8189
proteina-d324d64af6fe3ce0e3d7,A0A812WI37,7.351E-01,7.101E-01,0.960,1.000,6.916E-01,proteina-d324d64af6fe3ce0e3d7,0.7101
proteina-0de045222536c1cc519a,A0A2A4NGG9,4.808E-01,4.788E-01,0.880,0.866,4.590E-01,proteina-0de045222536c1cc519a,0.4788
proteina-3190e0b3bfceb2168333,A0A813JBW0,5.992E-01,5.775E-01,1.000,0.928,5.544E-01,proteina-3190e0b3bfceb2168333,0.5775
proteina-763ba05c8bda95bf93f4,A0A4P1AXC6,4.675E-01,5.186E-01,0.895,0.881,4.661E-01,proteina-763ba05c8bda95bf93f4,0.4675
proteina-bb57fde6519498e67524,A0A662TGK6,3.924E-01,3.877E-01,0.940,0.729,3.631E-01,proteina-bb57fde6519498e67524,0.3877
proteina-8c050682c3bf078634f4,A0A7S2S8M7,4.863E-01,4.707E-01,0.845,0.909,4.522E-01,proteina-8c050682c3bf078634f4,0.4707
proteina-d43a743136a18933a151,A0A843DS45,6.980E-01,7.042E-01,0.955,0.960,6.710E-01,proteina-d43a743136a18933a151,0.698
proteina-257a3310954901ab529c,A0A810LX98,5.598E-01,5.822E-01,1.000,0.822,5.413E-01,proteina-257a3310954901ab529c,0.5598
proteina-6ea31ef533523f64c097,A0A212RYY4,6.336E-01,6.961E-01,0.915,1.000,6.282E-01,proteina-6ea31ef533523f64c097,0.6336
proteina-a77de2bc280c49e382ed,A0A1F7XT59,4.801E-01,4.819E-01,0.935,0.915,4.422E-01,proteina-a77de2bc280c49e382ed,0.4801
proteina-d830edd7b0360aec6399,A0A3D5X673,4.915E-01,4.893E-01,0.940,0.741,4.732E-01,proteina-d830edd7b0360aec6399,0.4893
proteina-16e2038298dd967817d6,A0A3G6RPM7,5.425E-01,5.403E-01,0.945,0.925,5.040E-01,proteina-16e2038298dd967817d6,0.5403
proteina-5f2bc5862d229786def5,A0A6A5BWL1,5.686E-01,5.686E-01,1.000,0.840,5.313E-01,proteina-5f2bc5862d229786def5,0.5686
proteina-9e68d7f3203a62f7f79a,A0A549YJL4,5.422E-01,4.878E-01,0.900,0.898,4.906E-01,proteina-9e68d7f3203a62f7f79a,0.4878
proteina-d628ebd15a9c59ae7504,A0A7M1VMK9,5.237E-01,5.214E-01,0.890,0.886,4.910E-01,proteina-d628ebd15a9c59ae7504,0.5214
proteina-9664e930bf11d40435b3,A0A5C8M9P5,6.611E-01,6.416E-01,0.855,0.874,6.214E-01,proteina-9664e930bf11d40435b3,0.6416
proteina-d28b72ae6fb03992d273,A0A356AD40,6.507E-01,6.977E-01,0.850,0.989,6.487E-01,proteina-d28b72ae6fb03992d273,0.6507
proteina-1f2be0809d24d51331ba,J9EZ25,7.662E-01,7.955E-01,0.925,1.000,7.569E-01,proteina-1f2be0809d24d51331ba,0.7662
proteina-7032710eab91233236f0,A0A174R1Q8,4.215E-01,4.468E-01,0.940,0.726,4.038E-01,proteina-7032710eab91233236f0,0.4215
proteina-989e96969511276812d8,B3QX35,5.515E-01,5.447E-01,0.830,0.946,5.166E-01,proteina-989e96969511276812d8,0.5447
proteina-06deeea1c0b6da46d809,A0A5J5V5Q8,5.186E-01,5.166E-01,0.990,0.856,4.782E-01,proteina-06deeea1c0b6da46d809,0.5166
proteina-4bd2481314210ed8594a,A0A4Q8ULN4,4.313E-01,4.788E-01,0.685,0.774,4.319E-01,proteina-4bd2481314210ed8594a,0.4313
proteina-702bcdbb7503e8f4f6c5,A0A4V2MK82,5.496E-01,5.962E-01,1.000,0.890,5.387E-01,proteina-702bcdbb7503e8f4f6c5,0.5496
proteina-a5bb4dbf50d6e1c6c8a5,A0A2T9ZAA2,7.515E-01,7.722E-01,0.955,0.943,7.319E-01,proteina-a5bb4dbf50d6e1c6c8a5,0.7515
proteina-06e160028e801b86c590,A0A2T9ZAA2,6.690E-01,6.857E-01,0.965,0.995,6.331E-01,proteina-06e160028e801b86c590,0.669
proteina-f41537130b3d45282047,A0A7Y2W2U3,3.948E-01,4.406E-01,0.985,0.942,3.821E-01,proteina-f41537130b3d45282047,0.3948
proteina-158c7b6a2551c0e4414f,A0A0M0X3Y4,5.807E-01,6.345E-01,0.900,0.955,5.642E-01,proteina-158c7b6a2551c0e4414f,0.5807
proteina-4373d43eec52d716f3e7,A0A2W5YZS9,6.150E-01,6.658E-01,0.980,0.923,6.155E-01,proteina-4373d43eec52d716f3e7,0.615
proteina-91555f96dea13d20cec8,A0A1Z4KUT0,4.391E-01,4.355E-01,0.880,0.955,4.095E-01,proteina-91555f96dea13d20cec8,0.4355
proteina-bd30db90a9e24c1cbd02,A0A7W1KNZ5,5.063E-01,5.043E-01,0.960,0.990,4.697E-01,proteina-bd30db90a9e24c1cbd02,0.5043
proteina-0a6f0119a80e20a861a2,X6MNV5,7.093E-01,7.226E-01,0.915,0.913,6.958E-01,proteina-0a6f0119a80e20a861a2,0.7093
proteina-47f8bbde2b4a41970260,A0A1M6YU49,6.031E-01,5.955E-01,0.815,0.852,5.686E-01,proteina-47f8bbde2b4a41970260,0.5955
proteina-8ddc0a11057ecdaa1498,A0A7X3K5V6,6.314E-01,6.429E-01,0.995,0.985,6.124E-01,proteina-8ddc0a11057ecdaa1498,0.6314
proteina-c59f07d0618f520ac3f5,A0A2N9EFP1,5.066E-01,5.316E-01,0.995,0.856,4.786E-01,proteina-c59f07d0618f520ac3f5,0.5066
proteina-04fa9b5a285c064f7097,A0A1F7YYA8,5.250E-01,5.516E-01,0.910,0.847,5.135E-01,proteina-04fa9b5a285c064f7097,0.525
proteina-6adff04ea07eeee1f52a,A0A7S1BRZ3,4.126E-01,4.141E-01,0.985,0.834,3.847E-01,proteina-6adff04ea07eeee1f52a,0.4126
proteina-a40833f526e8cc79a7a4,A0A7J7II47,6.994E-01,6.994E-01,0.850,0.915,6.811E-01,proteina-a40833f526e8cc79a7a4,0.6994
proteina-e6880750b011a9315229,A0A0Q4FNQ0,6.091E-01,6.728E-01,0.820,0.955,6.069E-01,proteina-e6880750b011a9315229,0.6091
proteina-11a65a2f8f5c107d831f,A0A2S2C6H5,6.115E-01,6.061E-01,0.970,0.752,5.848E-01,proteina-11a65a2f8f5c107d831f,0.6061
proteina-68e74ab46c73f54cbadc,A0A800DHK5,5.921E-01,6.092E-01,0.945,0.938,5.613E-01,proteina-68e74ab46c73f54cbadc,0.5921
proteina-a049ff7beda3e31acf88,A0A7X8Q373,6.216E-01,6.271E-01,0.855,0.919,5.954E-01,proteina-a049ff7beda3e31acf88,0.6216
proteina-f0bae0d0fdaba3509bdc,A0A0S2DB07,6.579E-01,6.781E-01,1.000,0.959,6.337E-01,proteina-f0bae0d0fdaba3509bdc,0.6579
proteina-42eee874c6d30055a8c9,A0A2V7R1H3,5.565E-01,5.747E-01,0.890,0.932,5.237E-01,proteina-42eee874c6d30055a8c9,0.5565
proteina-68d753c8bbf25c2e20df,A0A7R9MXJ6,4.640E-01,4.640E-01,0.880,0.985,4.469E-01,proteina-68d753c8bbf25c2e20df,0.464
proteina-99649c63bf3afe37aeeb,A0A521GZI5,4.699E-01,4.679E-01,0.780,0.955,4.440E-01,proteina-99649c63bf3afe37aeeb,0.4679
proteina-55e5946ba75950c3836c,A0A484MFN0,6.319E-01,5.954E-01,0.840,0.846,5.873E-01,proteina-55e5946ba75950c3836c,0.5954
proteina-948d65907e9466019609,A0A537HFD7,5.891E-01,7.345E-01,0.780,0.987,6.278E-01,proteina-948d65907e9466019609,0.5891
proteina-de37ed0a733250f2b16e,A0A2U1WUW9,5.705E-01,5.992E-01,0.745,0.974,5.600E-01,proteina-de37ed0a733250f2b16e,0.5705
proteina-0e4b80b67281e38c1b76,A0A4R7TJ97,4.591E-01,4.497E-01,0.945,0.849,4.257E-01,proteina-0e4b80b67281e38c1b76,0.4497
proteina-76fb66a20a4e59825b0a,A0A7G2F7X0,4.172E-01,4.672E-01,0.915,0.920,4.141E-01,proteina-76fb66a20a4e59825b0a,0.4172
