stem,length,previous_quality_pass,quality_pass,previous_chain_breaks,ca_chain_breaks,cis_proline_bonds,elapsed_cpu_seconds
proteina-e1ec54c0ec8203db717c,200,False,True,1,0,1,0.5147263370454311
proteina-17979e186f9368ace979,200,False,False,0,0,0,0.0036955438554286957
proteina-576748298db4d04a7021,200,True,True,0,0,0,0.003193040145561099
proteina-041b006925c27cf22038,200,True,True,0,0,0,0.003131263889372349
proteina-d432f85f011c68e87c94,200,False,False,0,0,0,0.0031193720642477274
proteina-78465bcddc313aca606c,200,False,False,0,0,0,0.0030968000646680593
proteina-4bd2481314210ed8594a,200,False,False,0,0,0,0.003101909998804331
proteina-618c267be8d3547448c8,200,False,False,0,0,0,0.0030370878521353006
proteina-571e38153dae972bc83a,200,True,True,0,0,0,0.003192128846421838
proteina-cb167db30c787e153182,200,True,True,0,0,0,0.0032263528555631638
proteina-d324d64af6fe3ce0e3d7,200,True,True,0,0,0,0.0031711391638964415
proteina-e2c83a9306a5297627d2,200,True,True,0,0,0,0.003168043913319707
proteina-0a6f0119a80e20a861a2,200,False,False,0,0,0,0.0030946251936256886
proteina-26d1c94e4a580130c8d9,200,True,True,0,0,0,0.0031784228049218655
proteina-b4b5d10bc6a0f7ef9821,200,False,False,0,0,0,0.0030714119784533978
proteina-b8965cc8c74ddabdb6bc,200,True,True,0,0,0,0.003172022057697177
proteina-6381ff6fa4ffd984fe08,200,True,True,0,0,0,0.0031739240512251854
proteina-dc76334286d18ab978a4,200,False,False,0,0,0,0.0031054960563778877
proteina-314bebb7c074878bd09a,200,True,True,0,0,0,0.0031752982176840305
proteina-a88d9588649f88cb8f1e,200,False,False,0,0,0,0.003113561077043414
proteina-4f6787a127695aee4698,200,False,False,0,0,0,0.0030843059066683054
proteina-d28b72ae6fb03992d273,200,False,False,0,0,0,0.0031171489972621202
proteina-06e160028e801b86c590,200,False,False,0,0,0,0.003097331151366234
proteina-e42453612d6e9a041b92,200,False,False,0,0,0,0.0030602409970015287
proteina-fa64560802395add02cf,200,True,True,0,0,0,0.003162492997944355
proteina-172c753b1d36a2ebf56a,200,True,True,0,0,0,0.0032066970597952604
proteina-6755f51843716c41bdef,200,False,True,1,0,1,0.23549068183638155
proteina-aaaf59a6b16614b0c9fc,200,True,True,0,0,0,0.0035857870243489742
proteina-763bcb8e5403dd2161d8,200,True,True,0,0,0,0.003175576915964484
proteina-c56ce7106006fe0731ff,200,True,True,0,0,0,0.003202008083462715
proteina-f135eee1ebcd0ccc8997,200,False,False,0,0,0,0.0031209448352456093
proteina-c538e663198d74c2ad09,200,False,False,1,0,1,0.00310633797198534
proteina-2dfd88e03eb6c68fcd3f,200,True,True,0,0,0,0.004266254836693406
proteina-233644ef8f70d897f715,200,False,False,0,0,0,0.003911366919055581
proteina-0e49a7a55af103e5ea23,200,True,True,0,0,0,0.003953586798161268
proteina-22f6af284762e7cf43aa,200,True,True,0,0,0,0.00397075992077589
proteina-702598c0a123467700ad,200,False,False,0,0,0,0.0038523871917277575
proteina-3e99f12164ead7efbe6a,200,True,True,0,0,0,0.003959478111937642
proteina-f0204eddb7f0c40f260e,200,False,False,0,0,0,0.0038397640455514193
proteina-6e971bc50e0e5a009ce8,200,True,True,0,0,0,0.0036383860278874636
proteina-22358f5912a20e9bd3f5,200,False,False,0,0,0,0.0030910889618098736
proteina-04fa9b5a285c064f7097,200,True,True,0,0,0,0.0031757589895278215
proteina-38d61fb76f96367a2feb,200,True,True,0,0,0,0.0031533960718661547
proteina-989e96969511276812d8,200,True,True,0,0,0,0.0032059040386229753
proteina-2a2038acf39ad0fc08e9,200,True,True,0,0,0,0.0031768300104886293
proteina-66da33c6ca10f56e4a92,200,True,True,0,0,0,0.003184935078024864
proteina-d628ebd15a9c59ae7504,200,False,False,0,0,0,0.0031309640035033226
proteina-96eabe85c9d8378124ce,200,False,False,0,0,0,0.003103903029114008
proteina-906defdcf247586a15c5,200,False,False,0,0,0,0.003128129057586193
proteina-31e4efcd8c639f4053fb,200,True,True,0,0,0,0.003170907963067293
proteina-f8cc68a9ff742f5e7ccb,200,False,False,0,0,0,0.003098523011431098
proteina-b1eb8b4cd63bcc8ab02d,200,True,True,0,0,0,0.003175809048116207
proteina-d307f2696a02fc2413d6,200,False,False,0,0,0,0.003097411012277007
proteina-7728c7575d568cc5cec6,200,True,True,0,0,0,0.0031853460241109133
proteina-47f320f867a31e17b69b,200,True,True,0,0,0,0.003175287041813135
proteina-76fdb4719897abd6c141,200,True,True,0,0,0,0.0031728330068290234
proteina-8139261fa0629e424638,200,True,True,0,0,0,0.0031695968937128782
proteina-d3f07dea811f4d53b36b,200,False,False,0,0,0,0.003098533023148775
proteina-382161c7bb3e16b9e246,200,True,True,0,0,0,0.0031901460606604815
proteina-52aee6f853d8ec8afc32,200,True,True,0,0,0,0.0031837730202823877
proteina-ec940a9685fec56006af,200,True,True,0,0,0,0.0032264927867799997
proteina-91555f96dea13d20cec8,200,True,True,0,0,0,0.0031865581404417753
proteina-861b9fdbca57645cd44d,200,True,True,0,0,0,0.003169185947626829
proteina-3862902853221eb31cef,200,False,False,0,0,0,0.003112519858404994
proteina-d3b5590f2a8203c84b0a,200,True,True,0,0,0,0.0042954490054398775
proteina-ed7768df2891f2b4b118,200,True,True,0,0,0,0.004009561846032739
proteina-11a65a2f8f5c107d831f,200,False,True,1,0,1,0.38667623698711395
proteina-a40833f526e8cc79a7a4,200,False,False,0,0,0,0.0033838788513094187
proteina-171ced4e2c0eacbea377,200,False,False,0,0,0,0.003114934079349041
proteina-702bcdbb7503e8f4f6c5,200,True,True,0,0,0,0.003217156045138836
proteina-a91f2239512888c329d6,200,True,True,0,0,0,0.003162484150379896
proteina-9056b41be8af642dbd9a,200,True,True,0,0,0,0.0031885921489447355
proteina-cc1566584e1d4cbb4610,200,True,True,0,0,0,0.003182280110195279
proteina-763ba05c8bda95bf93f4,200,True,True,0,0,0,0.0031682539265602827
proteina-1ed6d51ebbe075b9b2aa,200,True,True,0,0,0,0.003194824093952775
proteina-8ec885c80f3d3bcc4ecb,200,True,True,0,0,0,0.003166340058669448
proteina-485189ed852a0c0b8af2,200,True,True,0,0,0,0.0031772709917277098
proteina-f62b664f99c90cbe8304,200,True,True,0,0,0,0.003171189920976758
proteina-47f8bbde2b4a41970260,200,True,True,0,0,0,0.0032027079723775387
proteina-0de045222536c1cc519a,200,False,False,0,0,0,0.003116477048024535
proteina-bd30db90a9e24c1cbd02,200,True,True,0,0,0,0.0031807180494070053
proteina-8a8d443dd96f32584fe7,200,True,True,0,0,0,0.003191547002643347
proteina-948d65907e9466019609,200,True,True,0,0,0,0.0031643470283597708
proteina-de37ed0a733250f2b16e,200,True,True,0,0,0,0.0031943030189722776
proteina-b9aadf91707eb79d4a51,200,True,True,0,0,0,0.0031605998519808054
proteina-2526988ee29b70047d8d,200,True,True,0,0,0,0.0031764390878379345
proteina-e8a9421147aaf693686f,200,False,False,0,0,0,0.003093783976510167
proteina-8c1cefb25e2cad51013f,200,True,True,0,0,0,0.0031862978357821703
proteina-8c345cbf0a70392d5a80,200,True,True,0,0,0,0.003160499967634678
proteina-5c6a8ce1359952f71033,200,True,True,0,0,0,0.003163904882967472
proteina-3431595777b5bcb02ea4,200,True,True,0,0,0,0.003202008083462715
proteina-76fb66a20a4e59825b0a,200,False,False,1,0,1,0.0031145839020609856
proteina-4be837c5a301cbea8be1,200,True,True,0,0,0,0.003166371025145054
proteina-96c1d9b15cc96fd88d66,200,False,False,0,0,0,0.0031008680816739798
proteina-0b2763b0c2c9d02afa7f,200,True,True,0,0,0,0.0031459718011319637
proteina-b0bc1290c12878596200,200,False,False,0,0,0,0.0031109971459954977
proteina-f6945803d6d5cfb6a507,200,True,True,0,0,0,0.004308513132855296
proteina-3dc88c36406c5fc125ff,200,True,True,0,0,0,0.004012527177110314
proteina-61dc5f0151af2df32a23,200,False,False,0,0,0,0.003894476918503642
proteina-acb55bfd549696ced70d,200,False,False,0,0,0,0.0038888161070644855
proteina-e9fc7238a8ded0a4c15a,200,True,True,0,0,0,0.004008479882031679
proteina-9341aec71a5de958048d,200,True,True,0,0,0,0.003952586092054844
proteina-6ea31ef533523f64c097,200,True,True,0,0,0,0.003997710067778826
proteina-cefb0b3e592af3afde93,200,True,True,0,0,0,0.003885779995471239
proteina-6adff04ea07eeee1f52a,200,False,False,0,0,0,0.003135432954877615
proteina-ff11535000f63c8f608e,200,True,True,0,0,0,0.003188762115314603
proteina-5f2bc5862d229786def5,200,True,True,0,0,0,0.0031902350019663572
proteina-27ae64c00ce829981954,200,True,True,0,0,0,0.0031809979118406773
proteina-cb8f80b10d1ea077df47,200,True,True,0,0,0,0.0031669321469962597
proteina-257a3310954901ab529c,200,True,True,0,0,0,0.00317759090103209
proteina-1122644a113756c99142,200,False,False,1,0,1,0.0031551991123706102
proteina-dca68e6888218659e5b9,200,True,True,0,0,0,0.0031789850909262896
proteina-26f78a52e80f839e5b05,200,False,False,0,0,0,0.003132607089355588
proteina-e95f2e9fa310063f242a,200,False,False,0,0,0,0.0031075100414454937
proteina-835f53fa251535a9e7de,200,True,True,0,0,0,0.003186176996678114
proteina-0ddabbf6309872c7624f,200,False,False,0,0,0,0.003107780823484063
proteina-267ebedd9942280c9490,200,True,True,0,0,0,0.0031775920651853085
proteina-5af8e84ffd7f29f28cc7,200,False,False,0,0,0,0.003104013856500387
proteina-461b91697cff31158993,200,True,True,0,0,0,0.0032260119915008545
proteina-95aacf0d7f2a2890bd82,200,True,True,0,0,0,0.0032083000987768173
proteina-9664e930bf11d40435b3,200,False,False,0,0,0,0.0031267059966921806
proteina-d3beac20f8919e13bc07,200,False,False,0,0,0,0.0031173480674624443
proteina-68e74ab46c73f54cbadc,200,False,False,0,0,0,0.0031215769704431295
proteina-d684449d0f3df491028e,200,False,False,0,0,0,0.003124822163954377
proteina-6aea52b851c501b5a1ca,200,True,True,0,0,0,0.0031743450090289116
proteina-89f8b6451c4fe2c221dd,200,False,False,1,0,1,0.0031385489273816347
proteina-f7a1ef7e1ffd789a7dd3,200,True,True,0,0,0,0.00318948389030993
proteina-823075bfa3a8d43a0535,200,True,True,0,0,0,0.0031890221871435642
proteina-99a7aa9cf6702cd93c7b,200,False,False,0,0,0,0.0042305379174649715
proteina-028058dc1730e8a6623a,200,True,True,0,0,0,0.0040499079041182995
proteina-4acf531ffae3a381863e,200,True,True,0,0,0,0.003990346100181341
proteina-e6880750b011a9315229,200,True,True,0,0,0,0.003966703079640865
proteina-b1ffaff568d66123c1a0,200,True,True,0,0,0,0.003947836114093661
proteina-e86d23649b78ee5a8de6,200,True,True,0,0,0,0.003946925979107618
proteina-f9f763cebf4e2f9567dc,200,False,False,0,0,0,0.0038803599309176207
proteina-f0bae0d0fdaba3509bdc,200,False,False,0,0,0,0.003884917823597789
proteina-b18f8fe2db98c1268264,200,True,True,0,0,0,0.003463729051873088
proteina-8b3f8ee075d82551b857,200,False,False,0,0,0,0.0031164269894361496
proteina-3ae5149d364d0b33ef43,200,True,True,0,0,0,0.0031806170009076595
proteina-9a37ff06f47dc4354f27,200,False,False,0,0,0,0.0031057470478117466
proteina-06deeea1c0b6da46d809,200,False,False,0,0,0,0.003107640892267227
proteina-d23996a4065d2e148e3d,200,True,True,0,0,0,0.0031940420158207417
proteina-5db023867490eb019f8d,200,True,True,0,0,0,0.0031854358967393637
proteina-37ab2f7a4da9a3e47727,200,True,True,0,0,0,0.003172412049025297
proteina-85aa42a571652fa98eb5,200,True,True,0,0,0,0.0032430249266326427
proteina-158c7b6a2551c0e4414f,200,True,True,0,0,0,0.0031952140852808952
proteina-de5446cfaebcc4738c4f,200,True,True,0,0,0,0.003191668074578047
proteina-35aeda155d7021c3a64d,200,True,True,0,0,0,0.0031717910896986723
proteina-57f3b9c8941ebca83a4b,200,True,True,0,0,0,0.0031864678021520376
proteina-b714dd36b989202def4d,200,False,False,0,0,0,0.003132296958938241
proteina-16e2038298dd967817d6,200,True,True,0,0,0,0.003178674029186368
proteina-f08ef850110c5a20fead,200,True,True,0,0,0,0.0031766798347234726
proteina-074a75a46d3c39adb1df,200,True,True,0,0,0,0.003187640104442835
proteina-cf8ff5268b79f2a838cd,200,True,True,0,0,0,0.003187299007549882
proteina-8ad116fa87210f61e0e0,200,True,True,0,0,0,0.003198761958628893
proteina-46adc4648348fe8a2417,200,True,True,0,0,0,0.003185956971719861
proteina-a77de2bc280c49e382ed,200,True,True,0,0,0,0.0031846349593251944
proteina-23add10539eb77c656e6,200,True,True,0,0,0,0.0031664299312978983
proteina-e183dcd5745b433d8af8,200,True,True,0,0,0,0.003187180031090975
proteina-e030b29b59eb19f8d533,200,True,True,0,0,0,0.0031820691656321287
proteina-8c050682c3bf078634f4,200,True,True,0,0,0,0.004315264988690615
proteina-2fdccf65fda1dd4d346b,200,True,True,0,0,0,0.003997249994426966
proteina-a89db34ae3d3f170d137,200,True,True,0,0,0,0.003983594011515379
proteina-84bf1bfbf571ed9ecb94,200,False,False,0,0,0,0.0038740281015634537
proteina-4373d43eec52d716f3e7,200,True,True,0,0,0,0.003957576118409634
proteina-a049ff7beda3e31acf88,200,False,False,1,0,1,0.0038850088603794575
proteina-76632d1f4aa42ce52873,200,True,True,0,0,0,0.0039594280533492565
proteina-ad1087408b909f69a5cd,200,True,True,0,0,0,0.003964317962527275
proteina-42eee874c6d30055a8c9,200,True,True,0,0,0,0.003850354114547372
