worker,cases_complete,cases_planned,last_write_utc,idle_hours
213,15,18,2026-09-17T01:09:16.823000+00:00,21.09
297,13,18,2026-09-17T00:09:37.032000+00:00,22.08
301,14,18,2026-09-17T01:09:36.276000+00:00,21.08
321,18,19,2026-09-17T22:06:17.561000+00:00,0.14
390,14,18,2026-09-17T01:09:28.549000+00:00,21.08
425,17,18,2026-09-17T22:06:54.177000+00:00,0.13
431,7,18,2026-09-17T00:17:23.722000+00:00,21.95
446,13,18,2026-09-17T22:07:00.510000+00:00,0.12
459,4,18,2026-09-16T20:56:24.739000+00:00,25.3
464,9,18,2026-09-17T01:08:36.296000+00:00,21.1
469,7,18,2026-09-17T00:09:37.650000+00:00,22.08
470,7,18,2026-09-17T00:44:54.024000+00:00,21.49
473,16,18,2026-09-17T22:06:32.735000+00:00,0.13
498,17,18,2026-09-17T22:08:54.279000+00:00,0.09
524,16,18,2026-09-17T22:06:46.604000+00:00,0.13
546,17,18,2026-09-17T22:07:16.113000+00:00,0.12
613,12,18,2026-09-16T20:57:38.146000+00:00,25.28
