worker,cases_complete,cases_planned,last_write_utc,idle_hours
57,17,18,2026-09-17T12:06:23.044000+00:00,0.12
78,11,18,2026-09-17T12:07:43.392000+00:00,0.1
111,17,18,2026-09-17T12:07:46.011000+00:00,0.1
203,16,18,2026-09-17T12:07:32.782000+00:00,0.11
209,12,19,2026-09-17T12:07:10.811000+00:00,0.11
213,15,18,2026-09-17T01:09:16.823000+00:00,11.08
256,11,18,2026-09-17T12:07:38.450000+00:00,0.1
261,12,18,2026-09-17T12:07:16.540000+00:00,0.11
264,11,18,2026-09-17T12:06:30.242000+00:00,0.12
274,17,18,2026-09-17T12:06:02.869000+00:00,0.13
286,16,18,2026-09-17T12:07:44.243000+00:00,0.1
287,14,18,2026-09-17T12:07:09.456000+00:00,0.11
292,16,18,2026-09-17T12:06:28.183000+00:00,0.12
297,13,18,2026-09-17T00:09:37.032000+00:00,12.07
301,14,18,2026-09-17T01:09:36.276000+00:00,11.07
304,15,19,2026-09-17T12:07:03.625000+00:00,0.11
321,7,19,2026-09-17T12:08:46.613000+00:00,0.08
390,14,18,2026-09-17T01:09:28.549000+00:00,11.07
391,15,18,2026-09-17T12:08:31.816000+00:00,0.09
392,11,19,2026-09-17T12:07:24.615000+00:00,0.11
402,13,18,2026-09-17T12:05:51.409000+00:00,0.13
404,8,18,2026-09-17T12:07:42.424000+00:00,0.1
407,9,18,2026-09-17T12:06:55.272000+00:00,0.12
410,15,18,2026-09-17T12:06:51.352000+00:00,0.12
412,8,18,2026-09-17T12:07:22.123000+00:00,0.11
418,13,18,2026-09-17T12:08:12.853000+00:00,0.09
422,11,18,2026-09-17T12:06:31.639000+00:00,0.12
425,7,18,2026-09-17T12:05:50.651000+00:00,0.13
431,7,18,2026-09-17T00:17:23.722000+00:00,11.94
433,14,19,2026-09-17T12:06:30.578000+00:00,0.12
437,14,18,2026-09-17T12:06:02.607000+00:00,0.13
442,16,19,2026-09-17T12:05:56.012000+00:00,0.13
446,3,18,2026-09-17T12:06:24.483000+00:00,0.12
449,14,18,2026-09-17T12:07:52.025000+00:00,0.1
451,17,18,2026-09-17T12:07:50.063000+00:00,0.1
452,14,18,2026-09-17T12:08:19.281000+00:00,0.09
453,14,18,2026-09-17T12:06:48.366000+00:00,0.12
455,11,19,2026-09-17T12:08:31.113000+00:00,0.09
459,4,18,2026-09-16T20:56:24.739000+00:00,15.29
461,10,18,2026-09-17T12:06:47.899000+00:00,0.12
464,9,18,2026-09-17T01:08:36.296000+00:00,11.09
466,12,18,2026-09-17T12:08:39.959000+00:00,0.09
467,14,18,2026-09-17T12:06:22.017000+00:00,0.12
469,7,18,2026-09-17T00:09:37.650000+00:00,12.07
470,7,18,2026-09-17T00:44:54.024000+00:00,11.48
473,6,18,2026-09-17T12:08:21.478000+00:00,0.09
475,17,18,2026-09-17T12:05:55.226000+00:00,0.13
476,10,18,2026-09-17T12:08:50.997000+00:00,0.08
479,16,18,2026-09-17T12:09:14.670000+00:00,0.08
484,12,18,2026-09-17T12:08:15.059000+00:00,0.09
486,16,18,2026-09-17T12:05:48.679000+00:00,0.13
487,17,18,2026-09-17T12:07:56.842000+00:00,0.1
489,8,18,2026-09-17T12:06:15.285000+00:00,0.13
498,6,18,2026-09-17T12:06:54.706000+00:00,0.12
509,12,19,2026-09-17T12:07:51.048000+00:00,0.1
516,13,18,2026-09-17T12:06:08.026000+00:00,0.13
524,6,18,2026-09-17T12:05:59.480000+00:00,0.13
546,7,18,2026-09-17T12:07:45.507000+00:00,0.1
613,12,18,2026-09-16T20:57:38.146000+00:00,15.27
636,17,18,2026-09-17T12:08:05.275000+00:00,0.1
637,14,18,2026-09-17T12:07:16.932000+00:00,0.11
645,13,19,2026-09-17T12:07:40.500000+00:00,0.1
646,13,18,2026-09-17T12:06:55.585000+00:00,0.12
684,16,18,2026-09-17T12:07:55.848000+00:00,0.1
713,17,18,2026-09-17T12:09:00.721000+00:00,0.08
730,13,18,2026-09-17T12:07:09.003000+00:00,0.11
736,10,18,2026-09-17T12:06:11.449000+00:00,0.13
747,17,18,2026-09-17T12:07:00.300000+00:00,0.11
757,8,18,2026-09-17T12:06:26.218000+00:00,0.12
761,12,18,2026-09-17T12:07:32.144000+00:00,0.11
764,18,19,2026-09-17T12:06:50.466000+00:00,0.12
766,10,18,2026-09-17T12:06:51.574000+00:00,0.12
