case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c003572-l349-1.x.x.x,0,349,1.x.x.x,400,400,275,400,1
c000205-l111-1.x.x.x,0,111,1.x.x.x,1088,1088,922,1088,1
c006352-l417-unconditional,0,417,unconditional,144,144,80,144,1
c003411-l344-1.x.x.x,0,344,1.x.x.x,416,416,312,416,1
c011976-l485-unconditional,0,485,unconditional,208,208,114,208,1
c007869-l440-3.x.x.x,0,440,3.x.x.x,256,256,131,256,1
c001551-l266-3.x.x.x,0,266,3.x.x.x,656,656,389,656,1
c007029-l428-1.x.x.x,0,428,1.x.x.x,16,16,12,16,1
c003651-l351-3.x.x.x,0,351,3.x.x.x,384,384,198,384,1
c001412-l258-1.x.x.x,0,258,1.x.x.x,688,688,543,688,1
c002784-l322-3.x.x.x,0,322,3.x.x.x,464,464,248,464,1
c009593-l461-3.x.x.x,0,461,3.x.x.x,224,224,107,224,1
c011859-l483-3.x.x.x,0,483,3.x.x.x,208,208,102,208,1
c003235-l338-2.x.x.x,0,338,2.x.x.x,416,416,254,416,1
c008952-l454-1.x.x.x,0,454,1.x.x.x,240,240,150,240,1
c000968-l224-3.x.x.x,0,224,3.x.x.x,880,880,539,880,1
c004039-l362-3.x.x.x,0,362,3.x.x.x,368,368,183,368,1
c011404-l479-3.x.x.x,0,479,3.x.x.x,208,208,100,208,1
c006124-l413-unconditional,0,413,unconditional,288,288,171,288,1
c003274-l339-3.x.x.x,1,339,3.x.x.x,416,416,224,416,1
c000273-l128-1.x.x.x,1,128,1.x.x.x,1216,1216,1021,1216,1
c006130-l413-unconditional,1,413,unconditional,288,288,171,288,1
c002646-l317-2.x.x.x,1,317,2.x.x.x,480,480,324,480,1
c006753-l424-unconditional,1,424,unconditional,272,272,151,272,1
c003412-l344-1.x.x.x,1,344,1.x.x.x,416,416,298,416,1
c011541-l481-1.x.x.x,1,481,1.x.x.x,208,208,123,208,1
c001012-l228-3.x.x.x,1,228,3.x.x.x,848,848,512,848,1
c008508-l449-unconditional,1,449,unconditional,16,0,0,0,0
c007333-l433-unconditional,2,433,unconditional,256,256,144,256,1
c013848-l500-1.x.x.x,2,500,1.x.x.x,192,192,116,192,1
c004144-l365-3.x.x.x,2,365,3.x.x.x,368,368,185,368,1
c002838-l324-3.x.x.x,2,324,3.x.x.x,464,464,248,464,1
c000214-l113-2.x.x.x,2,113,2.x.x.x,928,928,585,928,1
c007879-l440-3.x.x.x,2,440,3.x.x.x,256,256,110,256,1
c003077-l333-unconditional,2,333,unconditional,256,256,159,256,1
c008568-l449-3.x.x.x,2,449,3.x.x.x,240,240,120,240,1
c003413-l344-1.x.x.x,2,344,1.x.x.x,320,0,0,0,0
c001333-l253-unconditional,3,253,unconditional,704,704,487,704,1
c005842-l407-1.x.x.x,3,407,1.x.x.x,304,304,201,304,1
c012814-l492-1.x.x.x,3,492,1.x.x.x,208,208,117,208,1
c012355-l488-1.x.x.x,3,488,1.x.x.x,208,208,127,208,1
c002359-l306-unconditional,3,306,unconditional,304,304,216,304,1
c011525-l481-unconditional,3,481,unconditional,208,208,103,208,1
c012058-l485-3.x.x.x,3,485,3.x.x.x,208,208,84,208,1
c000934-l221-3.x.x.x,3,221,3.x.x.x,896,896,569,896,1
c008586-l450-unconditional,3,450,unconditional,240,240,135,240,1
c005117-l390-3.x.x.x,3,390,3.x.x.x,144,144,66,144,1
c004145-l365-3.x.x.x,3,365,3.x.x.x,368,368,182,368,1
c013849-l500-1.x.x.x,3,500,1.x.x.x,192,192,111,192,1
c007334-l433-unconditional,3,433,unconditional,96,0,0,0,0
c008587-l450-unconditional,4,450,unconditional,240,240,127,240,1
c000723-l198-1.x.x.x,4,198,1.x.x.x,640,640,507,640,1
c007335-l433-unconditional,4,433,unconditional,256,256,152,256,1
c005693-l404-unconditional,4,404,unconditional,304,304,189,304,1
c000935-l221-3.x.x.x,4,221,3.x.x.x,896,896,541,896,1
c012356-l488-1.x.x.x,4,488,1.x.x.x,208,208,133,208,1
c012815-l492-1.x.x.x,4,492,1.x.x.x,208,208,125,208,1
c008763-l452-1.x.x.x,4,452,1.x.x.x,240,144,93,160,0
c002713-l320-unconditional,5,320,unconditional,464,464,322,464,1
c009741-l463-1.x.x.x,5,463,1.x.x.x,224,224,149,224,1
c013552-l498-1.x.x.x,5,498,1.x.x.x,192,192,117,192,1
