worker,cases_complete,cases_planned,last_write_utc,idle_hours
78,15,18,2026-09-17T16:06:24.043000+00:00,0.13
209,16,19,2026-09-17T16:05:59.857000+00:00,0.13
213,15,18,2026-09-17T01:09:16.823000+00:00,15.08
256,15,18,2026-09-17T16:08:00.104000+00:00,0.1
261,15,18,2026-09-17T16:06:06.239000+00:00,0.13
264,14,18,2026-09-17T16:06:35.997000+00:00,0.12
297,13,18,2026-09-17T00:09:37.032000+00:00,16.07
301,14,18,2026-09-17T01:09:36.276000+00:00,15.07
321,12,19,2026-09-17T16:05:51.436000+00:00,0.14
390,14,18,2026-09-17T01:09:28.549000+00:00,15.08
392,15,19,2026-09-17T16:07:57.686000+00:00,0.1
402,17,18,2026-09-17T16:07:44.545000+00:00,0.11
404,12,18,2026-09-17T16:08:02.280000+00:00,0.1
407,13,18,2026-09-17T16:06:26.180000+00:00,0.13
412,12,18,2026-09-17T16:09:00.532000+00:00,0.08
418,17,18,2026-09-17T16:08:38.997000+00:00,0.09
422,15,18,2026-09-17T16:08:40.006000+00:00,0.09
425,11,18,2026-09-17T16:07:00.462000+00:00,0.12
431,7,18,2026-09-17T00:17:23.722000+00:00,15.94
433,18,19,2026-09-17T16:08:35.986000+00:00,0.09
446,7,18,2026-09-17T16:07:40.850000+00:00,0.11
455,16,19,2026-09-17T16:06:43.641000+00:00,0.12
459,4,18,2026-09-16T20:56:24.739000+00:00,19.29
461,14,18,2026-09-17T16:06:45.619000+00:00,0.12
464,9,18,2026-09-17T01:08:36.296000+00:00,15.09
466,16,18,2026-09-17T16:08:23.521000+00:00,0.09
469,7,18,2026-09-17T00:09:37.650000+00:00,16.07
470,7,18,2026-09-17T00:44:54.024000+00:00,15.49
473,11,18,2026-09-17T16:07:57.211000+00:00,0.1
476,14,18,2026-09-17T16:08:07.473000+00:00,0.1
484,16,18,2026-09-17T16:07:00.874000+00:00,0.12
489,12,18,2026-09-17T16:06:34.210000+00:00,0.12
498,11,18,2026-09-17T16:07:11.221000+00:00,0.11
509,18,19,2026-09-17T16:05:57.001000+00:00,0.14
516,17,18,2026-09-17T16:08:53.214000+00:00,0.09
524,10,18,2026-09-17T16:06:43.928000+00:00,0.12
546,11,18,2026-09-17T16:08:28.937000+00:00,0.09
613,12,18,2026-09-16T20:57:38.146000+00:00,19.27
645,17,19,2026-09-17T16:08:33.426000+00:00,0.09
646,17,18,2026-09-17T16:06:57.137000+00:00,0.12
730,17,18,2026-09-17T16:06:06.698000+00:00,0.13
736,14,18,2026-09-17T16:06:51.669000+00:00,0.12
757,12,18,2026-09-17T16:06:35.845000+00:00,0.12
761,16,18,2026-09-17T16:06:44.243000+00:00,0.12
766,15,18,2026-09-17T16:08:11.755000+00:00,0.1
