worker,cases_complete,cases_planned,last_write_utc,idle_hours
78,13,18,2026-09-17T14:07:08.594000+00:00,0.11
209,14,19,2026-09-17T14:06:06.945000+00:00,0.13
213,15,18,2026-09-17T01:09:16.823000+00:00,13.08
256,13,18,2026-09-17T14:06:39.054000+00:00,0.12
261,13,18,2026-09-17T14:09:10.438000+00:00,0.08
264,13,18,2026-09-17T14:06:06.095000+00:00,0.13
287,16,18,2026-09-17T14:07:10.527000+00:00,0.11
297,13,18,2026-09-17T00:09:37.032000+00:00,14.07
301,14,18,2026-09-17T01:09:36.276000+00:00,13.07
304,17,19,2026-09-17T14:06:50.669000+00:00,0.12
321,10,19,2026-09-17T14:06:34.354000+00:00,0.12
390,14,18,2026-09-17T01:09:28.549000+00:00,13.07
391,17,18,2026-09-17T14:07:01.959000+00:00,0.11
392,13,19,2026-09-17T14:08:11.865000+00:00,0.1
402,15,18,2026-09-17T14:07:52.373000+00:00,0.1
404,10,18,2026-09-17T14:09:05.664000+00:00,0.08
407,11,18,2026-09-17T14:08:11.915000+00:00,0.1
410,17,18,2026-09-17T14:08:21.947000+00:00,0.09
412,10,18,2026-09-17T14:06:50.822000+00:00,0.12
418,15,18,2026-09-17T14:08:01.817000+00:00,0.1
422,13,18,2026-09-17T14:07:05.957000+00:00,0.11
425,9,18,2026-09-17T14:06:20.487000+00:00,0.13
431,7,18,2026-09-17T00:17:23.722000+00:00,13.94
433,16,19,2026-09-17T14:08:42.499000+00:00,0.09
437,16,18,2026-09-17T14:06:19.498000+00:00,0.13
442,18,19,2026-09-17T14:08:30.477000+00:00,0.09
446,5,18,2026-09-17T14:06:43.410000+00:00,0.12
449,16,18,2026-09-17T14:07:18.569000+00:00,0.11
452,17,18,2026-09-17T14:07:01.752000+00:00,0.11
453,16,18,2026-09-17T14:06:54.641000+00:00,0.12
455,13,19,2026-09-17T14:06:56.319000+00:00,0.12
459,4,18,2026-09-16T20:56:24.739000+00:00,17.29
461,12,18,2026-09-17T14:07:29.319000+00:00,0.11
464,9,18,2026-09-17T01:08:36.296000+00:00,13.09
466,14,18,2026-09-17T14:07:24.884000+00:00,0.11
467,16,18,2026-09-17T14:07:04.875000+00:00,0.11
469,7,18,2026-09-17T00:09:37.650000+00:00,14.07
470,7,18,2026-09-17T00:44:54.024000+00:00,13.48
473,8,18,2026-09-17T14:06:31.150000+00:00,0.12
476,12,18,2026-09-17T14:06:43.342000+00:00,0.12
484,14,18,2026-09-17T14:06:15.852000+00:00,0.13
489,10,18,2026-09-17T14:06:42.506000+00:00,0.12
498,8,18,2026-09-17T14:09:07.168000+00:00,0.08
509,15,19,2026-09-17T14:06:30.213000+00:00,0.12
516,15,18,2026-09-17T14:07:30.220000+00:00,0.11
524,8,18,2026-09-17T14:08:05.246000+00:00,0.1
546,9,18,2026-09-17T14:08:01.437000+00:00,0.1
613,12,18,2026-09-16T20:57:38.146000+00:00,17.27
637,16,18,2026-09-17T14:06:45.937000+00:00,0.12
645,15,19,2026-09-17T14:08:17.582000+00:00,0.09
646,15,18,2026-09-17T14:07:58.462000+00:00,0.1
730,15,18,2026-09-17T14:07:41.229000+00:00,0.1
736,12,18,2026-09-17T14:07:57.133000+00:00,0.1
757,10,18,2026-09-17T14:06:07.611000+00:00,0.13
761,14,18,2026-09-17T14:06:09.189000+00:00,0.13
766,13,18,2026-09-17T14:05:30.520000+00:00,0.14
