case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c003572-l349-1.x.x.x,0,349,1.x.x.x,128,0,0,0,0
c003274-l339-3.x.x.x,1,339,3.x.x.x,144,0,0,0,0
c007333-l433-unconditional,2,433,unconditional,96,0,0,0,0
c001333-l253-unconditional,3,253,unconditional,240,0,0,0,0
c008587-l450-unconditional,4,450,unconditional,80,0,0,0,0
c002713-l320-unconditional,5,320,unconditional,160,0,0,0,0
c012842-l492-1.x.x.x,6,492,1.x.x.x,64,0,0,0,0
c004149-l365-3.x.x.x,7,365,3.x.x.x,128,0,0,0,0
c007223-l431-2.x.x.x,8,431,2.x.x.x,80,0,0,0,0
c002608-l316-unconditional,9,316,unconditional,144,0,0,0,0
c010344-l469-2.x.x.x,10,469,2.x.x.x,48,32,10,32,0
c001006-l228-1.x.x.x,11,228,1.x.x.x,240,0,0,0,0
c012861-l492-2.x.x.x,12,492,2.x.x.x,64,0,0,0,0
c007228-l431-2.x.x.x,13,431,2.x.x.x,80,0,0,0,0
c011669-l482-1.x.x.x,14,482,1.x.x.x,64,0,0,0,0
c007435-l434-2.x.x.x,15,434,2.x.x.x,80,0,0,0,0
c010066-l466-3.x.x.x,16,466,3.x.x.x,64,0,0,0,0
c006204-l414-1.x.x.x,17,414,1.x.x.x,96,0,0,0,0
c004878-l385-unconditional,18,385,unconditional,96,0,0,0,0
c002145-l297-1.x.x.x,19,297,1.x.x.x,160,0,0,0,0
c004939-l386-2.x.x.x,20,386,2.x.x.x,96,0,0,0,0
c008406-l447-3.x.x.x,21,447,3.x.x.x,80,0,0,0,0
c007120-l430-unconditional,22,430,unconditional,80,0,0,0,0
c012198-l486-3.x.x.x,23,486,3.x.x.x,64,0,0,0,0
c007122-l430-unconditional,24,430,unconditional,80,0,0,0,0
c000361-l149-1.x.x.x,25,149,1.x.x.x,480,0,0,0,0
c010011-l466-1.x.x.x,26,466,1.x.x.x,64,0,0,0,0
c004991-l387-3.x.x.x,27,387,3.x.x.x,96,0,0,0,0
c006643-l422-1.x.x.x,28,422,1.x.x.x,80,0,0,0,0
c006644-l422-1.x.x.x,29,422,1.x.x.x,80,0,0,0,0
c007652-l437-3.x.x.x,30,437,3.x.x.x,80,0,0,0,0
c007129-l430-unconditional,31,430,unconditional,80,0,0,0,0
c000772-l204-2.x.x.x,32,204,2.x.x.x,272,0,0,0,0
c011839-l483-3.x.x.x,33,483,3.x.x.x,64,0,0,0,0
c000116-l89-unconditional,34,89,unconditional,928,0,0,0,0
c002603-l316-unconditional,35,316,unconditional,144,0,0,0,0
c005862-l407-3.x.x.x,36,407,3.x.x.x,80,0,0,0,0
c007877-l440-3.x.x.x,37,440,3.x.x.x,80,0,0,0,0
c007872-l440-3.x.x.x,38,440,3.x.x.x,80,0,0,0,0
c000129-l92-1.x.x.x,39,92,1.x.x.x,896,0,0,0,0
c008640-l450-3.x.x.x,40,450,3.x.x.x,64,0,0,0,0
c008322-l446-3.x.x.x,41,446,3.x.x.x,64,0,0,0,0
c011167-l477-3.x.x.x,42,477,3.x.x.x,64,0,0,0,0
c005859-l407-3.x.x.x,43,407,3.x.x.x,80,0,0,0,0
c005713-l404-2.x.x.x,44,404,2.x.x.x,80,0,0,0,0
c012342-l488-unconditional,45,488,unconditional,64,0,0,0,0
c010267-l468-3.x.x.x,46,468,3.x.x.x,64,0,0,0,0
c003788-l355-3.x.x.x,47,355,3.x.x.x,112,0,0,0,0
c002987-l330-unconditional,48,330,unconditional,128,0,0,0,0
c010462-l470-3.x.x.x,49,470,3.x.x.x,64,0,0,0,0
c004589-l377-2.x.x.x,50,377,2.x.x.x,96,0,0,0,0
c003863-l358-unconditional,51,358,unconditional,96,0,0,0,0
c001168-l241-3.x.x.x,52,241,3.x.x.x,208,0,0,0,0
c004967-l387-1.x.x.x,53,387,1.x.x.x,80,0,0,0,0
c007250-l431-3.x.x.x,54,431,3.x.x.x,48,32,15,48,0
c013616-l498-3.x.x.x,55,498,3.x.x.x,48,0,0,0,0
c007277-l432-1.x.x.x,56,432,1.x.x.x,64,0,0,0,0
c005627-l402-3.x.x.x,57,402,3.x.x.x,80,0,0,0,0
c011222-l478-1.x.x.x,58,478,1.x.x.x,64,0,0,0,0
c000072-l78-unconditional,59,78,unconditional,1056,0,0,0,0
c010644-l472-3.x.x.x,60,472,3.x.x.x,64,0,0,0,0
c009324-l458-3.x.x.x,61,458,3.x.x.x,64,0,0,0,0
