worker,cases_complete,cases_planned,last_write_utc,idle_hours
57,15,18,2026-09-16T21:50:44.108000+00:00,10.37
78,8,18,2026-09-16T21:50:18.731000+00:00,10.38
109,17,18,2026-09-17T08:06:51.404000+00:00,0.1
110,17,18,2026-09-17T08:06:30.508000+00:00,0.11
111,16,18,2026-09-17T07:17:55.922000+00:00,0.92
162,16,18,2026-09-17T08:07:11.630000+00:00,0.1
168,17,18,2026-09-17T07:17:35.184000+00:00,0.92
178,15,18,2026-09-17T08:07:00.356000+00:00,0.1
203,13,18,2026-09-17T08:05:47.610000+00:00,0.12
209,8,19,2026-09-17T08:06:19.532000+00:00,0.11
213,15,18,2026-09-17T01:09:16.823000+00:00,7.06
226,17,18,2026-09-17T07:17:45.230000+00:00,0.92
256,9,18,2026-09-16T21:51:09.561000+00:00,10.37
261,9,18,2026-09-17T08:06:58.275000+00:00,0.1
264,8,18,2026-09-17T08:06:55.058000+00:00,0.1
266,16,18,2026-09-16T21:51:44.672000+00:00,10.36
267,15,18,2026-09-16T21:51:34.209000+00:00,10.36
274,14,18,2026-09-16T21:51:03.087000+00:00,10.37
286,13,18,2026-09-16T21:50:09.795000+00:00,10.38
287,12,18,2026-09-17T07:18:58.636000+00:00,0.9
292,15,18,2026-09-17T00:48:56.695000+00:00,7.4
297,13,18,2026-09-17T00:09:37.032000+00:00,8.06
301,14,18,2026-09-17T01:09:36.276000+00:00,7.06
302,13,18,2026-09-17T08:06:59.716000+00:00,0.1
304,10,19,2026-09-17T08:06:37.286000+00:00,0.11
321,3,19,2026-09-17T08:06:04.406000+00:00,0.12
380,17,18,2026-09-17T07:18:57.805000+00:00,0.9
390,14,18,2026-09-17T01:09:28.549000+00:00,7.06
391,11,18,2026-09-17T08:08:06.149000+00:00,0.08
392,8,19,2026-09-17T08:06:51.358000+00:00,0.1
402,9,18,2026-09-17T08:05:38.874000+00:00,0.12
404,6,18,2026-09-17T08:06:32.076000+00:00,0.11
406,15,18,2026-09-17T08:06:38.587000+00:00,0.11
407,8,18,2026-09-16T21:50:22.690000+00:00,10.38
409,15,18,2026-09-17T08:07:13.628000+00:00,0.1
410,12,18,2026-09-16T21:50:52.654000+00:00,10.37
412,8,18,2026-09-16T21:51:06.851000+00:00,10.37
414,17,19,2026-09-17T08:07:01.155000+00:00,0.1
416,16,18,2026-09-17T08:07:36.586000+00:00,0.09
