worker,cases_complete,cases_planned,last_write_utc,idle_hours
78,17,18,2026-09-17T18:06:20.816000+00:00,0.13
209,18,19,2026-09-17T18:07:17.960000+00:00,0.11
213,15,18,2026-09-17T01:09:16.823000+00:00,17.08
256,17,18,2026-09-17T18:07:26.400000+00:00,0.11
261,17,18,2026-09-17T18:07:41.189000+00:00,0.11
264,16,18,2026-09-17T18:07:06.513000+00:00,0.12
297,13,18,2026-09-17T00:09:37.032000+00:00,18.07
301,14,18,2026-09-17T01:09:36.276000+00:00,17.07
321,14,19,2026-09-17T18:07:41.739000+00:00,0.11
390,14,18,2026-09-17T01:09:28.549000+00:00,17.08
392,17,19,2026-09-17T18:05:59.724000+00:00,0.13
404,14,18,2026-09-17T18:07:04.952000+00:00,0.12
407,15,18,2026-09-17T18:09:27.683000+00:00,0.08
412,14,18,2026-09-17T18:06:57.403000+00:00,0.12
422,17,18,2026-09-17T18:08:11.220000+00:00,0.1
425,14,18,2026-09-17T18:05:43.489000+00:00,0.14
431,7,18,2026-09-17T00:17:23.722000+00:00,17.94
446,9,18,2026-09-17T18:05:51.816000+00:00,0.14
455,18,19,2026-09-17T18:07:36.828000+00:00,0.11
459,4,18,2026-09-16T20:56:24.739000+00:00,21.29
461,16,18,2026-09-17T18:07:05.119000+00:00,0.12
464,9,18,2026-09-17T01:08:36.296000+00:00,17.09
469,7,18,2026-09-17T00:09:37.650000+00:00,18.07
470,7,18,2026-09-17T00:44:54.024000+00:00,17.49
473,12,18,2026-09-17T18:07:02.800000+00:00,0.12
476,16,18,2026-09-17T18:08:46.550000+00:00,0.09
489,14,18,2026-09-17T18:05:27.334000+00:00,0.14
498,13,18,2026-09-17T18:06:31.686000+00:00,0.13
524,12,18,2026-09-17T18:07:58.355000+00:00,0.1
546,13,18,2026-09-17T18:07:15.902000+00:00,0.11
613,12,18,2026-09-16T20:57:38.146000+00:00,21.27
736,16,18,2026-09-17T18:08:42.551000+00:00,0.09
757,14,18,2026-09-17T18:05:47.938000+00:00,0.14
766,17,18,2026-09-17T18:06:45.671000+00:00,0.12
