case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c003572-l349-1.x.x.x,0,349,1.x.x.x,400,400,275,400,1
c000205-l111-1.x.x.x,0,111,1.x.x.x,1088,1088,922,1088,1
c006352-l417-unconditional,0,417,unconditional,144,144,80,144,1
c003411-l344-1.x.x.x,0,344,1.x.x.x,416,416,312,416,1
c011976-l485-unconditional,0,485,unconditional,208,208,114,208,1
c007869-l440-3.x.x.x,0,440,3.x.x.x,256,256,131,256,1
c001551-l266-3.x.x.x,0,266,3.x.x.x,656,656,389,656,1
c007029-l428-1.x.x.x,0,428,1.x.x.x,16,16,12,16,1
c003651-l351-3.x.x.x,0,351,3.x.x.x,320,0,0,0,0
c003274-l339-3.x.x.x,1,339,3.x.x.x,416,416,224,416,1
c000273-l128-1.x.x.x,1,128,1.x.x.x,1216,1216,1021,1216,1
c006130-l413-unconditional,1,413,unconditional,288,288,171,288,1
c002646-l317-2.x.x.x,1,317,2.x.x.x,480,480,324,480,1
c006753-l424-unconditional,1,424,unconditional,272,272,151,272,1
c003412-l344-1.x.x.x,1,344,1.x.x.x,416,416,298,416,1
c011541-l481-1.x.x.x,1,481,1.x.x.x,208,208,123,208,1
c001012-l228-3.x.x.x,1,228,3.x.x.x,64,0,0,0,0
c007333-l433-unconditional,2,433,unconditional,256,256,144,256,1
c013848-l500-1.x.x.x,2,500,1.x.x.x,192,192,116,192,1
c004144-l365-3.x.x.x,2,365,3.x.x.x,368,368,185,368,1
c002838-l324-3.x.x.x,2,324,3.x.x.x,464,464,248,464,1
c000214-l113-2.x.x.x,2,113,2.x.x.x,928,928,585,928,1
c007879-l440-3.x.x.x,2,440,3.x.x.x,256,256,110,256,1
c003077-l333-unconditional,2,333,unconditional,256,256,159,256,1
c008568-l449-3.x.x.x,2,449,3.x.x.x,240,96,44,112,0
c001333-l253-unconditional,3,253,unconditional,704,192,143,208,0
c008587-l450-unconditional,4,450,unconditional,240,240,127,240,1
c000723-l198-1.x.x.x,4,198,1.x.x.x,640,640,507,640,1
c007335-l433-unconditional,4,433,unconditional,256,256,152,256,1
c005693-l404-unconditional,4,404,unconditional,304,304,189,304,1
c000935-l221-3.x.x.x,4,221,3.x.x.x,896,896,541,896,1
c012356-l488-1.x.x.x,4,488,1.x.x.x,208,208,133,208,1
c012815-l492-1.x.x.x,4,492,1.x.x.x,208,208,125,208,1
c008763-l452-1.x.x.x,4,452,1.x.x.x,32,0,0,0,0
c002713-l320-unconditional,5,320,unconditional,464,464,322,464,1
c009741-l463-1.x.x.x,5,463,1.x.x.x,224,224,149,224,1
c013552-l498-1.x.x.x,5,498,1.x.x.x,192,192,117,192,1
c004099-l364-1.x.x.x,5,364,1.x.x.x,368,368,270,368,1
c003751-l354-2.x.x.x,5,354,2.x.x.x,48,48,24,48,1
c002841-l324-3.x.x.x,5,324,3.x.x.x,464,464,249,464,1
c008463-l448-1.x.x.x,5,448,1.x.x.x,224,224,150,224,1
c005844-l407-1.x.x.x,5,407,1.x.x.x,304,96,67,112,0
c012842-l492-1.x.x.x,6,492,1.x.x.x,208,208,118,208,1
c004148-l365-3.x.x.x,6,365,3.x.x.x,368,368,189,368,1
c004097-l364-1.x.x.x,6,364,1.x.x.x,368,368,247,368,1
c013558-l498-1.x.x.x,6,498,1.x.x.x,192,192,128,192,1
c005615-l402-1.x.x.x,6,402,1.x.x.x,304,304,209,304,1
c003417-l344-1.x.x.x,6,344,1.x.x.x,416,416,295,416,1
c009747-l463-1.x.x.x,6,463,1.x.x.x,224,80,48,80,0
c004149-l365-3.x.x.x,7,365,3.x.x.x,368,368,197,368,1
c000541-l175-2.x.x.x,7,175,2.x.x.x,160,160,71,160,1
c009729-l463-1.x.x.x,7,463,1.x.x.x,224,224,141,224,1
c005846-l407-1.x.x.x,7,407,1.x.x.x,160,0,0,0,0
c007223-l431-2.x.x.x,8,431,2.x.x.x,272,272,92,272,1
c006202-l414-1.x.x.x,8,414,1.x.x.x,288,288,184,288,1
c005814-l406-3.x.x.x,8,406,3.x.x.x,304,304,143,304,1
c012087-l485-3.x.x.x,8,485,3.x.x.x,208,208,90,208,1
c002900-l327-unconditional,8,327,unconditional,448,112,77,112,0
c002608-l316-unconditional,9,316,unconditional,480,480,336,480,1
c012862-l492-2.x.x.x,9,492,2.x.x.x,208,208,65,208,1
