case,worker,length,condition,generated,refolded,quality_pass,sequences_saved,complete
c003572-l349-1.x.x.x,0,349,1.x.x.x,400,400,275,400,1
c000205-l111-1.x.x.x,0,111,1.x.x.x,1088,1088,922,1088,1
c006352-l417-unconditional,0,417,unconditional,144,0,0,16,0
c003274-l339-3.x.x.x,1,339,3.x.x.x,416,416,224,416,1
c000273-l128-1.x.x.x,1,128,1.x.x.x,1216,1216,1021,1216,1
c006130-l413-unconditional,1,413,unconditional,112,0,0,0,0
c007333-l433-unconditional,2,433,unconditional,256,256,144,256,1
c013848-l500-1.x.x.x,2,500,1.x.x.x,192,160,99,176,0
c001333-l253-unconditional,3,253,unconditional,704,192,143,208,0
c008587-l450-unconditional,4,450,unconditional,240,240,127,240,1
c000723-l198-1.x.x.x,4,198,1.x.x.x,640,640,507,640,1
c007335-l433-unconditional,4,433,unconditional,112,0,0,0,0
c002713-l320-unconditional,5,320,unconditional,464,464,322,464,1
c009741-l463-1.x.x.x,5,463,1.x.x.x,224,192,125,192,0
c012842-l492-1.x.x.x,6,492,1.x.x.x,208,208,118,208,1
c004148-l365-3.x.x.x,6,365,3.x.x.x,368,240,120,256,0
c004149-l365-3.x.x.x,7,365,3.x.x.x,368,368,197,368,1
c000541-l175-2.x.x.x,7,175,2.x.x.x,160,160,71,160,1
c009729-l463-1.x.x.x,7,463,1.x.x.x,224,80,47,96,0
c007223-l431-2.x.x.x,8,431,2.x.x.x,272,272,92,272,1
c006202-l414-1.x.x.x,8,414,1.x.x.x,288,160,102,176,0
c002608-l316-unconditional,9,316,unconditional,480,480,336,480,1
c012862-l492-2.x.x.x,9,492,2.x.x.x,208,144,49,160,0
c010344-l469-2.x.x.x,10,469,2.x.x.x,48,48,18,48,1
c001691-l274-2.x.x.x,10,274,2.x.x.x,624,624,417,624,1
c008043-l443-unconditional,10,443,unconditional,240,0,0,0,0
c001006-l228-1.x.x.x,11,228,1.x.x.x,848,848,646,848,1
c007133-l430-unconditional,11,430,unconditional,272,144,85,160,0
c012861-l492-2.x.x.x,12,492,2.x.x.x,208,208,49,208,1
c010079-l466-3.x.x.x,12,466,3.x.x.x,224,160,63,176,0
c007228-l431-2.x.x.x,13,431,2.x.x.x,272,272,108,272,1
c010080-l466-3.x.x.x,13,466,3.x.x.x,224,144,64,160,0
c011669-l482-1.x.x.x,14,482,1.x.x.x,208,208,125,208,1
c009271-l458-1.x.x.x,14,458,1.x.x.x,240,160,91,176,0
c007435-l434-2.x.x.x,15,434,2.x.x.x,256,256,94,256,1
c007016-l428-1.x.x.x,15,428,1.x.x.x,272,192,132,208,0
c010066-l466-3.x.x.x,16,466,3.x.x.x,224,224,108,224,1
c005789-l406-1.x.x.x,16,406,1.x.x.x,304,192,122,208,0
c006204-l414-1.x.x.x,17,414,1.x.x.x,288,288,191,288,1
c007529-l435-3.x.x.x,17,435,3.x.x.x,256,160,73,176,0
c004878-l385-unconditional,18,385,unconditional,336,336,202,336,1
c004091-l364-1.x.x.x,18,364,1.x.x.x,368,208,151,224,0
c002145-l297-1.x.x.x,19,297,1.x.x.x,544,544,422,544,1
c012362-l488-1.x.x.x,19,488,1.x.x.x,208,128,73,144,0
c004939-l386-2.x.x.x,20,386,2.x.x.x,336,336,161,336,1
c012067-l485-3.x.x.x,20,485,3.x.x.x,208,128,61,144,0
c008406-l447-3.x.x.x,21,447,3.x.x.x,240,240,113,240,1
c004940-l386-2.x.x.x,21,386,2.x.x.x,336,224,117,240,0
c007120-l430-unconditional,22,430,unconditional,272,272,141,272,1
c000329-l142-1.x.x.x,22,142,1.x.x.x,1312,1312,1109,1312,1
c012198-l486-3.x.x.x,23,486,3.x.x.x,208,208,96,208,1
c012904-l492-3.x.x.x,23,492,3.x.x.x,208,144,79,160,0
c007122-l430-unconditional,24,430,unconditional,272,272,165,272,1
c012388-l488-2.x.x.x,24,488,2.x.x.x,208,144,47,160,0
c000361-l149-1.x.x.x,25,149,1.x.x.x,1376,1376,1151,1376,1
c004813-l383-1.x.x.x,25,383,1.x.x.x,336,304,199,320,0
c010011-l466-1.x.x.x,26,466,1.x.x.x,224,224,133,224,1
c008775-l452-1.x.x.x,26,452,1.x.x.x,240,176,110,192,0
c004991-l387-3.x.x.x,27,387,3.x.x.x,144,144,66,144,1
c003352-l342-1.x.x.x,27,342,1.x.x.x,416,416,321,416,1
