worker,cases_complete,cases_planned,last_write_utc,idle_hours
213,15,18,2026-09-17T01:09:16.823000+00:00,19.1
297,13,18,2026-09-17T00:09:37.032000+00:00,20.1
301,14,18,2026-09-17T01:09:36.276000+00:00,19.1
321,16,19,2026-09-17T20:07:03.071000+00:00,0.14
390,14,18,2026-09-17T01:09:28.549000+00:00,19.1
404,16,18,2026-09-17T20:10:29.659000+00:00,0.08
407,17,18,2026-09-17T20:08:15.810000+00:00,0.12
412,16,18,2026-09-17T20:08:50.030000+00:00,0.11
425,15,18,2026-09-17T20:07:41.026000+00:00,0.13
431,7,18,2026-09-17T00:17:23.722000+00:00,19.97
446,11,18,2026-09-17T20:06:33.345000+00:00,0.15
459,4,18,2026-09-16T20:56:24.739000+00:00,23.32
464,9,18,2026-09-17T01:08:36.296000+00:00,19.11
469,7,18,2026-09-17T00:09:37.650000+00:00,20.1
470,7,18,2026-09-17T00:44:54.024000+00:00,19.51
473,14,18,2026-09-17T20:09:03.038000+00:00,0.11
489,17,18,2026-09-17T20:07:07.295000+00:00,0.14
498,15,18,2026-09-17T20:08:59.229000+00:00,0.11
524,14,18,2026-09-17T20:09:37.894000+00:00,0.1
546,15,18,2026-09-17T20:07:06.605000+00:00,0.14
613,12,18,2026-09-16T20:57:38.146000+00:00,23.3
757,16,18,2026-09-17T20:08:40.512000+00:00,0.11
