model,range,cut,mean_precision
exp120-base,all,AUC,0.9055151159169117
exp120-base,all,L,0.39243694256155226
exp120-base,all,L/2,0.5240972606188457
exp120-base,all,L/5,0.6483252357657168
exp120-base,all,R,0.43523118511174025
exp120-base,long,AUC,0.8778486335957782
exp120-base,long,L,0.2452468627102173
exp120-base,long,L/2,0.37024717991440437
exp120-base,long,L/5,0.49345102185053
exp120-base,long,R,0.37854955127763684
exp120-base,medium,AUC,0.9377221619557206
exp120-base,medium,L,0.16232987437383506
exp120-base,medium,L/2,0.2753019781304039
exp120-base,medium,L/5,0.46125545681291447
exp120-base,medium,R,0.4754955960048646
exp120-base,short,AUC,0.9515240988929188
exp120-base,short,L,0.11546724171435191
exp120-base,short,L/2,0.20843631447178557
exp120-base,short,L/5,0.4024725829658465
exp120-base,short,R,0.5598363529734544
exp175-backtracking,all,AUC,0.88796633180672
exp175-backtracking,all,L,0.35721963553585806
exp175-backtracking,all,L/2,0.47383985801374656
exp175-backtracking,all,L/5,0.5985805653554721
exp175-backtracking,all,R,0.393830659043965
exp175-backtracking,long,AUC,0.85634379636996
exp175-backtracking,long,L,0.21636119061049222
exp175-backtracking,long,L/2,0.32483706741647544
exp175-backtracking,long,L/5,0.44110784498257494
exp175-backtracking,long,R,0.33238540250648374
exp175-backtracking,medium,AUC,0.9263263412210585
exp175-backtracking,medium,L,0.1549729539031804
exp175-backtracking,medium,L/2,0.2584582171704357
exp175-backtracking,medium,L/5,0.4166407575290187
exp175-backtracking,medium,R,0.4282781936324903
exp175-backtracking,short,AUC,0.9450824651074877
exp175-backtracking,short,L,0.1132090467498862
exp175-backtracking,short,L/2,0.20242828585324665
exp175-backtracking,short,L/5,0.38589187506875344
exp175-backtracking,short,R,0.5343397404949999
exp175-clean,all,AUC,0.9045803553550197
exp175-clean,all,L,0.38568521931770094
exp175-clean,all,L/2,0.5161314866079716
exp175-clean,all,L/5,0.6405965112907712
exp175-clean,all,R,0.4284756813062518
exp175-clean,long,AUC,0.8772829827207967
exp175-clean,long,L,0.2406410865384158
exp175-clean,long,L/2,0.3616860526756536
exp175-clean,long,L/5,0.4861142087833097
exp175-clean,long,R,0.36902863027177363
exp175-clean,medium,AUC,0.9369822754444845
exp175-clean,medium,L,0.16079272882667328
exp175-clean,medium,L/2,0.27252964775447147
exp175-clean,medium,L/5,0.4501245040212105
exp175-clean,medium,R,0.4663462726432377
exp175-clean,short,AUC,0.9502235188867603
exp175-clean,short,L,0.11492942674277505
exp175-clean,short,L/2,0.207881286483266
exp175-clean,short,L/5,0.40141813235924784
exp175-clean,short,R,0.5605587724021067
