stem,eval_set,designed,is_viral,L,msa_query_length,msa_depth,tier,selection_hash
8bux_A,eval-val,0,0,334,289,468,100–999,089b5a2c8cb28367cb8cedf3e4ae3715b6a41edc1e2a4fc7a63a2fff57660d03
8gsy_A,eval-test,0,0,144,126,165,100–999,01d701a819ba3b12ff43fb822b0033c7cf6c4700649b4090ff84b1a447f4b5ca
8q79_A,eval-test,0,0,236,215,663,100–999,126c7b552ec4746ca90ffb070de89358862944cbbbcea99f0995e53c3adcd043
8uk7_A,eval-test,0,0,138,116,588,100–999,04ea844c4436b2c55a1670b0af8c002fe28fc03e8963eec1beec658a9497ddb4
8wc1_A,eval-test,0,0,178,151,462,100–999,01808b48741941497136821c4d68ba222473a039a2f9e2e314e83d0120821c5c
7xcd_A,eval-val,0,1,178,178,22,10–99,1f576224fa4742a1712f2905145f4d837f088ea36f9b741d4e524b5bd62b9ebf
8adc_A,eval-val,0,0,215,207,37,10–99,60e9087b29112c4505e6cc7d3a2d61dc5f30b1abea630cc3eec15c5bf1d00410
8hel_A,eval-test,0,1,76,68,98,10–99,0b1ab6382fc461b41ffd59692d0c8d86b31c5e02823dae64123455d56b1e5cf5
8kih_A,eval-test,0,0,332,291,33,10–99,44cb53107925fdf730fad08d71e2f61c84758785f9c8f47438e2db24b8d9a543
8pw2_A,eval-test,0,1,72,60,27,10–99,4e100cfc7ec80c1560504c8878fb91284435d8628215a36052d16d4705da8256
8ii8_A,eval-test,0,0,226,225,3,<10,71f7e2ecc38f8356f6bc11b31e1212a9e76c8f4f6299ada25356e0cb7aeb7f67
8oxk_A,eval-test,0,0,99,94,6,<10,7f649b9a7dcfaf692b514177a4ad07ac838239cbfab080a725845478361a4dce
8qoh_A,eval-test,0,0,278,274,3,<10,602ba418b05696b68d7bd8756e4edc9371d3dfc37598e501ad1387fafcc4cb78
8ux2_A,eval-test,0,0,246,239,6,<10,2aea20dded6cd5e3a3106dd77b448ad7535cba81db925f9ae8d0107cd8fae5cc
8wrx_A,eval-test,0,1,88,86,4,<10,84550527bef2c4cf93b1872703e0125c0517f13c004669986f2597e1612f07df
7wzm_A,eval-val,0,0,492,458,13687,≥1000,0319f9f870baacc36b9234dd18329916ad03f1b0b55f63b411fbfdcab2b3780d
8hbt_A,eval-test,0,0,446,431,3236,≥1000,0257c24b6fb25bd66934d0e961d1eb25e465a613ea8478d1ad5e788fd69c2dbe
8oqh_A,eval-test,0,0,91,81,1395,≥1000,019a34cc634ec4c926c60f775e6b1663c9c34a2ddd9486c9d644ebef0615189d
8spc_A,eval-test,0,0,415,370,12149,≥1000,0006aad5cf9d5c813e15292babe529a8e47355a8e8f46141d30066d8c7e3db28
9b1u_A,eval-test,0,0,310,298,2855,≥1000,01c55816904615e26bcc6a87ea46f33f6d6f5b80d0c595cd82b9b6c888475a35
