stem,method,eval_set,selected_sha256,ground_truth_sha256,selected_file,selection_confidence,contact_alignment_identity,gdt_ts,lddt,tm_score,rmsd,n_matched_atoms,n_matched_ca,missing_unknown_residues
5sbj_A,af2,eval-denovo,9ddf6ae761ee59413ac72f404f4f2b519f81da39f9d4b993f49d11c28edc81af,469abd53af8cd8f8e935f6868102546fff09d7efb978b3783f897d3bec4fb03c,scratch/alphafold/results/af2/5sbj_A/selected.pdb,81.75,1.0,0.8846153846153846,0.8075868962404076,0.6498031009094315,0.6395065864937192,188,26,0|9|24|29
7pv5_A,af2,eval-val,85de4e1a61418192a03c6c212fc3f728f71e0ffb3545fe81b1e37abbb3a79847,579d1bfe343c5d1aa5a215aa14d1fcaede5f69c93f42c1d0a0afa1fd03be8b57,scratch/alphafold/results/af2/7pv5_A/selected.pdb,84.4375,1.0,0.9189189189189189,0.7742727863764104,0.9140985640898031,0.739739053432503,617,74,44
7qp5_A,af2,eval-val,18f17801abe70f9a196ccdfeff45d1f9cdaa6e1043a86cac1e88e06a8e04c35e,0b70a6df7f47ba14212e0c12383e64bcfa6e6585cb2ede98c547ab0854cdaa45,scratch/alphafold/results/af2/7qp5_A/selected.pdb,96.375,1.0,0.9854771784232366,0.9079100232353177,0.9908667673010576,0.32103620933427746,1936,241,
7qsj_A,af2,eval-val,6c108ca36bf53d06c6f69d75029291970965b65f5953e8b7f3a4c6692c5f9150,9f62fd105bf2327cb0edd048d6820ffad4031f3c9ce6db70aa0efd19dae5b8b1,scratch/alphafold/results/af2/7qsj_A/selected.pdb,96.75,1.0,0.9848265895953756,0.921976002242594,0.9901071661123619,0.537665912088538,2688,346,
7t9r_A,af2,eval-val,4a61a9729288a0886cda620295668e06cc903cdf60c75d7e65fe6a69bd4d80dd,45adc0b25428ab11fea8a26cd7e2591c80e6f4ec0b04694092e3c93f108018d0,scratch/alphafold/results/af2/7t9r_A/selected.pdb,85.0,1.0,0.756578947368421,0.7639971810711931,0.8072998685445287,1.6432333216494777,315,38,
7tjb_A,af2,eval-val,6a4678ae56409c1a75087aaf4326b8775abef62345ba4908c59e98f3058360f8,cca2bfe29f0316104b4031b4dae3adb8608ed362967b535f4f5d4a8b4bc5b4c4,scratch/alphafold/results/af2/7tjb_A/selected.pdb,95.3125,1.0,0.9144144144144144,0.8819357493199302,0.960883765510582,1.1498560958789636,1770,222,
7tlh_A,af2,eval-val,e1b472a38254ce383e1f846eaa6bbfaf4eef85beef1d5b94aca181d789e814d2,46ad4c9a653004569fb70999fa7b8684a611e4abd9f129b247300fbfd4a9ef80,scratch/alphafold/results/af2/7tlh_A/selected.pdb,88.5,1.0,0.9495967741935485,0.8720931016580025,0.9587476644431688,0.5635448410809215,939,124,
7uba_A,af2,eval-val,ac5f7bae8ee9c8b749f11532e6547052c60d4245c43640c9780b49b9d2272a67,03283d62b6fb6ac481ad213b19037fe3c715db3d73f60a5a88554f904a71f44a,scratch/alphafold/results/af2/7uba_A/selected.pdb,95.4375,1.0,0.9572192513368983,0.8542297768275032,0.9758973579167954,0.5426067849370507,1492,187,
7uk8_A,af2,eval-val,28db40a1c985180826d02277da2d050575ccc79bb487d5fc2f5a7b549fa37127,112665482fe52d9811dd1a4e528c40a268de10b5967c52e1eba070e914715385,scratch/alphafold/results/af2/7uk8_A/selected.pdb,93.4375,1.0,0.8191906005221932,0.8153620851963457,0.9363086380032666,1.795134599104504,3137,383,
7ur2_A,af2,eval-val,925ee2ba6ff238a58d884d83a435f1352e1bb90da241e234ed21ee2b3cfc643c,b0654bd8e984b8d256b51685799eb8193a4cbdd4ad38548822acee9bb9a21b78,scratch/alphafold/results/af2/7ur2_A/selected.pdb,85.125,1.0,0.4578125,0.7807540394168175,0.8714850413709117,3.7722157043604327,1277,160,
7ur7_A,af2,eval-denovo,6d3110ef570a1f264cc7476926f89c23fec4ba648c42bde4bd2ab1361cac55d6,140b317c5a401f179ef1868ebaa34644754796017cd68643e21a600a957e4317,scratch/alphafold/results/af2/7ur7_A/selected.pdb,87.1875,1.0,0.888888888888889,0.8063290017317316,0.8907192733740505,0.7706708717139857,534,63,
7urp_A,af2,eval-val,5cdcadfd096db6baf37e0b66ccf22c9fe03e9f5714a1b81980525d439847bc48,a6804cddd11d478399b5831a1452b6eb76a69458f86b80545f97b376ef197678,scratch/alphafold/results/af2/7urp_A/selected.pdb,97.5,1.0,0.9732704402515724,0.9111293591784015,0.9772666998481183,0.5523959166115687,1185,159,
7uvg_A,af2,eval-val,6fba5a225d716f8f0b682b99ce51a8671be4207e86dd9a031f4a6d360d8a663e,955e89cfbf42b0baa487966ec3bd065df815e40ce9756344f5eefeb8bfb45e29,scratch/alphafold/results/af2/7uvg_A/selected.pdb,93.875,1.0,0.9231927710843373,0.872015052955504,0.957583059157364,0.9600826950536018,1301,166,
7uww_A,af2,eval-val,f69151c78056730b8abb40def68ec38752379eb3569762398eaf642400d8c02e,0d530fb95d77c247dac6fcc39092f401cbbd73dfdc4275fc32f495f2bf4f8771,scratch/alphafold/results/af2/7uww_A/selected.pdb,94.5,1.0,0.4576740506329114,0.8496204233308271,0.8507228051447471,2.5870506618518365,4834,632,
7v3o_A,af2,eval-val,42f8e477c06234569b26c00abd605bb367ad01b1c8009aa34f2bc8752ce5f83d,17e5790a02e37c9bf38b3f5432b6912158e142f6839345b08f5faf8f8fa01a9c,scratch/alphafold/results/af2/7v3o_A/selected.pdb,95.625,1.0,0.9106498194945848,0.8737566311147414,0.9740249832535882,0.6108613068745687,2200,277,
7w15_A,af2,eval-val,6a1195ca30fbcf09fcb9b944c5c7ed10c8929a4f91cc3a400ad575b8577d91dd,8365ab348f0d7eac0fc893e9c7eedf53c5725c3e3f5b6b153ec640b44c33b39a,scratch/alphafold/results/af2/7w15_A/selected.pdb,95.4375,1.0,0.8848122866894198,0.8909815278409128,0.9639866145867249,0.7374292188757207,2354,293,
7wr2_A,af2,eval-test,901c39e45b18a6890cb9d7703587be19c6b5bfaa2ba474c5d9428a81871ae503,4ab34f95c6871b9598853a2ac6380791cdb157e811a436dc8aae483f74172717,scratch/alphafold/results/af2/7wr2_A/selected.pdb,97.1875,1.0,0.9540441176470589,0.8604295581174417,0.9636969042948165,0.5248748163871636,1088,136,
7wu8_A,af2,eval-test,fee165df6a476016e81948ca18e539cf1b17e33d18b16c10413462e8ae6adaeb,26c14d78b4f8590b1952ab99f235cba7b234cbb394fcc561cd588388ce9899c4,scratch/alphafold/results/af2/7wu8_A/selected.pdb,91.375,1.0,0.975609756097561,0.8824604821970302,0.9670593333849933,0.5719213002143415,632,82,
7wz5_A,af2,eval-val,a9b902c5cc26d68e50184aa7dc300fbd0f00cc4eabd667cdcb46970ac86e8318,367f314780839acfb6351d702ddf617336af22e2cd7d80d542bf5dca04ec4b4a,scratch/alphafold/results/af2/7wz5_A/selected.pdb,92.6875,1.0,0.9239130434782609,0.8708331134448608,0.9469801603617153,0.8868154182221968,1256,161,
7wzm_A,af2,eval-val,2fadbf83b4767959901d9353d1d4b01d28a24d38529ff928c7e5f17ad2436b29,df0e36d9b8ffb3183c7b511d60b31baa6f7f1eb2679593dabac22b9c594a8257,scratch/alphafold/results/af2/7wzm_A/selected.pdb,91.9375,1.0,0.7756550218340612,0.8197939597149021,0.9404383402645541,1.5327987288305558,3469,458,
