stem,method,mean_plddt,source,source_row,metric,value,eval_set,designed,is_viral,L,msa_query_length,msa_depth,tier,figure
5sbj_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2268,gdt_ts,1.0,eval-denovo,1,0,30,30,2,<10,01_predictors
7ur7_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2269,gdt_ts,0.920635,eval-denovo,1,0,70,63,2,<10,01_predictors
8ah9_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2270,gdt_ts,0.976087,eval-denovo,1,0,120,115,8,<10,01_predictors
8eov_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2271,gdt_ts,0.942446,eval-denovo,1,0,146,139,2,<10,01_predictors
8fjf_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2272,gdt_ts,0.003937,eval-denovo,1,0,134,127,2,<10,01_predictors
8gac_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2273,gdt_ts,0.941748,eval-denovo,1,0,106,103,2,<10,01_predictors
8ju8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2274,gdt_ts,0.793165,eval-denovo,1,0,139,139,2,<10,01_predictors
8k7o_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2275,gdt_ts,0.94206,eval-denovo,1,0,233,233,64,10–99,01_predictors
8k7z_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2276,gdt_ts,0.203488,eval-denovo,1,0,180,172,2,<10,01_predictors
8k83_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2277,gdt_ts,0.91523,eval-denovo,1,0,181,174,2,<10,01_predictors
8k84_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2278,gdt_ts,0.969653,eval-denovo,1,0,177,173,201,100–999,01_predictors
8kcj_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2279,gdt_ts,0.853352,eval-denovo,1,0,181,179,2,<10,01_predictors
8ka7_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2280,gdt_ts,0.969565,eval-denovo,1,0,124,115,2,<10,01_predictors
8kac_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2281,gdt_ts,0.944215,eval-denovo,1,0,129,121,351,100–999,01_predictors
8oys_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2282,gdt_ts,0.913564,eval-denovo,1,0,190,190,2,<10,01_predictors
8oyy_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2283,gdt_ts,0.9603,eval-denovo,1,0,242,233,2,<10,01_predictors
8qkd_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2284,gdt_ts,0.987544,eval-denovo,1,0,284,281,2,<10,01_predictors
8qup_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2285,gdt_ts,0.035088,eval-denovo,1,0,124,114,188,100–999,01_predictors
8vc8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2286,gdt_ts,0.862944,eval-denovo,1,0,204,197,2,<10,01_predictors
8ev4_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2287,gdt_ts,0.978261,eval-test,0,0,125,115,14661,≥1000,01_predictors
8ew1_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2288,gdt_ts,0.923295,eval-test,0,0,267,264,3961,≥1000,01_predictors
8ew9_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2289,gdt_ts,0.859959,eval-test,0,0,248,241,255,100–999,01_predictors
8ey3_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2290,gdt_ts,0.983333,eval-test,0,0,65,60,5066,≥1000,01_predictors
8ez6_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2291,gdt_ts,0.953846,eval-test,0,0,72,65,3128,≥1000,01_predictors
8ezw_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2292,gdt_ts,0.92803,eval-test,0,0,160,132,4248,≥1000,01_predictors
8f8n_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2293,gdt_ts,0.949324,eval-test,0,0,220,148,657,100–999,01_predictors
8f9o_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2294,gdt_ts,0.934292,eval-test,0,0,496,487,11347,≥1000,01_predictors
8fbc_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2295,gdt_ts,0.879771,eval-test,0,0,395,393,10030,≥1000,01_predictors
8jjq_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2296,gdt_ts,0.86215,eval-test,0,0,331,321,2953,≥1000,01_predictors
8fib_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2297,gdt_ts,0.799043,eval-test,0,0,441,418,12207,≥1000,01_predictors
8fr5_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2298,gdt_ts,0.866848,eval-test,0,1,97,92,122,100–999,01_predictors
8fty_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2299,gdt_ts,0.973602,eval-test,0,0,509,483,6774,≥1000,01_predictors
8h2f_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2300,gdt_ts,0.962209,eval-test,0,0,180,172,8455,≥1000,01_predictors
8fz8_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2301,gdt_ts,0.832051,eval-test,0,0,405,390,11212,≥1000,01_predictors
8fz9_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2302,gdt_ts,0.823529,eval-test,0,0,138,136,1192,≥1000,01_predictors
8g0n_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2303,gdt_ts,0.957645,eval-test,0,0,247,242,3098,≥1000,01_predictors
8g1l_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2304,gdt_ts,0.717262,eval-test,0,0,252,252,440,100–999,01_predictors
8g1y_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2305,gdt_ts,0.944556,eval-test,0,0,497,496,15247,≥1000,01_predictors
8g32_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2306,gdt_ts,0.5237,eval-test,0,0,362,327,1082,≥1000,01_predictors
8g52_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2307,gdt_ts,0.941756,eval-test,0,0,329,279,1325,≥1000,01_predictors
8g53_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2308,gdt_ts,0.881793,eval-test,0,0,218,184,598,100–999,01_predictors
8g5u_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2309,gdt_ts,0.922557,eval-test,0,0,489,481,6140,≥1000,01_predictors
8g64_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2310,gdt_ts,0.91716,eval-test,0,0,172,169,2729,≥1000,01_predictors
8gbe_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2311,gdt_ts,0.021951,eval-test,0,1,207,205,104,100–999,01_predictors
8gdl_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2312,gdt_ts,0.900704,eval-test,0,0,361,355,159,100–999,01_predictors
8gj9_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2313,gdt_ts,0.979839,eval-test,0,0,65,62,912,100–999,01_predictors
8gjw_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2314,gdt_ts,0.908237,eval-test,0,0,355,346,154,100–999,01_predictors
8gjy_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2315,gdt_ts,0.702762,eval-test,0,0,376,344,2514,≥1000,01_predictors
8gkd_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2316,gdt_ts,0.927762,eval-test,0,0,358,353,619,100–999,01_predictors
8gok_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2317,gdt_ts,0.430403,eval-test,0,0,273,273,51,10–99,01_predictors
8gr7_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2318,gdt_ts,0.961656,eval-test,0,0,343,326,2661,≥1000,01_predictors
8gsy_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2319,gdt_ts,0.90873,eval-test,0,0,144,126,165,100–999,01_predictors
8gqq_A,esmfold,,experiments/exp250_evals_exploration_notebook/figures/data/3_structure_accuracy/per_target.csv,2320,gdt_ts,0.583333,eval-test,0,0,99,99,4081,≥1000,01_predictors
