stem,metric,n_predictions,min,median,max,confidence,selection_metric,spearman_vs_helico_ptm
8ii8_A,source_structure_tm_score,100,0.7829959078764879,0.8481357671572018,0.8851368021185513,ptm,ptm,0.12666066606660664
8ii8_A,tm_score,100,0.7747077647342112,0.8256397088847958,0.8627206566421608,ptm,ptm,0.18333033303330332
8oxk_A,source_structure_tm_score,100,0.7698623654139518,0.8597520892529786,0.9470487755142383,ptm,ptm,0.08297629762976297
8oxk_A,tm_score,100,0.7763264118607249,0.8605471819833002,0.9600702215837725,ptm,ptm,0.1983918391839184
8qoh_A,source_structure_tm_score,100,0.7554813155002088,0.8811079156044497,0.888647523306175,ptm,ptm,0.2542934293429343
8qoh_A,tm_score,100,0.7428449333199837,0.8701452216706653,0.880959523009019,ptm,ptm,0.28865286528652867
8ux2_A,source_structure_tm_score,100,0.5783010594276431,0.6486061425792882,0.7288479987719174,ptm,ptm,0.28762076207620757
8ux2_A,tm_score,100,0.5728748456163125,0.6531431107758183,0.7294462672677209,ptm,ptm,0.20894089408940894
8wrx_A,source_structure_tm_score,100,0.8055886988633528,0.8390359478734783,0.9101782593217389,ptm,ptm,0.6128412841284128
8wrx_A,tm_score,100,0.8186862843563041,0.853804339030789,0.9140633262946256,ptm,ptm,0.5467026702670267
