stem,eval_set,arm,map_seed,sample_idx,L,n_present,requested_contacts,dropped_short_after_mapping,n_absent,n_unknown,ranking_score,ptm,iptm,mean_plddt,has_clash,n_matched_atoms,lddt,tm_score,gdt_ts,rmsd
7wr2_A,eval-test,top_0,0,0,161,0,0,0,0,9180,0.7820473909378052,0.7820473909378052,0.0,,0.0,1088,0.6485493106015867,0.790258704322302,0.5900735294117647,2.3226767429028916
7wr2_A,eval-test,top_0,0,1,161,0,0,0,0,9180,0.7836539149284363,0.7836539149284363,0.0,,0.0,1088,0.6609751713867564,0.8032382864905484,0.6488970588235294,1.716834845010791
7wr2_A,eval-test,top_0,0,2,161,0,0,0,0,9180,0.7858659029006958,0.7858659029006958,0.0,77.53801727294922,0.0,1088,0.6809138059414075,0.8164200893627858,0.6636029411764706,1.7920490660063513
7wr2_A,eval-test,top_L,0,0,161,161,161,0,0,9019,0.8821122050285339,0.8821122050285339,0.0,,0.0,1088,0.6851978329524739,0.8433695492184234,0.7279411764705882,1.3437596126497975
7wr2_A,eval-test,top_L,0,1,161,161,161,0,0,9019,0.8838198184967041,0.8838198184967041,0.0,87.5572509765625,0.0,1088,0.7077541274039079,0.8576217244030405,0.7463235294117647,1.3423912248316636
7wr2_A,eval-test,top_L,0,2,161,161,161,0,0,9019,0.8836268186569214,0.8836268186569214,0.0,,0.0,1088,0.7257940277813438,0.8752018317997277,0.7849264705882353,1.1280049355445763
7wu8_A,eval-test,top_0,0,0,96,0,0,0,0,3321,0.7885478138923645,0.7885478138923645,0.0,,0.0,632,0.7300654638352227,0.7976125677624999,0.7225609756097561,1.2254194628115964
7wu8_A,eval-test,top_0,0,1,96,0,0,0,0,3321,0.7891022562980652,0.7891022562980652,0.0,,0.0,632,0.7767230826547449,0.8724012606203712,0.8536585365853658,0.8824290092273464
7wu8_A,eval-test,top_0,0,2,96,0,0,0,0,3321,0.7913194894790649,0.7913194894790649,0.0,85.03068542480469,0.0,632,0.7857230294321146,0.8645980310470499,0.8262195121951219,0.821314103434099
7wu8_A,eval-test,top_L,0,0,96,96,96,0,0,3225,0.8585845232009888,0.8585845232009888,0.0,,0.0,632,0.7754723508435788,0.854604894770782,0.8170731707317074,0.9925049969710605
7wu8_A,eval-test,top_L,0,1,96,96,96,0,0,3225,0.8590402603149414,0.8590402603149414,0.0,,0.0,632,0.8074112512640375,0.8803266013589438,0.850609756097561,0.8632367568869611
7wu8_A,eval-test,top_L,0,2,96,96,96,0,0,3225,0.8590900897979736,0.8590900897979736,0.0,89.06377410888672,0.0,632,0.7807254244504763,0.865472827800274,0.823170731707317,0.841793581361343
7xhz_A,eval-test,top_0,0,0,231,0,0,0,0,26565,0.38117876648902893,0.38117876648902893,0.0,,0.0,1844,0.3486901156015011,0.3509225593880905,0.05952380952380953,8.656553768437282
7xhz_A,eval-test,top_0,0,1,231,0,0,0,0,26565,0.3707730174064636,0.3707730174064636,0.0,,0.0,1844,0.34959908476208656,0.36145903639515764,0.020562770562770564,10.112256416509828
7xhz_A,eval-test,top_0,0,2,231,0,0,0,0,26565,0.38405460119247437,0.38405460119247437,0.0,38.492313385009766,0.0,1844,0.33740778522113024,0.336469055292843,0.06385281385281386,8.658957845368864
7xhz_A,eval-test,top_L,0,0,231,231,231,0,0,26334,0.8568939566612244,0.8568939566612244,0.0,,0.0,1844,0.6224593742075014,0.81699092987729,0.564935064935065,2.8965179044676233
7xhz_A,eval-test,top_L,0,1,231,231,231,0,0,26334,0.8588445782661438,0.8588445782661438,0.0,83.37812805175781,0.0,1844,0.6320149481260704,0.8238692450490434,0.5681818181818181,2.7218151278320817
7xhz_A,eval-test,top_L,0,2,231,231,231,0,0,26334,0.858527660369873,0.858527660369873,0.0,,0.0,1844,0.6293913325943803,0.8186316673035872,0.5551948051948052,2.924040882789937
8an4_A,eval-test,top_0,0,0,196,0,0,0,0,18915,0.26256510615348816,0.26256510615348816,0.0,,0.0,1498,0.28426465674080126,0.3454358232561956,0.03846153846153846,10.000303254465301
8an4_A,eval-test,top_0,0,1,196,0,0,0,0,18915,0.2530117630958557,0.2530117630958557,0.0,,0.0,1498,0.30150465971113505,0.32462512194354837,0.061538461538461535,9.641712480020903
8an4_A,eval-test,top_0,0,2,196,0,0,0,0,18915,0.2703177332878113,0.2703177332878113,0.0,40.01361846923828,0.0,1498,0.30572717484127276,0.3449515150415053,0.11025641025641025,8.459163321855458
8an4_A,eval-test,top_L,0,0,196,196,196,0,0,18719,0.8781708478927612,0.8781708478927612,0.0,,0.0,1498,0.7611935172465005,0.8950428109847898,0.7910256410256411,1.6313480274130263
8an4_A,eval-test,top_L,0,1,196,196,196,0,0,18719,0.8785135746002197,0.8785135746002197,0.0,83.81253814697266,0.0,1498,0.7731843834700924,0.8986169767892521,0.7961538461538462,1.5555768943279265
8an4_A,eval-test,top_L,0,2,196,196,196,0,0,18719,0.8779111504554749,0.8779111504554749,0.0,,0.0,1498,0.7570155571232317,0.8901378255059619,0.7487179487179487,1.525421480743935
8axs_A,eval-test,top_0,0,0,578,0,0,0,0,193753,0.2887907028198242,0.30161330103874207,0.28558504581451416,,0.0,4555,0.26737096844827024,0.29567352540632413,0.012630662020905924,13.001915678858879
8axs_A,eval-test,top_0,0,1,578,0,0,0,0,193753,0.2908364236354828,0.29806068539619446,0.28903037309646606,35.33662033081055,0.0,4555,0.2537952136420151,0.3230265446442377,0.005662020905923345,13.276724273496514
8axs_A,eval-test,top_0,0,2,578,0,0,0,0,193753,0.289973646402359,0.29550787806510925,0.28859007358551025,,0.0,4555,0.266282575623428,0.2706561602089001,0.014808362369337979,13.619101384283727
8axs_A,eval-test,top_L,0,0,578,578,578,0,0,193175,0.6076237559318542,0.6772333383560181,0.5902213454246521,73.94613647460938,0.0,4555,0.535597085687194,0.6005575870522984,0.06707317073170731,9.114412266495863
8axs_A,eval-test,top_L,0,1,578,578,578,0,0,193175,0.5345680117607117,0.6736844778060913,0.49978888034820557,,0.0,4555,0.5438601126045076,0.5905248290799143,0.05923344947735192,10.03550691609115
8axs_A,eval-test,top_L,0,2,578,578,578,0,0,193175,0.6032019853591919,0.6756011843681335,0.5851022005081177,,0.0,4555,0.5351955727426262,0.6209757091038285,0.10757839721254354,8.027490842745067
8cjd_A,eval-test,top_0,0,0,663,0,0,0,0,236328,0.4609872102737427,0.39642369747161865,0.4771280884742737,35.63240432739258,0.0,5317,0.234853179891173,0.283825245958186,0.013364779874213837,15.614779901027275
8cjd_A,eval-test,top_0,0,1,663,0,0,0,0,236328,0.4469977617263794,0.3792101740837097,0.463944673538208,,0.0,5317,0.23559540490048142,0.2839120237101143,0.007861635220125786,16.125706560548608
8cjd_A,eval-test,top_0,0,2,663,0,0,0,0,236328,0.4264550805091858,0.37277141213417053,0.439875990152359,,0.0,5317,0.2445000636892747,0.2852139577563202,0.01139937106918239,15.966401395242503
8cjd_A,eval-test,top_L,0,0,663,663,663,0,0,235665,0.743549644947052,0.5950503945350647,0.7806744575500488,,0.0,5317,0.3235782594211135,0.3677555590035987,0.0,73.36202463936613
8cjd_A,eval-test,top_L,0,1,663,663,663,0,0,235665,0.7656122446060181,0.6241558194160461,0.8009763956069946,61.09279251098633,0.0,5317,0.3813189150613703,0.43856819211048126,0.05856918238993711,19.454241038278628
8cjd_A,eval-test,top_L,0,2,663,663,663,0,0,235665,0.7600234746932983,0.6230478882789612,0.7942673563957214,,0.0,5317,0.38428148699758957,0.42686930422594777,0.02830188679245283,20.094906284708735
8ev4_A,eval-test,top_0,0,0,125,0,0,0,0,6555,0.16128568351268768,0.16128568351268768,0.0,,0.0,835,0.2615708344995802,0.31444529460642356,0.12608695652173912,8.038796113297003
8ev4_A,eval-test,top_0,0,1,125,0,0,0,0,6555,0.15753531455993652,0.15753531455993652,0.0,,0.0,835,0.2982859503911925,0.34467351852737926,0.14130434782608697,6.26707934973121
8ev4_A,eval-test,top_0,0,2,125,0,0,0,0,6555,0.164508655667305,0.164508655667305,0.0,32.04459762573242,0.0,835,0.2915683687205939,0.3146622728359333,0.10434782608695652,6.669696179478875
8ev4_A,eval-test,top_L,0,0,125,125,125,0,0,6430,0.9511098861694336,0.9511098861694336,0.0,,0.0,835,0.8957958468284751,0.969343762234526,0.9695652173913044,0.716653246308336
8ev4_A,eval-test,top_L,0,1,125,125,125,0,0,6430,0.9512432813644409,0.9512432813644409,0.0,,0.0,835,0.9170032121769496,0.9858308493523793,0.9826086956521739,0.28588242701667826
8ev4_A,eval-test,top_L,0,2,125,125,125,0,0,6430,0.9512447714805603,0.9512447714805603,0.0,94.68722534179688,0.0,835,0.8985098697802124,0.9717464644347861,0.9695652173913044,0.6850554578347706
8ew1_A,eval-test,top_0,0,0,267,0,0,0,0,35245,-99.80813598632812,0.2096003293991089,0.1874295175075531,,1.0,2217,0.2347386304846295,0.29676105966717914,0.03773584905660377,9.837452410675736
8ew1_A,eval-test,top_0,0,1,267,0,0,0,0,35245,0.187637597322464,0.20968791842460632,0.1821250021457672,26.519817352294922,0.0,2217,0.24080262040157632,0.3368825438557052,0.045283018867924525,8.993569387959276
8ew1_A,eval-test,top_0,0,2,267,0,0,0,0,35245,0.1849546581506729,0.20875675976276398,0.17900413274765015,,0.0,2217,0.2333105882703604,0.3041769387201295,0.03962264150943396,10.446987655255526
8ew1_A,eval-test,top_L,0,0,267,267,267,0,0,34978,0.5547616481781006,0.8565220236778259,0.47932153940200806,,0.0,2217,0.6717882090445157,0.8502814538726728,0.6547169811320754,2.3913089385883217
8ew1_A,eval-test,top_L,0,1,267,267,267,0,0,34978,0.5553688406944275,0.8574449419975281,0.47984984517097473,78.50321197509766,0.0,2217,0.685313892514142,0.8631798230991716,0.6783018867924528,2.357191569747368
8ew1_A,eval-test,top_L,0,2,267,267,267,0,0,34978,0.5338457226753235,0.8577500581741333,0.4528696537017822,,0.0,2217,0.674686341678394,0.8557760514544596,0.6018867924528302,2.6182694252367273
8ew9_A,eval-test,top_0,0,0,248,0,0,0,0,31375,0.24169762432575226,0.3064952790737152,0.22549819946289062,37.16030502319336,0.0,1867,0.2572431448929043,0.2987248348333349,0.0487551867219917,10.637921882497615
8ew9_A,eval-test,top_0,0,1,248,0,0,0,0,31375,0.22003810107707977,0.28337255120277405,0.2042044848203659,,0.0,1867,0.2401306098399293,0.3251930035738279,0.03319502074688797,11.137422632060193
8ew9_A,eval-test,top_0,0,2,248,0,0,0,0,31375,0.22329677641391754,0.2891073226928711,0.20684413611888885,,0.0,1867,0.2639407181904482,0.2817277948907477,0.04253112033195021,10.112264131014616
8ew9_A,eval-test,top_L,0,0,248,248,248,0,0,31127,0.4506814777851105,0.6958755850791931,0.389382928609848,,0.0,1867,0.3611227045075125,0.4872518584303314,0.13485477178423236,9.087358311646382
8ew9_A,eval-test,top_L,0,1,248,248,248,0,0,31127,0.47090965509414673,0.6988577842712402,0.41392260789871216,65.63423156738281,0.0,1867,0.3753430281405829,0.4970834375331991,0.17012448132780084,8.971847719504154
8ew9_A,eval-test,top_L,0,2,248,248,248,0,0,31127,0.45309704542160034,0.6954663991928101,0.3925046920776367,,0.0,1867,0.3539620773184065,0.4612799361705312,0.12344398340248963,9.634491686150989
8ey3_A,eval-test,top_0,0,0,65,0,0,0,0,2016,-99.64848327636719,0.33504995703697205,0.35563042759895325,,1.0,450,0.45181134071634554,0.4008018650452648,0.12083333333333333,5.494002544708634
8ey3_A,eval-test,top_0,0,1,65,0,0,0,0,2016,0.35101407766342163,0.3382389545440674,0.354207843542099,59.5211181640625,0.0,450,0.4647287681518011,0.38092148414279337,0.20416666666666666,4.446367030035279
8ey3_A,eval-test,top_0,0,2,65,0,0,0,0,2016,-99.64864349365234,0.3338310122489929,0.35574227571487427,,1.0,450,0.45729740798252644,0.3867744756639152,0.12916666666666668,5.460050795834438
8ey3_A,eval-test,top_L,0,0,65,65,65,0,0,1951,0.46415048837661743,0.5386762619018555,0.4455190598964691,,0.0,450,0.5028624814429296,0.4270591528537642,0.1875,4.179796151736023
8ey3_A,eval-test,top_L,0,1,65,65,65,0,0,1951,0.45738664269447327,0.5301733613014221,0.43918997049331665,,0.0,450,0.4697370441786257,0.34965104651223267,0.2375,4.4084471884231204
8ey3_A,eval-test,top_L,0,2,65,65,65,0,0,1951,0.46935874223709106,0.5448800921440125,0.4504784047603607,74.46139526367188,0.0,450,0.4929611112059109,0.41799774150783714,0.2125,4.3287225600560975
8ez6_A,eval-test,top_0,0,0,72,0,0,0,0,2080,0.4950287342071533,0.4950287342071533,0.0,67.27088165283203,0.0,512,0.5761893679741604,0.6515449045081939,0.5615384615384615,2.2663444129883654
8ez6_A,eval-test,top_0,0,1,72,0,0,0,0,2080,0.4942534267902374,0.4942534267902374,0.0,,0.0,512,0.6210947968236505,0.6903494845090052,0.6000000000000001,2.207301473768674
8ez6_A,eval-test,top_0,0,2,72,0,0,0,0,2080,0.4690518081188202,0.4690518081188202,0.0,,0.0,512,0.4604084683846035,0.5451448613951205,0.4,3.1303728267354898
8ez6_A,eval-test,top_L,0,0,72,72,72,0,0,2008,0.8886165618896484,0.8886165618896484,0.0,,0.0,512,0.8217711110170807,0.8791309191962501,0.8846153846153846,0.6726508475863409
8ez6_A,eval-test,top_L,0,1,72,72,72,0,0,2008,0.8903508186340332,0.8903508186340332,0.0,,0.0,512,0.833216970620178,0.8748829216560974,0.8769230769230769,0.8424851015702515
8ez6_A,eval-test,top_L,0,2,72,72,72,0,0,2008,0.8905889987945557,0.8905889987945557,0.0,92.1058120727539,0.0,512,0.8202301866034782,0.8828610531114092,0.8846153846153846,0.831234154577278
8ezw_A,eval-test,top_0,0,0,160,0,0,0,0,8646,0.25012192130088806,0.25012192130088806,0.0,,0.0,1051,0.3100867225218502,0.3758239302230158,0.08901515151515152,9.038503474298318
8ezw_A,eval-test,top_0,0,1,160,0,0,0,0,8646,0.2550470232963562,0.2550470232963562,0.0,35.36219787597656,0.0,1051,0.3607931096864647,0.32461356960687576,0.08333333333333333,6.903840143041433
8ezw_A,eval-test,top_0,0,2,160,0,0,0,0,8646,0.24521079659461975,0.24521079659461975,0.0,,0.0,1051,0.3062834254830795,0.34287532479312904,0.07386363636363635,8.395688985641131
8ezw_A,eval-test,top_L,0,0,160,160,160,0,0,8486,0.9320698380470276,0.9320698380470276,0.0,,0.0,1051,0.8192847370622889,0.9175734812863917,0.8522727272727273,0.911323239705162
8ezw_A,eval-test,top_L,0,1,160,160,160,0,0,8486,0.9323314428329468,0.9323314428329468,0.0,,0.0,1051,0.8265139694492498,0.9189579502745484,0.8560606060606061,0.8560743858210418
8ezw_A,eval-test,top_L,0,2,160,160,160,0,0,8486,0.9326223134994507,0.9326223134994507,0.0,91.81475067138672,0.0,1051,0.8414105695193514,0.9287935538888,0.8806818181818181,0.8743417913670807
8f8n_A,eval-test,top_0,0,0,220,0,0,0,0,10878,0.46995648741722107,0.46995648741722107,0.0,,0.0,1168,0.4912901299014194,0.5048945626313299,0.17905405405405406,6.9219666996032565
8f8n_A,eval-test,top_0,0,1,220,0,0,0,0,10878,0.4724656045436859,0.4724656045436859,0.0,53.81083679199219,0.0,1168,0.5890738249643626,0.6006898371054092,0.3091216216216216,5.757704138141106
8f8n_A,eval-test,top_0,0,2,220,0,0,0,0,10878,0.47098398208618164,0.47098398208618164,0.0,,0.0,1168,0.6035396630995643,0.6498863818032878,0.3361486486486487,5.526374702130929
8f8n_A,eval-test,top_L,0,0,220,220,220,0,0,10658,0.6324716210365295,0.6324716210365295,0.0,,0.0,1168,0.6327423856084486,0.6994137272342211,0.41216216216216217,3.25457205037725
8f8n_A,eval-test,top_L,0,1,220,220,220,0,0,10658,0.6348676681518555,0.6348676681518555,0.0,69.41846466064453,0.0,1168,0.6313193928564258,0.6928950784269237,0.3766891891891892,3.7531903694743285
8f8n_A,eval-test,top_L,0,2,220,220,220,0,0,10658,0.6316975951194763,0.6316975951194763,0.0,,0.0,1168,0.6189729857248981,0.6872715040626084,0.34628378378378377,3.7240178109156266
8f9o_A,eval-test,top_0,0,0,496,0,0,0,0,125751,0.32960671186447144,0.3125815689563751,0.3338629901409149,,0.0,3878,0.249286569455805,0.3216666444734774,0.028234086242299793,14.109536001875222
8f9o_A,eval-test,top_0,0,1,496,0,0,0,0,125751,0.35499268770217896,0.32251042127609253,0.3631132245063782,33.11524200439453,0.0,3878,0.25026046783679173,0.3319675939864633,0.022587268993839834,13.693783353837938
8f9o_A,eval-test,top_0,0,2,496,0,0,0,0,125751,0.3507118225097656,0.32017719745635986,0.35834547877311707,,0.0,3878,0.25319929902164623,0.34143562345552714,0.02515400410677618,13.124461649892664
8f9o_A,eval-test,top_L,0,0,496,496,496,0,0,125255,0.828629732131958,0.9014512896537781,0.810424268245697,,0.0,3878,0.6934870474371335,0.891534353758237,0.6724845995893224,2.1244878350196568
8f9o_A,eval-test,top_L,0,1,496,496,496,0,0,125255,0.8323904275894165,0.9026238322257996,0.8148320317268372,83.28700256347656,0.0,3878,0.6963459104264818,0.9030847738511287,0.6842915811088296,1.8326669170981051
8f9o_A,eval-test,top_L,0,2,496,496,496,0,0,125255,0.826080322265625,0.9013937711715698,0.8072519302368164,,0.0,3878,0.6884470519153526,0.8885560925136778,0.6745379876796714,2.1665381768729453
8fbc_A,eval-test,top_0,0,0,395,0,0,0,0,94830,0.32650208473205566,0.3864116072654724,0.3115246891975403,,0.0,3143,0.24414391417210163,0.2860077398897982,0.012086513994910942,14.012149894551957
8fbc_A,eval-test,top_0,0,1,395,0,0,0,0,94830,0.4895158112049103,0.40641722083091736,0.5102904438972473,47.98415756225586,0.0,3143,0.2498910612717428,0.29612928531720195,0.021628498727735368,14.394660959154372
8fbc_A,eval-test,top_0,0,2,395,0,0,0,0,94830,0.48369666934013367,0.40462473034858704,0.5034646391868591,,0.0,3143,0.24111735900883735,0.2618962992932399,0.00826972010178117,14.520355486780135
8fbc_A,eval-test,top_L,0,0,395,395,395,0,0,94435,0.9253284335136414,0.9019426107406616,0.9311748743057251,,0.0,3143,0.7094740740208099,0.9073495656045456,0.7296437659033079,1.859168068530674
8fbc_A,eval-test,top_L,0,1,395,395,395,0,0,94435,0.926289439201355,0.902183473110199,0.9323158860206604,85.68306732177734,0.0,3143,0.7150558355924038,0.9095629491954355,0.700381679389313,1.7997935841412747
8fbc_A,eval-test,top_L,0,2,395,395,395,0,0,94435,0.9261695146560669,0.9022830724716187,0.9321410655975342,,0.0,3143,0.7027428830292876,0.9032386602003584,0.6876590330788804,1.8673268272226424
