query,target,qtmscore,ttmscore,qcov,tcov,evalue,stem,min_tm,reference_split
proteina-137598f5dd33ba7937f6,A0A547NPG9,9.231E-01,8.689E-01,1.000,0.922,8.646E-01,proteina-137598f5dd33ba7937f6,0.8689,train
proteina-4ca1e2690a6393df661c,A0A2N0LMS1,6.871E-01,6.074E-01,1.000,0.943,5.849E-01,proteina-4ca1e2690a6393df661c,0.6074,train
proteina-7e286ca0d47f743c4117,A0A451BWA3,6.989E-01,7.545E-01,0.800,0.891,6.798E-01,proteina-7e286ca0d47f743c4117,0.6989,train
proteina-d1cfa45ef58504046adf,A0A7W8JNH2,7.121E-01,7.219E-01,0.967,1.000,6.527E-01,proteina-d1cfa45ef58504046adf,0.7121,train
proteina-206a0e1dfe88fcb416c7,E0S427,6.479E-01,6.658E-01,0.883,0.966,5.917E-01,proteina-206a0e1dfe88fcb416c7,0.6479,train
proteina-60652b18576aa0441d45,A0A435F655,8.204E-01,7.324E-01,1.000,0.882,7.385E-01,proteina-60652b18576aa0441d45,0.7324,train
proteina-952dd43b98507da87b0f,A0A6I2R6L1,7.912E-01,8.031E-01,1.000,0.949,7.513E-01,proteina-952dd43b98507da87b0f,0.7912,train
proteina-e4b709e5de485425a4c3,A0A1V5IJ41,7.293E-01,7.502E-01,0.933,0.966,6.802E-01,proteina-e4b709e5de485425a4c3,0.7293,train
proteina-10693d47baceda8328ff,A0A7K4HNI7,6.227E-01,6.310E-01,1.000,0.915,5.597E-01,proteina-10693d47baceda8328ff,0.6227,train
proteina-5d0a4630c035b842d19d,A0A1Z4TVC3,8.306E-01,7.536E-01,1.000,0.881,7.419E-01,proteina-5d0a4630c035b842d19d,0.7536,train
proteina-551b9131fb55bfd39da5,A0A420W5H3,6.984E-01,6.984E-01,0.833,0.950,6.653E-01,proteina-551b9131fb55bfd39da5,0.6984,train
proteina-939b09ed95e72626f875,A0A2Z5ZMR7,5.067E-01,4.483E-01,0.933,0.789,4.159E-01,proteina-939b09ed95e72626f875,0.4483,train
proteina-d018cc03cf00a9baaeaf,A0A1E7YNM4,7.561E-01,7.164E-01,0.967,0.875,6.752E-01,proteina-d018cc03cf00a9baaeaf,0.7164,train
proteina-0e32c0fcff99b8649a28,A0A7V7HB03,7.259E-01,7.165E-01,0.950,0.984,6.474E-01,proteina-0e32c0fcff99b8649a28,0.7165,train
proteina-3e1c591a21cfd5919a8a,A0A820PJQ0,8.824E-01,8.561E-01,0.983,0.984,8.323E-01,proteina-3e1c591a21cfd5919a8a,0.8561,train
proteina-9119e9f57cdf2279166c,A0A2V3CDC7,7.187E-01,7.297E-01,0.850,0.847,6.886E-01,proteina-9119e9f57cdf2279166c,0.7187,train
proteina-d1b9907dbd08b86b96c0,A0A396S553,9.653E-01,9.653E-01,0.983,0.983,9.533E-01,proteina-d1b9907dbd08b86b96c0,0.9653,train
proteina-fff8a3823cbe6917572b,A0A7V8DAJ3,6.877E-01,6.578E-01,0.967,0.746,6.417E-01,proteina-fff8a3823cbe6917572b,0.6578,train
proteina-3a2858018bbd7f5df0a1,A0A5E4K3R2,8.026E-01,7.803E-01,1.000,0.968,7.329E-01,proteina-3a2858018bbd7f5df0a1,0.7803,train
proteina-87ce33f2728a9943f70f,A0A843I3A1,7.628E-01,7.735E-01,1.000,0.949,7.006E-01,proteina-87ce33f2728a9943f70f,0.7628,train
proteina-04aa9e96f20e99c7d493,A0A1Y4ENM4,6.436E-01,6.536E-01,0.717,0.729,6.221E-01,proteina-04aa9e96f20e99c7d493,0.6436,train
proteina-42e0c45219ec62d708e5,A0A7W8CGW3,7.757E-01,7.042E-01,0.983,0.836,6.916E-01,proteina-42e0c45219ec62d708e5,0.7042,train
proteina-7fa413c447dc39824024,A0A7X8HPH9,6.641E-01,6.394E-01,1.000,0.968,5.793E-01,proteina-7fa413c447dc39824024,0.6394,train
proteina-c647dda6c139c1f91d61,A0A5C7F2N2,8.737E-01,8.737E-01,0.983,0.983,8.450E-01,proteina-c647dda6c139c1f91d61,0.8737,train
proteina-ff3732a92c22b0a68868,A0A850L917,8.218E-01,7.988E-01,1.000,0.984,7.538E-01,proteina-ff3732a92c22b0a68868,0.7988,train
proteina-146e4aeabdf8507c8afa,A0A560LJU0,6.344E-01,6.903E-01,0.683,0.764,6.525E-01,proteina-146e4aeabdf8507c8afa,0.6344,train
