stem,length,condition,quality_pass,sequence_excluded,structure_excluded,fine_cluster,selected
proteina-efd56b451c6734f2cbe2,60,3.x.x.x,True,True,False,,False
proteina-68df0364efd8550a6d6f,60,3.x.x.x,False,False,False,,False
proteina-31411679c0f0bcaf9e03,60,3.x.x.x,True,True,False,,False
proteina-1091ab3e577ea1ceb439,60,3.x.x.x,True,False,False,proteina-1091ab3e577ea1ceb439,True
proteina-aed534b8f45dfa7d0a3a,60,3.x.x.x,True,False,False,proteina-aed534b8f45dfa7d0a3a,True
proteina-89ac92520f226d791657,60,3.x.x.x,True,False,False,proteina-89ac92520f226d791657,True
proteina-42e0c45219ec62d708e5,60,3.x.x.x,True,False,False,proteina-42e0c45219ec62d708e5,True
proteina-c8ff9a5eb1f7622643af,60,3.x.x.x,True,False,False,proteina-c32bee8c314b1154e5ce,True
proteina-79a1fe05ba9c855f9c8a,60,3.x.x.x,True,False,False,proteina-79a1fe05ba9c855f9c8a,True
proteina-0c9e7791313762a0ec5a,60,3.x.x.x,True,True,False,,False
proteina-e65860ccbd1853292e5b,60,3.x.x.x,False,False,False,,False
proteina-30cbe0107d2eb4cb19f7,60,3.x.x.x,True,False,False,proteina-30cbe0107d2eb4cb19f7,True
proteina-bded4e66ab4a23ea3fd0,60,3.x.x.x,True,True,False,,False
proteina-4693c4f7029ccbbb2a33,60,3.x.x.x,True,True,False,,False
proteina-5d0a4630c035b842d19d,60,3.x.x.x,True,False,False,proteina-5d0a4630c035b842d19d,True
proteina-10693d47baceda8328ff,60,3.x.x.x,False,False,False,,False
proteina-42361d9dfd5d856e661b,60,3.x.x.x,True,False,False,proteina-42361d9dfd5d856e661b,True
proteina-8ee53c69bea426f822e7,60,3.x.x.x,True,True,False,,False
proteina-58d4a30264dd8a0a294f,60,3.x.x.x,False,False,False,,False
proteina-a09b6e52dfd6db427fac,60,3.x.x.x,True,True,False,,False
proteina-306303df1bc524e38b01,60,3.x.x.x,False,True,False,,False
proteina-a260f273e112bbfeb9e7,60,3.x.x.x,True,False,False,proteina-a260f273e112bbfeb9e7,True
proteina-50439050bbe43f659285,60,3.x.x.x,True,True,False,,False
proteina-34aa689d6aefc75f98d8,60,3.x.x.x,True,False,False,proteina-34aa689d6aefc75f98d8,True
proteina-402c9ae63a3a8a6802e2,60,3.x.x.x,True,False,False,proteina-402c9ae63a3a8a6802e2,True
proteina-7afe9e53456a61fa75eb,60,3.x.x.x,True,False,False,proteina-7afe9e53456a61fa75eb,True
proteina-011a5ea09a27b7dd7720,60,3.x.x.x,True,False,False,proteina-011a5ea09a27b7dd7720,True
proteina-2a21efb31c705b1a2b62,60,3.x.x.x,True,False,False,proteina-2a21efb31c705b1a2b62,True
proteina-c32bee8c314b1154e5ce,60,3.x.x.x,True,False,False,proteina-c32bee8c314b1154e5ce,True
proteina-db6ea7aed2ffbb245da5,60,3.x.x.x,True,False,False,proteina-db6ea7aed2ffbb245da5,True
proteina-883ae992f92f6d150ae4,60,3.x.x.x,True,False,False,proteina-883ae992f92f6d150ae4,True
proteina-0d41be658271f4f5e796,60,3.x.x.x,True,False,False,proteina-0d41be658271f4f5e796,True
proteina-b63b19baa1ffa6a70b4b,60,3.x.x.x,True,False,False,proteina-b63b19baa1ffa6a70b4b,True
proteina-650dbb2a916bf23b2a88,60,3.x.x.x,True,False,False,proteina-650dbb2a916bf23b2a88,True
proteina-e4b709e5de485425a4c3,60,3.x.x.x,True,True,False,,False
proteina-7d37c5473c728136b600,60,3.x.x.x,True,False,False,proteina-7d37c5473c728136b600,True
proteina-317db1d06e7c905d42d4,60,3.x.x.x,True,False,False,proteina-317db1d06e7c905d42d4,True
proteina-7e286ca0d47f743c4117,60,3.x.x.x,True,True,False,,False
proteina-3a2858018bbd7f5df0a1,60,3.x.x.x,True,True,False,,False
proteina-0ad4e06eb8708b60b6bb,60,3.x.x.x,True,False,False,proteina-0ad4e06eb8708b60b6bb,True
proteina-72182d7a868f116078d5,60,3.x.x.x,True,False,False,proteina-72182d7a868f116078d5,True
proteina-599f4977b7a2be1ea429,60,3.x.x.x,True,False,False,proteina-599f4977b7a2be1ea429,True
proteina-87ce33f2728a9943f70f,60,3.x.x.x,True,False,False,proteina-87ce33f2728a9943f70f,True
proteina-2f45d9c13a666a4507b4,60,3.x.x.x,True,False,False,proteina-2f45d9c13a666a4507b4,True
proteina-0f89d0912645abf27be7,60,3.x.x.x,True,False,False,proteina-0f89d0912645abf27be7,True
proteina-c7aaf4cab4add3e427d8,60,3.x.x.x,True,False,False,proteina-c7aaf4cab4add3e427d8,True
proteina-84ec1a186c3e8404ea8d,60,3.x.x.x,False,True,False,,False
proteina-037047723fe6caa0f57f,60,3.x.x.x,True,False,False,proteina-037047723fe6caa0f57f,True
proteina-650868d686b61ac7f63a,60,3.x.x.x,True,False,False,proteina-317db1d06e7c905d42d4,True
proteina-d17d2328507537c6f462,60,3.x.x.x,True,False,False,proteina-d17d2328507537c6f462,True
proteina-ba2f06df41ceced574f6,60,3.x.x.x,True,True,False,,False
proteina-1dde3009bfe0c21ac609,60,3.x.x.x,True,True,False,,False
proteina-2512a305180d1b13b75b,60,3.x.x.x,True,False,False,proteina-2512a305180d1b13b75b,True
proteina-0afc33cc7bc469d51088,60,3.x.x.x,True,True,False,,False
proteina-a79562e9d794d5f386ee,60,3.x.x.x,False,False,False,,False
proteina-4c52aed3a821163fbfea,60,3.x.x.x,True,False,False,proteina-4c52aed3a821163fbfea,True
proteina-dc70e0ef095ae652026a,60,3.x.x.x,True,False,False,proteina-dc70e0ef095ae652026a,True
proteina-4e2c1ad52f4f62c1c4e5,60,3.x.x.x,False,True,False,,False
proteina-3c0c7ad96c743ca9ceff,60,3.x.x.x,True,False,False,proteina-3c0c7ad96c743ca9ceff,True
proteina-206a0e1dfe88fcb416c7,60,3.x.x.x,True,True,False,,False
proteina-3fbf2d7f71801270b733,60,3.x.x.x,True,False,False,proteina-3fbf2d7f71801270b733,True
proteina-fff8a3823cbe6917572b,60,3.x.x.x,True,False,False,proteina-fff8a3823cbe6917572b,True
proteina-3fe41fbd21a9aaa2f84f,60,3.x.x.x,True,False,False,proteina-3fe41fbd21a9aaa2f84f,True
proteina-ad1b9d9ce87717e6b322,60,3.x.x.x,False,True,False,,False
proteina-da2bab94fbe3c36cfd1e,60,unconditional,True,False,False,proteina-09e03490d19cae98f232,False
proteina-4f8abad647d9ea5accaa,60,unconditional,True,False,False,proteina-09e03490d19cae98f232,False
proteina-da2b278c881a9d614d9c,60,unconditional,True,False,False,proteina-da2b278c881a9d614d9c,True
proteina-629b0e58b2fffbb8cd35,60,unconditional,False,True,False,,False
proteina-d39ef8442a629ecd78a2,60,unconditional,True,False,False,proteina-09e03490d19cae98f232,False
proteina-452e7a5276004a28cf63,60,unconditional,True,False,False,proteina-452e7a5276004a28cf63,True
proteina-9119e9f57cdf2279166c,60,unconditional,True,False,False,proteina-9119e9f57cdf2279166c,True
proteina-f57f285d8433f9b19e52,60,unconditional,True,True,False,,False
proteina-f2147b3480e13a728e5c,60,unconditional,False,False,False,,False
proteina-90fa216b6a842477c9af,60,unconditional,True,False,False,proteina-90fa216b6a842477c9af,True
proteina-a2326b4006ac9b45a519,60,unconditional,True,False,False,proteina-09e03490d19cae98f232,False
proteina-d4198b8cfb9deadde71e,60,unconditional,True,False,False,proteina-d4198b8cfb9deadde71e,True
proteina-04aa9e96f20e99c7d493,60,unconditional,True,True,False,,False
proteina-f663703f99e72590d204,60,unconditional,True,True,False,,False
proteina-61e77080ea4940311234,60,unconditional,True,False,False,proteina-61e77080ea4940311234,True
