range,cut,n_candidate,n_true,value,dataset,stem,eval_set,L
all,L,263175,959,0.7961696306429549,foldbench_monomer,8pvs_A,eval-test,731
all,L/2,263175,959,0.9424657534246575,foldbench_monomer,8pvs_A,eval-test,731
all,L/5,263175,959,0.9931506849315068,foldbench_monomer,8pvs_A,eval-test,731
all,R,263175,959,0.7007299270072993,foldbench_monomer,8pvs_A,eval-test,731
all,AUC,263175,959,0.9867224898572822,foldbench_monomer,8pvs_A,eval-test,731
short,L,4335,89,0.12175102599179206,foldbench_monomer,8pvs_A,eval-test,731
short,L/2,4335,89,0.24383561643835616,foldbench_monomer,8pvs_A,eval-test,731
short,L/5,4335,89,0.541095890410959,foldbench_monomer,8pvs_A,eval-test,731
short,R,4335,89,0.7640449438202247,foldbench_monomer,8pvs_A,eval-test,731
short,AUC,4335,89,0.9946678169010358,foldbench_monomer,8pvs_A,eval-test,731
medium,L,8562,140,0.19151846785225718,foldbench_monomer,8pvs_A,eval-test,731
medium,L/2,8562,140,0.3726027397260274,foldbench_monomer,8pvs_A,eval-test,731
medium,L/5,8562,140,0.7328767123287672,foldbench_monomer,8pvs_A,eval-test,731
medium,R,8562,140,0.7571428571428571,foldbench_monomer,8pvs_A,eval-test,731
medium,AUC,8562,140,0.9961198561590392,foldbench_monomer,8pvs_A,eval-test,731
long,L,250278,730,0.679890560875513,foldbench_monomer,8pvs_A,eval-test,731
long,L/2,250278,730,0.8986301369863013,foldbench_monomer,8pvs_A,eval-test,731
long,L/5,250278,730,0.9863013698630136,foldbench_monomer,8pvs_A,eval-test,731
long,R,250278,730,0.6808219178082192,foldbench_monomer,8pvs_A,eval-test,731
long,AUC,250278,730,0.9836990978318938,foldbench_monomer,8pvs_A,eval-test,731
all,L,164451,666,0.7312703583061889,foldbench_monomer,8khv_A,eval-test,614
all,L/2,164451,666,0.9120521172638436,foldbench_monomer,8khv_A,eval-test,614
all,L/5,164451,666,0.9672131147540983,foldbench_monomer,8khv_A,eval-test,614
all,R,164451,666,0.7042042042042042,foldbench_monomer,8khv_A,eval-test,614
all,AUC,164451,666,0.9975666113957167,foldbench_monomer,8khv_A,eval-test,614
short,L,3423,84,0.13517915309446255,foldbench_monomer,8khv_A,eval-test,614
short,L/2,3423,84,0.2671009771986971,foldbench_monomer,8khv_A,eval-test,614
short,L/5,3423,84,0.5491803278688525,foldbench_monomer,8khv_A,eval-test,614
short,R,3423,84,0.6785714285714286,foldbench_monomer,8khv_A,eval-test,614
short,AUC,3423,84,0.9827329254552976,foldbench_monomer,8khv_A,eval-test,614
medium,L,6738,107,0.1742671009771987,foldbench_monomer,8khv_A,eval-test,614
medium,L/2,6738,107,0.34527687296416937,foldbench_monomer,8khv_A,eval-test,614
medium,L/5,6738,107,0.7622950819672131,foldbench_monomer,8khv_A,eval-test,614
medium,R,6738,107,0.794392523364486,foldbench_monomer,8khv_A,eval-test,614
medium,AUC,6738,107,0.9973066184460697,foldbench_monomer,8khv_A,eval-test,614
long,L,154290,475,0.5944625407166124,foldbench_monomer,8khv_A,eval-test,614
long,L/2,154290,475,0.8208469055374593,foldbench_monomer,8khv_A,eval-test,614
long,L/5,154290,475,0.9508196721311475,foldbench_monomer,8khv_A,eval-test,614
long,R,154290,475,0.6842105263157895,foldbench_monomer,8khv_A,eval-test,614
long,AUC,154290,475,0.9979376865920613,foldbench_monomer,8khv_A,eval-test,614
all,L,53643,331,0.5408921933085502,foldbench_monomer,8tyh_A,eval-test,538
all,L/2,53643,331,0.7992565055762082,foldbench_monomer,8tyh_A,eval-test,538
all,L/5,53643,331,0.9439252336448598,foldbench_monomer,8tyh_A,eval-test,538
all,R,53643,331,0.7341389728096677,foldbench_monomer,8tyh_A,eval-test,538
all,AUC,53643,331,0.9977119246490137,foldbench_monomer,8tyh_A,eval-test,538
short,L,1911,42,0.07806691449814127,foldbench_monomer,8tyh_A,eval-test,538
short,L/2,1911,42,0.15613382899628253,foldbench_monomer,8tyh_A,eval-test,538
short,L/5,1911,42,0.37383177570093457,foldbench_monomer,8tyh_A,eval-test,538
short,R,1911,42,0.8095238095238095,foldbench_monomer,8tyh_A,eval-test,538
short,AUC,1911,42,0.9951208947998675,foldbench_monomer,8tyh_A,eval-test,538
medium,L,3714,46,0.08550185873605948,foldbench_monomer,8tyh_A,eval-test,538
medium,L/2,3714,46,0.17100371747211895,foldbench_monomer,8tyh_A,eval-test,538
medium,L/5,3714,46,0.42990654205607476,foldbench_monomer,8tyh_A,eval-test,538
medium,R,3714,46,0.7391304347826086,foldbench_monomer,8tyh_A,eval-test,538
medium,AUC,3714,46,0.9981449433407614,foldbench_monomer,8tyh_A,eval-test,538
long,L,48018,243,0.4070631970260223,foldbench_monomer,8tyh_A,eval-test,538
long,L/2,48018,243,0.6728624535315985,foldbench_monomer,8tyh_A,eval-test,538
long,L/5,48018,243,0.9158878504672897,foldbench_monomer,8tyh_A,eval-test,538
long,R,48018,243,0.7078189300411523,foldbench_monomer,8tyh_A,eval-test,538
long,AUC,48018,243,0.9977726525874675,foldbench_monomer,8tyh_A,eval-test,538
all,L,116915,472,0.5058365758754864,foldbench_monomer,7xq4_A,eval-val,514
all,L/2,116915,472,0.7704280155642024,foldbench_monomer,7xq4_A,eval-val,514
all,L/5,116915,472,0.9509803921568627,foldbench_monomer,7xq4_A,eval-val,514
all,R,116915,472,0.538135593220339,foldbench_monomer,7xq4_A,eval-val,514
all,AUC,116915,472,0.9887950014679475,foldbench_monomer,7xq4_A,eval-val,514
short,L,2808,77,0.14591439688715954,foldbench_monomer,7xq4_A,eval-val,514
short,L/2,2808,77,0.2723735408560311,foldbench_monomer,7xq4_A,eval-val,514
short,L/5,2808,77,0.5392156862745098,foldbench_monomer,7xq4_A,eval-val,514
