range,cut,n_candidate,n_true,value,dataset,stem,eval_set,L
all,L,222778,746,0.4871495327102804,foldbench_monomer,8k7x_A,eval-test,856
all,L/2,222778,746,0.6752336448598131,foldbench_monomer,8k7x_A,eval-test,856
all,L/5,222778,746,0.847953216374269,foldbench_monomer,8k7x_A,eval-test,856
all,R,222778,746,0.5227882037533512,foldbench_monomer,8k7x_A,eval-test,856
all,AUC,222778,746,0.9890202165868998,foldbench_monomer,8k7x_A,eval-test,856
short,L,3987,68,0.07593457943925233,foldbench_monomer,8k7x_A,eval-test,856
short,L/2,3987,68,0.1425233644859813,foldbench_monomer,8k7x_A,eval-test,856
short,L/5,3987,68,0.27485380116959063,foldbench_monomer,8k7x_A,eval-test,856
short,R,3987,68,0.4852941176470588,foldbench_monomer,8k7x_A,eval-test,856
short,AUC,3987,68,0.9640852258229141,foldbench_monomer,8k7x_A,eval-test,856
medium,L,7866,129,0.1366822429906542,foldbench_monomer,8k7x_A,eval-test,856
medium,L/2,7866,129,0.2219626168224299,foldbench_monomer,8k7x_A,eval-test,856
medium,L/5,7866,129,0.4269005847953216,foldbench_monomer,8k7x_A,eval-test,856
medium,R,7866,129,0.5038759689922481,foldbench_monomer,8k7x_A,eval-test,856
medium,AUC,7866,129,0.9683815712878718,foldbench_monomer,8k7x_A,eval-test,856
long,L,210925,549,0.4053738317757009,foldbench_monomer,8k7x_A,eval-test,856
long,L/2,210925,549,0.6051401869158879,foldbench_monomer,8k7x_A,eval-test,856
long,L/5,210925,549,0.8187134502923976,foldbench_monomer,8k7x_A,eval-test,856
long,R,210925,549,0.5373406193078324,foldbench_monomer,8k7x_A,eval-test,856
long,AUC,210925,549,0.9894094556555275,foldbench_monomer,8k7x_A,eval-test,856
all,L,191271,653,0.682615629984051,foldbench_monomer,8qlc_A,eval-test,627
all,L/2,191271,653,0.8690095846645367,foldbench_monomer,8qlc_A,eval-test,627
all,L/5,191271,653,0.984,foldbench_monomer,8qlc_A,eval-test,627
all,R,191271,653,0.6615620214395099,foldbench_monomer,8qlc_A,eval-test,627
all,AUC,191271,653,0.9924142480899999,foldbench_monomer,8qlc_A,eval-test,627
short,L,3693,87,0.1371610845295056,foldbench_monomer,8qlc_A,eval-test,627
short,L/2,3693,87,0.25878594249201275,foldbench_monomer,8qlc_A,eval-test,627
short,L/5,3693,87,0.552,foldbench_monomer,8qlc_A,eval-test,627
short,R,3693,87,0.6551724137931034,foldbench_monomer,8qlc_A,eval-test,627
short,AUC,3693,87,0.9802627804234323,foldbench_monomer,8qlc_A,eval-test,627
medium,L,7278,93,0.14513556618819776,foldbench_monomer,8qlc_A,eval-test,627
medium,L/2,7278,93,0.28434504792332266,foldbench_monomer,8qlc_A,eval-test,627
medium,L/5,7278,93,0.56,foldbench_monomer,8qlc_A,eval-test,627
medium,R,7278,93,0.6989247311827957,foldbench_monomer,8qlc_A,eval-test,627
medium,AUC,7278,93,0.9923556393621719,foldbench_monomer,8qlc_A,eval-test,627
long,L,180300,473,0.5518341307814992,foldbench_monomer,8qlc_A,eval-test,627
long,L/2,180300,473,0.7987220447284346,foldbench_monomer,8qlc_A,eval-test,627
long,L/5,180300,473,0.944,foldbench_monomer,8qlc_A,eval-test,627
long,R,180300,473,0.6575052854122622,foldbench_monomer,8qlc_A,eval-test,627
long,AUC,180300,473,0.9917544370898829,foldbench_monomer,8qlc_A,eval-test,627
all,L,155403,651,0.671304347826087,foldbench_monomer,8owf_A,eval-test,575
all,L/2,155403,651,0.8815331010452961,foldbench_monomer,8owf_A,eval-test,575
all,L/5,155403,651,0.9826086956521739,foldbench_monomer,8owf_A,eval-test,575
all,R,155403,651,0.6113671274961597,foldbench_monomer,8owf_A,eval-test,575
all,AUC,155403,651,0.981354161505046,foldbench_monomer,8owf_A,eval-test,575
short,L,3327,75,0.12173913043478261,foldbench_monomer,8owf_A,eval-test,575
short,L/2,3327,75,0.2264808362369338,foldbench_monomer,8owf_A,eval-test,575
short,L/5,3327,75,0.4434782608695652,foldbench_monomer,8owf_A,eval-test,575
short,R,3327,75,0.6133333333333333,foldbench_monomer,8owf_A,eval-test,575
short,AUC,3327,75,0.9647765477654776,foldbench_monomer,8owf_A,eval-test,575
medium,L,6546,87,0.13043478260869565,foldbench_monomer,8owf_A,eval-test,575
medium,L/2,6546,87,0.24041811846689895,foldbench_monomer,8owf_A,eval-test,575
medium,L/5,6546,87,0.4608695652173913,foldbench_monomer,8owf_A,eval-test,575
medium,R,6546,87,0.5632183908045977,foldbench_monomer,8owf_A,eval-test,575
medium,AUC,6546,87,0.9516828518702407,foldbench_monomer,8owf_A,eval-test,575
long,L,145530,489,0.568695652173913,foldbench_monomer,8owf_A,eval-test,575
long,L/2,145530,489,0.8222996515679443,foldbench_monomer,8owf_A,eval-test,575
long,L/5,145530,489,0.9565217391304348,foldbench_monomer,8owf_A,eval-test,575
long,R,145530,489,0.6298568507157464,foldbench_monomer,8owf_A,eval-test,575
long,AUC,145530,489,0.9824706642077893,foldbench_monomer,8owf_A,eval-test,575
all,L,122760,587,0.7927063339731286,foldbench_monomer,8azb_A,eval-val,521
all,L/2,122760,587,0.9461538461538461,foldbench_monomer,8azb_A,eval-val,521
all,L/5,122760,587,1.0,foldbench_monomer,8azb_A,eval-val,521
all,R,122760,587,0.7546848381601363,foldbench_monomer,8azb_A,eval-val,521
all,AUC,122760,587,0.9979001904342895,foldbench_monomer,8azb_A,eval-val,521
short,L,2955,79,0.15163147792706333,foldbench_monomer,8azb_A,eval-val,521
short,L/2,2955,79,0.3038461538461538,foldbench_monomer,8azb_A,eval-val,521
short,L/5,2955,79,0.6730769230769231,foldbench_monomer,8azb_A,eval-val,521
