range,cut,n_candidate,n_true,value,dataset,stem,eval_set,L
all,L,364231,979,0.6747404844290658,foldbench_monomer,8t41_A,eval-test,867
all,L/2,364231,979,0.8406466512702079,foldbench_monomer,8t41_A,eval-test,867
all,L/5,364231,979,0.9364161849710982,foldbench_monomer,8t41_A,eval-test,867
all,R,364231,979,0.6322778345250255,foldbench_monomer,8t41_A,eval-test,867
all,AUC,364231,979,0.994905467607351,foldbench_monomer,8t41_A,eval-test,867
short,L,5103,96,0.10726643598615918,foldbench_monomer,8t41_A,eval-test,867
short,L/2,5103,96,0.20785219399538107,foldbench_monomer,8t41_A,eval-test,867
short,L/5,5103,96,0.44508670520231214,foldbench_monomer,8t41_A,eval-test,867
short,R,5103,96,0.6770833333333334,foldbench_monomer,8t41_A,eval-test,867
short,AUC,5103,96,0.9820480493975102,foldbench_monomer,8t41_A,eval-test,867
medium,L,10098,141,0.16147635524798154,foldbench_monomer,8t41_A,eval-test,867
medium,L/2,10098,141,0.3094688221709007,foldbench_monomer,8t41_A,eval-test,867
medium,L/5,10098,141,0.630057803468208,foldbench_monomer,8t41_A,eval-test,867
medium,R,10098,141,0.7021276595744681,foldbench_monomer,8t41_A,eval-test,867
medium,AUC,10098,141,0.9941507346839638,foldbench_monomer,8t41_A,eval-test,867
long,L,349030,742,0.5628604382929643,foldbench_monomer,8t41_A,eval-test,867
long,L/2,349030,742,0.7713625866050808,foldbench_monomer,8t41_A,eval-test,867
long,L/5,349030,742,0.930635838150289,foldbench_monomer,8t41_A,eval-test,867
long,R,349030,742,0.6145552560646901,foldbench_monomer,8t41_A,eval-test,867
long,AUC,349030,742,0.9944213473826166,foldbench_monomer,8t41_A,eval-test,867
all,L,196251,693,0.4346456692913386,foldbench_monomer,7uww_A,eval-val,635
all,L/2,196251,693,0.6403785488958991,foldbench_monomer,7uww_A,eval-val,635
all,L/5,196251,693,0.8740157480314961,foldbench_monomer,7uww_A,eval-val,635
all,R,196251,693,0.4069264069264069,foldbench_monomer,7uww_A,eval-val,635
all,AUC,196251,693,0.9512607073816537,foldbench_monomer,7uww_A,eval-val,635
short,L,3741,96,0.13543307086614173,foldbench_monomer,7uww_A,eval-val,635
short,L/2,3741,96,0.24290220820189273,foldbench_monomer,7uww_A,eval-val,635
short,L/5,3741,96,0.44881889763779526,foldbench_monomer,7uww_A,eval-val,635
short,R,3741,96,0.5416666666666666,foldbench_monomer,7uww_A,eval-val,635
short,AUC,3741,96,0.9497485139460449,foldbench_monomer,7uww_A,eval-val,635
medium,L,7374,123,0.14173228346456693,foldbench_monomer,7uww_A,eval-val,635
medium,L/2,7374,123,0.24605678233438485,foldbench_monomer,7uww_A,eval-val,635
medium,L/5,7374,123,0.4881889763779528,foldbench_monomer,7uww_A,eval-val,635
medium,R,7374,123,0.5040650406504065,foldbench_monomer,7uww_A,eval-val,635
medium,AUC,7374,123,0.9288329167942073,foldbench_monomer,7uww_A,eval-val,635
long,L,185136,474,0.30708661417322836,foldbench_monomer,7uww_A,eval-val,635
long,L/2,185136,474,0.45741324921135645,foldbench_monomer,7uww_A,eval-val,635
long,L/5,185136,474,0.6771653543307087,foldbench_monomer,7uww_A,eval-val,635
long,R,185136,474,0.3691983122362869,foldbench_monomer,7uww_A,eval-val,635
long,AUC,185136,474,0.941696134349143,foldbench_monomer,7uww_A,eval-val,635
all,L,161028,722,0.6522491349480969,foldbench_monomer,8axs_A,eval-test,578
all,L/2,161028,722,0.8131487889273357,foldbench_monomer,8axs_A,eval-test,578
all,L/5,161028,722,0.9391304347826087,foldbench_monomer,8axs_A,eval-test,578
all,R,161028,722,0.5692520775623269,foldbench_monomer,8axs_A,eval-test,578
all,AUC,161028,722,0.9805805002503347,foldbench_monomer,8axs_A,eval-test,578
short,L,3387,113,0.1903114186851211,foldbench_monomer,8axs_A,eval-test,578
short,L/2,3387,113,0.356401384083045,foldbench_monomer,8axs_A,eval-test,578
