mode,tm_threshold,struct_cluster_id,entry_id,selected_order
whole_chain,0.7,0002d09927e3d48595c530b6ec0036b7,4f9df1bed864464b1a317911137bed5b,1
whole_chain,0.8,0002d09927e3d48595c530b6ec0036b7,4f9df1bed864464b1a317911137bed5b,1
whole_chain,0.8,0006d8c5908c051596e099c414f166ea,30775d6acb664d4c9438722c666c2711,1
whole_chain,0.9,0001337b463bde1b5240fc4e7308faf8,125189809b31824e06e9724fdf179c5d,1
whole_chain,0.9,0001337b463bde1b5240fc4e7308faf8,437eefc6c0dbdef01c921bd43abc765b,3
whole_chain,0.9,0001337b463bde1b5240fc4e7308faf8,a81a0a7bde99917d0e5b44b755af69b9,2
whole_chain,0.9,0002d09927e3d48595c530b6ec0036b7,4f9df1bed864464b1a317911137bed5b,1
whole_chain,0.9,0006d8c5908c051596e099c414f166ea,30775d6acb664d4c9438722c666c2711,1
whole_chain,0.9,0006d8c5908c051596e099c414f166ea,e965df362024758b2c7900ca58ce012f,2
whole_chain,0.9,00073cb2e192799b669b86a91c98a0fe,15561cbd0481fb27622a84dc8ace9678,1
whole_chain,0.9,00073cb2e192799b669b86a91c98a0fe,d0beeb6269096424d842aab54a57a36a,2
whole_chain,0.9,0007624168d80a981935d1e17f498d59,e8f5f612db6f61b6668b12aedfc37012,1
whole_chain,0.9,00089fcc0b2b225c011588b3abc44568,232fb88b5c7cd57bbeb1834f4eef0575,1
whole_chain,0.9,00089fcc0b2b225c011588b3abc44568,3ba1c8457ef62786e638fd91c929723d,2
whole_chain,0.9,00089fcc0b2b225c011588b3abc44568,c7643c379fcf520904b412d4239ff472,3
whole_chain,0.9,001288fbb63b3177ad49fd5c43894cbd,18853e4df253e6b09cf13a82ad6df591,1
whole_and_core,0.8,0002d09927e3d48595c530b6ec0036b7,4f9df1bed864464b1a317911137bed5b,1
whole_and_core,0.8,0006d8c5908c051596e099c414f166ea,30775d6acb664d4c9438722c666c2711,1
whole_and_core,0.9,0001337b463bde1b5240fc4e7308faf8,a81a0a7bde99917d0e5b44b755af69b9,1
whole_and_core,0.9,0002d09927e3d48595c530b6ec0036b7,4f9df1bed864464b1a317911137bed5b,1
whole_and_core,0.9,0006d8c5908c051596e099c414f166ea,30775d6acb664d4c9438722c666c2711,1
whole_and_core,0.9,0006d8c5908c051596e099c414f166ea,e965df362024758b2c7900ca58ce012f,2
whole_and_core,0.9,00089fcc0b2b225c011588b3abc44568,09096f9da11d319e4fc41f26b9605905,1
whole_and_core,0.9,00089fcc0b2b225c011588b3abc44568,57c181468e3bf398a8c7313197458f01,2
whole_and_core,0.9,00089fcc0b2b225c011588b3abc44568,c7643c379fcf520904b412d4239ff472,3
whole_and_core,0.9,001288fbb63b3177ad49fd5c43894cbd,18853e4df253e6b09cf13a82ad6df591,1
